year,bons_ADJ yeux_NOUN,bons_ADJ lieux_NOUN
1800,2.7668647817336023e-07,6.288328968651058e-09
1801,5.619590979222266e-07,2.3811825400343878e-08
1802,2.618272958443413e-07,0.0
1803,2.398917331447592e-07,3.900678446910888e-09
1804,5.19088700912107e-07,1.2359254952798437e-08
1805,2.956592766167887e-07,8.528632911009026e-09
1806,1.930718269704812e-07,3.7461699520235925e-08
1807,1.4804166426074516e-07,0.0
1808,2.039466551195801e-07,4.5321479902327155e-09
1809,1.2424668227595248e-07,1.129515236897305e-08
1810,2.620942041176022e-07,1.1700633351097167e-08
1811,2.0808737133393151e-07,2.0056614147279106e-08
1812,2.1604387256957125e-07,5.3344164641089264e-09
1813,2.041776525629757e-07,2.8757416448144113e-09
1814,1.4474714760126517e-07,0.0
1815,1.1058616422587875e-07,5.394447111228828e-09
1816,2.456660013194778e-07,0.0
1817,3.8921834288885293e-07,3.113746815941454e-09
1818,2.944530876902718e-07,3.099506074022429e-08
1819,1.594061700416205e-07,1.8631890696951814e-08
1820,1.8986369809681491e-07,4.390598107306687e-08
1821,3.717780998613307e-07,3.0570614484304315e-08
1822,1.9048670196752937e-07,4.110502516141423e-08
1823,1.7690010167825676e-07,1.2452186126665765e-07
1824,2.484228218690987e-07,4.210556348027694e-09
1825,2.2277771449807915e-07,5.195211372210906e-08
1826,1.6206691100251192e-07,8.80798456392995e-09
1827,1.6222401200138847e-07,1.2904182611350734e-08
1828,1.8528048428834154e-07,2.109629271274116e-08
1829,2.1261476490508358e-07,5.143905745796928e-09
1830,2.066493465235908e-07,1.2524203008013046e-08
1831,1.855353559676587e-07,1.4032085715598441e-08
1832,1.9077256752098037e-07,1.352996914505411e-08
1833,1.8186297268130147e-07,1.1583628278799551e-08
1834,2.3523017489424092e-07,2.333632664885954e-08
1835,2.102538445569735e-07,1.5126175867408165e-08
1836,2.0162249825261824e-07,4.099657502365517e-08
1837,1.6907675615129847e-07,2.0873672568200163e-08
1838,1.666410724965317e-07,8.647661786653771e-08
1839,1.5521074203661556e-07,3.076248944466897e-08
1840,1.738925021754767e-07,2.4841785517537573e-08
1841,1.5666138608594338e-07,4.3017674755674307e-08
1842,1.9588134136938606e-07,5.0311989241436095e-08
1843,1.9729083078345866e-07,2.4809025944705354e-08
1844,1.904530790852732e-07,2.4149668931272572e-08
1845,1.6461672203149647e-07,1.0602432709561072e-08
1846,1.814895398410954e-07,1.6978054517835517e-08
1847,1.1002175881458243e-07,1.0786447290911383e-08
1848,1.4642303369782894e-07,5.229394162142853e-08
1849,1.0055298105271504e-07,1.6758828991214614e-08
1850,1.4800011172155791e-07,3.2587180953669304e-08
1851,1.457573119978406e-07,1.2253933867611977e-08
1852,1.634146968854111e-07,1.6276363368206148e-08
1853,1.9229619852012547e-07,4.120633079196523e-08
1854,2.0107221132548148e-07,1.8184826089395756e-08
1855,1.772517066456203e-07,3.1841622671890946e-08
1856,1.9673319684443413e-07,4.193523395201737e-08
1857,2.108811969492308e-07,1.5620829074691756e-08
1858,1.957470345814727e-07,2.5936483183386372e-08
1859,1.889196283855199e-07,3.258990943777462e-08
1860,2.1466992450314137e-07,1.830873586072812e-08
1861,1.9193971922959463e-07,1.6977470096435354e-08
1862,2.837295483004709e-07,2.6656119089807362e-08
1863,2.427385652481462e-07,1.4983863039219614e-08
1864,2.2774958097215858e-07,1.582260189536555e-08
1865,1.9721677801953774e-07,1.0355057256106193e-08
1866,1.6445771677808807e-07,2.5301186923343266e-08
1867,1.780981762067313e-07,2.523461972714358e-08
1868,1.6894369991860003e-07,2.865126980111654e-08
1869,2.153632010504225e-07,1.4162205630441349e-08
1870,2.2477470906778763e-07,3.4404294524392753e-08
1871,1.7524942563795776e-07,1.4869648623516696e-08
1872,2.3524150094544893e-07,4.354084381930079e-08
1873,2.2028496005077614e-07,4.070482972906575e-08
1874,2.0074686801763164e-07,4.122480135038131e-08
1875,2.837877559613844e-07,3.3757011408397375e-08
