year,exceptions_NOUN légales_ADJ
1800,1.5720821977538435e-08
1801,0.0
1802,6.713520406265161e-09
1803,0.0
1804,0.0
1805,8.528632911009026e-09
1806,0.0
1807,1.9928686256776018e-08
1808,2.4926814390369145e-08
1809,4.518061036407062e-09
1810,3.042164919975221e-08
1811,5.0141535368197765e-09
1812,5.3344164641089264e-09
1813,1.7254450312975678e-08
1814,1.2586708564299443e-08
1815,0.0
1816,3.9399266071882266e-08
1817,0.0
1818,1.1921176934492905e-08
1819,3.1053151161586356e-09
1820,4.746592452420373e-09
1821,7.88919063410276e-09
1822,2.0051231786055723e-09
1823,4.941343334508019e-09
1824,7.57900142644985e-09
1825,5.283265824829186e-09
1826,8.807984341885344e-10
1827,2.5808365222701468e-08
1828,2.2013523448549677e-08
1829,7.715858174606183e-09
1830,2.4004721543846586e-08
1831,1.4032085715598441e-08
1832,2.570694235259907e-08
1833,3.3592521875291936e-08
1834,3.733812370398937e-09
1835,6.050470346963266e-09
1836,8.736974699274924e-09
1837,9.045257876039159e-09
1838,1.5149188570262595e-08
1839,3.425822825420255e-08
1840,4.458782232319436e-09
1841,2.0545755319290038e-08
1842,1.609983613093391e-08
1843,9.451057714215949e-09
1844,2.7442805805577564e-09
1845,7.254296274794569e-09
1846,5.854501328173001e-09
1847,1.3483059113639229e-08
1848,3.137636639394259e-08
1849,1.256912263158938e-08
1850,1.6972489191857676e-08
1851,1.870337307252612e-08
1852,1.0416872697760482e-08
1853,2.030456869306363e-08
1854,1.7145692865483397e-08
1855,1.326734277995456e-08
1856,9.318940286107136e-09
1857,8.78671624349181e-09
1858,1.1255455234504552e-08
1859,3.106225676674512e-08
1860,2.288591982591015e-09
1861,1.6505872502126095e-08
1862,1.2650361647104091e-08
1863,1.897955925755923e-08
1864,1.0548401263577034e-08
1865,9.41368871743009e-10
1866,3.405929149824516e-09
1867,1.2132028714972876e-08
1868,5.9278488784286765e-09
1869,6.8369265804335555e-09
1870,2.3509599600401998e-08
1871,3.18635318130589e-09
1872,7.861540751719076e-09
1873,9.577607151811662e-09
1874,5.974609251779839e-09
1875,1.2587359599081083e-08
1876,7.255217759905008e-09
1877,4.9478527941460015e-09
1878,3.0195443923020093e-09
1879,1.2829582729523281e-08
1880,1.4761046607247863e-08
1881,7.669758161910067e-09
1882,2.6621540527571597e-09
1883,1.1374810426900694e-08
1884,1.386356363042296e-08
1885,7.090199150017185e-09
1886,7.744156427236248e-09
1887,6.528924567650307e-09
1888,1.014498351992188e-08
1889,3.132568426877924e-09
1890,1.3108772733971819e-08
1891,5.736798147637501e-09
1892,1.2537025195769047e-08
1893,4.310891643655168e-09
1894,9.452309157609307e-09
1895,9.629783193076946e-09
1896,1.2383760683576384e-08
1897,4.661370844871726e-09
1898,1.3014216482254426e-08
1899,5.527578395003729e-10
1900,5.19105292084987e-09
1901,1.4530721514915967e-08
1902,1.767702184629627e-08
1903,1.3500550233302988e-08
1904,8.061937784020756e-09
1905,1.9094808956232612e-08
1906,1.2860461473529483e-08
1907,1.7485666858885196e-08
1908,1.4243027868232616e-08
1909,7.151278402783845e-09
1910,9.619471441624228e-09
1911,2.8197982615552064e-08
1912,6.772247651554153e-09
1913,1.856046338843953e-08
1914,6.696743604095445e-09
1915,1.1780761921542648e-09
1916,3.2962386153911893e-09
1917,1.2063066989753679e-08
1918,2.2972752589112133e-09
1919,2.9465114792515124e-08
1920,1.1358347151713133e-08
1921,3.7863738810983705e-09
1922,4.426761179843197e-09
1923,6.369568872344189e-09
1924,6.4458122173149945e-09
1925,9.898360131543882e-09
1926,1.114613823460786e-08
1927,8.919379901328739e-09
1928,1.1426041224282812e-08
1929,2.0052731031228177e-08
1930,1.260432402894196e-08
1931,1.9389106320488736e-08
1932,1.8631212128639163e-08
1933,8.02946331646126e-09
1934,3.5944740517379614e-09
1935,1.4361940969820353e-08
1936,4.849885826274658e-09
1937,1.510934133364117e-08
1938,1.1668693011834819e-08
1939,2.141166977054354e-08
1940,1.2678914584896006e-08
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,1.4516176261025748e-08
1944,3.2131861615880553e-09
1945,1.742803235060819e-08
1946,1.6705325123211878e-08
1947,1.0728784083369192e-08
1948,1.6307831529616124e-08
1949,2.0615717133409817e-08
1950,2.5524867552917385e-08
1951,9.595261474260042e-09
1952,2.741648952309106e-08
1953,2.477980309834038e-08
1954,1.4658803948464083e-08
1955,1.407841132561316e-08
1956,1.831439710997529e-08
1957,2.0320587545974433e-08
1958,3.557064687242928e-08
1959,1.6276570535822543e-08
1960,1.1765417085030094e-08
1961,2.153929301584867e-08
1962,2.473363025501385e-08
1963,2.0044764847959584e-08
1964,1.5818317322668918e-08
1965,1.6963334070752012e-08
1966,1.60633170098734e-08
1967,8.874604162656397e-09
1968,9.881114537702018e-09
1969,1.7258680234943924e-08
1970,1.5635665040480973e-08
1971,1.1304474800688524e-08
1972,1.4364411327072446e-08
1973,1.8744892527067236e-08
1974,1.9689501584707614e-08
1975,2.341706828445922e-08
1976,1.0284348483935446e-08
1977,2.11564152863275e-08
1978,1.6039596650863075e-08
1979,2.5163485295465193e-08
1980,1.2507331226263574e-08
1981,2.024175771442316e-08
1982,2.172625790386462e-08
1983,1.5156758848000607e-08
1984,3.015484395518797e-08
1985,1.3835783629900789e-08
1986,2.5176838613916175e-08
1987,1.6499206278997036e-08
1988,2.4585871116755698e-08
1989,1.9757239066997556e-08
1990,1.7435683119515488e-08
1991,1.2895223833186975e-08
1992,2.4243754170871767e-08
1993,1.6617622222714346e-08
1994,2.6902126526451298e-08
1995,1.518286268931135e-08
1996,2.0818559098856326e-08
1997,2.205651483677684e-08
1998,2.3363833201450745e-08
1999,3.290544792200478e-08
2000,3.357703992623584e-08
2001,4.337399825415922e-08
2002,5.169841238439332e-08
2003,5.9170305821698577e-08
2004,5.109557932314601e-08
2005,4.7289371862824225e-08
2006,5.6826881644767013e-08
2007,3.115693872346448e-08
2008,1.9584223215352026e-08
2009,2.9562792658310855e-08
2010,3.1177034121032676e-08
2011,1.1089518636708817e-08
2012,1.8042538824092347e-08
2013,8.004788831783571e-08
2014,5.283686266288612e-08
2015,6.694057508305207e-08
2016,7.353257203135399e-08
2017,6.439965360982569e-08
2018,5.963188076663073e-08
2019,7.678473501471217e-08
