year,les_DET aides_NOUN,les_DET laides_ADJ
1800,8.772219217689781e-07,4.087413785214267e-08
1801,5.238601588075653e-07,7.1435474868764e-08
1802,6.2435739778266e-07,1.4545960880241182e-07
1803,6.514133161772406e-07,3.900678313684125e-08
1804,5.240324014721409e-07,9.393033195692624e-08
1805,1.893356483151365e-06,7.107194099909009e-08
1806,1.0719808898329575e-06,2.881669214360727e-08
1807,6.604935904874765e-07,9.964342950752325e-08
1808,6.322346379761257e-07,5.4385775882792586e-08
1809,6.393056395381791e-07,1.0843346842648316e-07
1810,5.148278745537027e-07,1.3806748233591293e-07
1811,7.195310303131919e-07,8.273353557797236e-08
1812,6.828052896423742e-07,3.7340915692851695e-08
1813,8.886041911182474e-07,3.738463982827511e-08
1814,1.6520055297064573e-06,4.405347864278042e-08
1815,8.739004111468773e-07,1.8880564667256294e-08
1816,7.833501030063417e-07,1.1588019432906549e-08
1817,6.398749580194263e-07,2.1796227933634782e-08
1818,1.258876300980205e-06,5.245317868940447e-08
1819,7.380298470138769e-07,6.83169290027763e-08
1820,1.1012094418560991e-06,3.678609239443631e-08
1821,6.95234930958577e-07,7.00165667666397e-08
1822,8.95287499247388e-07,4.210758675071702e-08
1823,8.301457001813617e-07,6.028439081262604e-08
1824,1.180639950248974e-06,4.294767386170406e-08
1825,1.2204344113087018e-06,8.453225452953461e-08
1826,1.1952434526563138e-06,4.051672930494021e-08
1827,1.025882504279707e-06,4.2399456390285195e-08
1828,1.2492673893693684e-06,3.2103053770882184e-08
1829,1.0467847926243223e-06,4.629515065746048e-08
1830,1.3557449451973014e-06,4.5922078584226256e-08
1831,1.163103957146916e-06,2.494592976631793e-08
1832,9.971587200396925e-07,1.461236635025287e-07
1833,9.63757913696739e-07,4.865124125785769e-08
1834,1.5588666322230438e-06,2.7070139907436896e-08
1835,1.016479046711538e-06,3.857174846189082e-08
1836,9.113337181565484e-07,4.502902650749263e-08
1837,1.1049131047879968e-06,4.383471408075934e-08
1838,1.4107681496344782e-06,2.5248647617104325e-08
1839,1.6646702953870829e-06,2.0974426195863316e-08
1840,1.3694830336419272e-06,3.4396318682183846e-08
1841,1.0780101122875863e-06,4.044945489667384e-08
1842,1.4523393465637469e-06,4.494537675370225e-08
1843,1.4779091928041055e-06,5.965980254263314e-08
1844,1.3682983623919398e-06,3.0735943568060975e-08
1845,1.292938826225054e-06,4.854798324460674e-08
1846,9.408183827552818e-07,5.210506248687352e-08
1847,1.3278116544057639e-06,1.833696128272777e-08
1848,1.888213567724506e-06,1.6090443422100975e-08
1849,1.143790187896343e-06,4.189707625279482e-08
1850,1.0971017596617116e-06,2.647708541303473e-08
1851,2.025768676805484e-06,6.836405219701192e-08
1852,1.0853079257522324e-06,4.9480144648228475e-08
1853,1.2009554595238114e-06,5.0761420400391444e-08
1854,9.830197223448245e-07,4.9878377872403235e-08
1855,1.340532268301331e-06,7.217434827566649e-08
1856,1.1571017812239681e-06,5.487820659011433e-08
1857,9.85576673828703e-07,4.930324193352931e-08
1858,1.5512952487028997e-06,8.074565371885001e-08
1859,1.4365020422069108e-06,4.582956147913819e-08
1860,1.3960410716329363e-06,7.186178674345456e-08
1861,1.1238141648384214e-06,6.555189635548686e-08
1862,1.1462131332962144e-06,5.0601447476594785e-08
1863,1.6986704853838575e-06,4.345319970511241e-08
1864,1.1291584314232495e-06,6.281093334337129e-08
1865,1.1870661333901467e-06,6.260103035948816e-08
1866,1.058270827414276e-06,4.379051654623822e-08
1867,1.640735515451297e-06,4.367530159754551e-08
1868,1.6296644879121303e-06,3.655506652933127e-08
1869,9.820757103096156e-07,5.274200631788517e-08
1870,1.2804131315213851e-06,2.1789385407089412e-08
1871,1.5793690422150064e-06,5.6292239092314844e-08
1872,1.2735696697241394e-06,3.144616467221084e-08
1873,1.179841489395983e-06,4.0106229448610975e-08
1874,1.7607172668743232e-06,7.58775331455297e-08
1875,1.2261232551491474e-06,6.293680132607449e-08
1876,1.2031569331938385e-06,4.0508300269692654e-08
1877,1.0749210065386094e-06,5.442638073560602e-08
1878,1.164336266956667e-06,2.4760263839240793e-08
1879,2.024630379127146e-06,1.3684888866549727e-07
1880,1.254047159449101e-06,6.867095514451194e-08
1881,1.2027575548856362e-06,3.9046041067081205e-08
1882,1.1533782209305343e-06,4.059784952659129e-08
1883,1.5242245203772598e-06,6.761692628032279e-08
1884,1.6061928711508244e-06,5.0833067533062604e-08
1885,1.5347058381909306e-06,4.383032270460774e-08
1886,1.3345763616445794e-06,6.259860008128726e-08
1887,1.3273303791638824e-06,6.267767349577014e-08
1888,1.4107867174484312e-06,6.340614788769017e-08
1889,1.310040091295761e-06,6.641045047217631e-08
1890,9.897123621205317e-07,4.129263464491828e-08
1891,1.3322120189229736e-06,4.971891787164395e-08
1892,1.303223743809312e-06,4.199903180790443e-08
1893,1.2236773909712895e-06,3.571881657116194e-08
1894,1.4739300759902818e-06,6.93169304177843e-08
1895,1.5004405691243505e-06,3.490796540717156e-08
1896,1.1339986567548976e-06,5.6021775662884465e-08
1897,1.0913434191905935e-06,4.836172173838804e-08
1898,1.063770746378978e-06,2.4896760653092542e-08
1899,1.1408921700706287e-06,4.145683796252797e-08
1900,9.966821825635463e-07,4.568126588111454e-08
1901,1.0987460490330392e-06,3.4650181446327366e-08
1902,1.2049836950467352e-06,4.566563804875301e-08
1903,1.135126273421605e-06,3.9961628672813276e-08
1904,1.2458381464242052e-06,3.869730225147805e-08
1905,1.2912218725347202e-06,4.902721162380885e-08
1906,1.2639261952607228e-06,3.652370939022376e-08
1907,1.0789685687129236e-06,3.651418722938615e-08
1908,1.1158676160860637e-06,3.290630767871505e-08
1909,1.437407017412795e-06,5.5009837129915695e-08
1910,1.1676969573493068e-06,4.1149961327313633e-08
