year,raisons_NOUN égales_ADJ,raisons_NOUN légales_ADJ
1800,0.0,6.288328968651058e-09
1801,1.904946067554647e-08,2.1430643926123594e-08
1802,1.4098392853156838e-07,0.0
1803,1.755305234496518e-08,0.0
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,1.1371510844071508e-08,1.1371510844071508e-08
1806,2.5935023018064385e-08,0.0
1807,3.701041606518629e-08,0.0
1808,6.798221985349073e-09,0.0
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,1.1700633351097167e-08,0.0
1811,4.262030373070047e-08,0.0
1812,2.6672083208723052e-08,2.6672082320544632e-09
1813,8.627225156487839e-09,1.7254450312975678e-08
1814,0.0,3.1466771410748606e-09
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-08,6.952811659743929e-09
1817,7.784366928831332e-09,1.556873407970727e-09
1818,3.099506074022429e-08,0.0
1819,7.24573512300708e-09,7.24573512300708e-09
1820,2.254631326081835e-08,2.8479554714522237e-08
1821,1.972297702934611e-08,0.0
1822,6.015369535816717e-09,8.02049271442229e-09
1823,3.9530747564242574e-09,0.0
1824,6.736890156844311e-09,8.421112696055388e-10
1825,1.7610886082763955e-09,3.522177216552791e-09
1826,1.3211976401805714e-08,2.642395191543301e-09
1827,1.013900075008678e-08,1.8434546111834038e-09
1828,1.3758452155343548e-08,1.4675682002973645e-08
1829,6.858540846366168e-09,0.0
1830,7.305785310052215e-09,6.262101504006523e-09
1831,6.236482441579483e-09,0.0
1832,1.0823975493678972e-08,8.117981842303834e-09
1833,5.791814139399776e-09,1.2741991461950875e-08
1834,1.0267983796552471e-08,8.401078055442213e-09
1835,1.5126175867408165e-08,2.2689263801112247e-09
1836,1.0753200108126748e-08,4.704525213838906e-09
1837,1.1828414692161004e-08,4.87052354003481e-09
1838,2.209256599883247e-08,1.2624323808552163e-09
1839,2.0974426639952526e-09,9.788065469251706e-09
1840,1.9109065441114126e-09,1.2102408852854296e-08
1841,1.926164561183441e-09,1.0914932957462042e-08
1842,9.391571076378114e-09,2.683306021822318e-09
1843,7.088293507706567e-09,1.0041748765843295e-08
1844,1.3721403568922597e-08,1.0977122322231025e-08
1845,3.348136878855712e-09,1.3950569588416784e-08
1846,7.025401593807601e-09,1.2294452567118697e-08
1847,3.235934187273415e-09,1.77976389181822e-08
1848,8.045221711050488e-10,1.448139919091318e-08
1849,2.513824481908955e-09,2.513824481908955e-09
1850,1.0183494048021657e-08,6.788996032014438e-09
1851,7.739326512989919e-09,1.0319102017319892e-08
1852,4.557382027314816e-09,4.557382027314816e-09
1853,1.1943863675867306e-08,2.388772735173461e-09
1854,1.2989160858012383e-08,1.0910895298366086e-08
