year,avantages_NOUN égaux_ADJ,avantages_NOUN légaux_ADJ
1800,1.2891074163690064e-07,1.8864987794131594e-08
1801,1.7144515140898875e-07,4.7623651688866175e-09
1802,7.832440473976021e-08,2.0140561218795483e-08
1803,1.3067273130218382e-07,7.801356893821776e-09
1804,5.19088700912107e-08,7.4155526164076946e-09
1805,3.695740957709859e-08,2.842877711017877e-09
1806,7.204172902675055e-08,0.0
1807,6.263301344233696e-08,1.7081731584767113e-08
1808,4.078933102391602e-08,1.8128591960930862e-08
1809,3.6144488291256494e-08,0.0
1810,5.3822915901946544e-08,4.680253518074551e-09
1811,4.763445815569867e-08,0.0
1812,2.400487453257938e-08,1.3336041604361526e-08
1813,1.7254450312975678e-08,2.8757416448144113e-09
1814,1.0384034254684593e-07,0.0
1815,4.5852800667489646e-08,0.0
1816,2.5493642752394408e-08,2.3176038865813098e-09
1817,5.293369653713853e-08,0.0
1818,7.867976847819591e-08,7.152706427149269e-09
1819,2.5877625375869684e-08,1.035105001712111e-09
1820,5.458581142647745e-08,9.493184904840746e-09
1821,3.155676253641104e-08,9.86148829262845e-10
1822,4.712039469723095e-08,2.0051231786055723e-08
1823,1.9765373338032077e-08,4.941343334508019e-09
1824,2.6105450245950124e-08,1.6842225392110777e-09
1825,3.9624492131906663e-08,8.805443485471187e-09
1826,2.7304752237000685e-08,1.6735169694470642e-08
1827,4.516463647519231e-08,1.013900075008678e-08
1828,4.494427585655103e-08,4.219258542548232e-08
1829,8.658907546532646e-08,0.0
1830,2.1917355041978226e-08,7.305785310052215e-09
1831,5.14509785887185e-08,3.1182412207897414e-09
1832,4.464889968858188e-08,2.705993873419743e-09
1833,3.8225973497674204e-08,0.0
1834,7.000897994657862e-08,1.4001796166951408e-08
1835,5.294161553592858e-08,5.294161553592858e-09
1836,4.704525125021064e-08,4.704525213838906e-09
1837,4.940102726891382e-08,6.957891152126194e-09
1838,4.9234863297442644e-08,1.199310784016916e-08
1839,5.173691519644308e-08,6.9914749545318955e-09
1840,3.567025785855549e-08,9.554533164646273e-09
1841,3.017657945747487e-08,4.494383976094696e-09
1842,6.439934452373564e-08,2.683306021822318e-09
1843,3.6622846977252266e-08,1.2995204023980023e-08
1844,4.445734802516199e-08,4.9397050894128824e-09
1845,6.249855033502172e-08,1.1160455892778032e-09
1846,8.02066679739255e-08,7.025401593807601e-09
1847,5.069630049092666e-08,7.550513103637968e-09
1848,8.68883915927654e-08,0.0
1849,5.53041381579078e-08,0.0
1850,8.078905011643656e-08,9.504594444820214e-09
1851,5.804495017969202e-08,7.739326512989919e-09
1852,5.989701890030119e-08,8.463708844885787e-09
1853,4.478948767427937e-08,1.1943863675867306e-09
1854,4.572184764128906e-08,4.1565315633818045e-09
1855,2.0697054736729115e-08,1.6451505047143655e-08
1856,3.727576114442854e-08,1.501384794266869e-08
1857,4.735063896532665e-08,5.369659827891837e-09
1858,3.229826006645453e-08,9.787352039936081e-10
1859,7.078121200265741e-08,3.5645213447565993e-09
1860,4.897586691754441e-08,1.8308735638683515e-09
1861,6.225072013421595e-08,9.903524222920623e-09
1862,1.8071945717679228e-08,1.400575744270327e-08
1863,2.7969877081091e-08,1.3485475847119233e-08
1864,6.520829742839851e-08,6.712619349258375e-09
1865,6.307171673824996e-08,1.3649848362717876e-08
1866,2.6274308950746672e-08,9.244664589402873e-09
1867,4.949867715708933e-08,1.94112459439566e-09
1868,2.1735445443482604e-08,1.975949626142892e-09
1869,2.490594752657671e-08,1.2208797528501236e-08
1870,4.7019199200803996e-08,6.880858549607183e-09
1871,3.717412155879174e-08,2.8677177965619194e-08
1872,1.6327815544059376e-08,1.814201766592305e-08
1873,2.7535620006347017e-08,2.3944017879529156e-09
1874,1.6728906260254917e-08,5.974609251779839e-09
1875,1.4303817685856757e-08,8.010138330405425e-09
1876,7.859819461941697e-09,2.418405919968336e-09
1877,1.6699003069220453e-08,7.421779191219002e-09
1878,4.227361927178208e-08,2.4156354694326865e-09
1879,3.0546626561545054e-08,2.443730107160036e-09
1880,6.35366745882493e-08,5.776061406947974e-09
1881,1.8128519130300447e-08,5.5780060570498335e-09
1882,2.1297232422057277e-08,1.7969540522244642e-08
1883,1.8326083761621703e-08,1.2638677659992936e-08
1884,3.498899303622238e-08,2.706695756415911e-08
1885,1.933690718658454e-08,1.0957580620640783e-08
1886,1.5488312854472497e-08,1.4842966855610484e-08
1887,3.656197833379338e-08,7.1818169189441505e-09
1888,2.53624587998047e-08,6.340614699951175e-09
1889,4.385595886446936e-08,2.0048436688568927e-08
1890,3.0150179242127706e-08,1.3108772733971819e-08
1891,2.932141285327816e-08,8.92390783491237e-09
1892,1.7551833764173352e-08,1.6924984080901595e-08
1893,3.079208354961338e-08,6.774258043407144e-09
1894,4.348062176973144e-08,3.780923574225881e-09
1895,2.5880042997528108e-08,6.018614495673091e-09
1896,3.3023361822870356e-08,2.5357224264777045e-08
1897,3.088158351260972e-08,2.039349777938071e-08
1898,3.7910979244770715e-08,5.092519295146758e-09
1899,3.205995469102163e-08,8.844125432005967e-09
1900,2.28406342728249e-08,1.86877908703309e-08
1901,4.470991044058792e-08,1.620734257912204e-08
1902,3.1425816615637814e-08,1.5221880644844532e-08
1903,3.2401320737562855e-08,1.1340462791054051e-08
1904,2.956043942958786e-08,2.579820090886642e-08
1905,3.302885787093146e-08,1.3934049469810361e-08
1906,3.0865106026567446e-08,2.3663248249761182e-08
1907,6.634267890603951e-08,2.879992366811024e-08
1908,2.89771957540097e-08,5.893666887857307e-09
1909,2.8605114721358404e-08,3.905698164885507e-08
1910,2.672075360976578e-08,1.5498036631811374e-08
1911,2.128149745317387e-08,1.5961122201701983e-08
1912,4.0112542620818203e-08,4.8968558985507116e-08
1913,3.8711824856818566e-08,5.196929819817342e-08
1914,3.549274296688054e-08,4.218948390644073e-08
1915,3.416420923940677e-08,1.0602685729388384e-08
1916,2.6369908923129515e-08,1.9777431248257926e-08
1917,5.15421945124217e-08,3.3995915083018247e-08
1918,6.317507228459363e-08,1.033773866510046e-08
1919,3.591060959706738e-08,1.4732557396257562e-08
1920,2.0445025228355007e-08,1.590168707821249e-08
1921,3.256281289054641e-08,1.8931868628335735e-08
