year,êtes_VERB également_ADV,êtes_VERB légalement_ADV
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,0.0
1802,4.4756802708434407e-08,2.2378401354217203e-09
1803,6.436119548425268e-08,0.0
1804,5.438072037122765e-08,0.0
1805,4.264316544322355e-08,0.0
1806,6.051504897186533e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,1.1330369886763947e-07,0.0
1809,3.840352036377226e-08,0.0
1810,3.978215445954447e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,2.5881675469463516e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,2.1577788444915313e-08,5.394447111228828e-09
1816,2.5493642752394408e-08,0.0
1817,8.718490818182545e-08,0.0
1818,4.053200441944682e-08,3.5763532135746345e-09
1819,8.384350280721264e-08,1.035105001712111e-09
1820,5.458581142647745e-08,2.3732962262101864e-09
1821,6.01550809165019e-08,2.9584463767662328e-09
1822,5.6143449000956025e-08,0.0
1823,4.842516432290722e-08,2.9648061783404955e-09
1824,3.705289586264371e-08,0.0
1825,4.138558296062911e-08,5.283265824829186e-09
1826,4.844391554570393e-08,8.807984341885344e-10
1827,5.069500019772022e-08,1.8434546111834038e-09
1828,5.1364885678140126e-08,9.172301251858528e-10
1829,3.429270378774163e-08,0.0
1830,4.905312778191728e-08,0.0
1831,5.6128342862393765e-08,0.0
1832,5.817886972181441e-08,0.0
1833,6.834341093053808e-08,0.0
1834,6.907552574375586e-08,0.0
1835,5.218530674255817e-08,0.0
1836,5.8470526198561856e-08,0.0
1837,5.914207434898344e-08,1.3915781860163179e-09
1838,2.9035945203759184e-08,0.0
1839,2.6567605004856887e-08,0.0
1840,4.267691267045848e-08,0.0
1841,1.6693427085101575e-08,6.420548537278137e-10
1842,3.219967226186782e-08,0.0
1843,2.3036953678001737e-08,0.0
1844,2.360081374774836e-08,1.097712254427563e-09
1845,3.236532108985557e-08,1.1160455892778032e-09
1846,1.2294452567118697e-08,1.1709002656346001e-09
1847,1.7258315665458213e-08,5.9325460100012606e-09
1848,1.126331028444838e-08,0.0
1849,3.77073661184113e-08,0.0
1850,1.5614691761811628e-08,0.0
1851,2.7087642351375507e-08,6.449438760824933e-10
1852,4.101643469311966e-08,5.208436348880241e-09
1853,3.881755716861335e-08,0.0
1854,5.0397943596180994e-08,0.0
1855,1.1144567935161831e-08,5.306937111981824e-10
1856,3.572260709461261e-08,0.0
1857,3.270611159678083e-08,4.881509085841174e-10
1858,3.229826006645453e-08,1.468102750479261e-09
1859,4.124660435422811e-08,0.0
1860,2.0139609091529564e-08,1.8308735638683515e-09
1861,2.5937801240161207e-08,3.772770984511453e-09
1862,3.34330998441601e-08,2.710791813242963e-09
1863,3.096664968893492e-08,4.994620717013731e-09
1864,2.1576274988888144e-08,0.0
1865,5.412870862642194e-08,0.0
1866,3.843834051053818e-08,0.0
1867,2.8631587767335986e-08,9.7056229719783e-10
1868,2.4699369660652337e-08,0.0
1869,1.1720445947105418e-08,4.883519144627257e-10
1870,2.752343419842873e-08,0.0
1871,4.248470730772169e-08,0.0
1872,2.53988243770209e-08,6.047339295989218e-10
1873,2.8134220286801792e-08,0.0
1874,2.9873046258899194e-08,6.572069999322139e-09
1875,3.4901315615343265e-08,0.0
1876,3.869449471949338e-08,0.0
1877,2.72131899237138e-08,0.0
1878,1.5701630218245555e-08,2.4156354694326865e-09
1879,1.7717043832021773e-08,6.10932526790009e-10
1880,2.9522093214495726e-08,0.0
1881,2.998178416646624e-08,6.972507571312292e-10
1882,3.394246306243076e-08,0.0
1883,3.033282780506852e-08,0.0
1884,2.706695667598069e-08,6.601696966868076e-10
1885,1.5469526104539e-08,0.0
1886,2.19417763958063e-08,0.0
1887,2.154545164501087e-08,0.0
1888,1.3315291091942072e-08,0.0
1889,1.628935564212952e-08,3.132568426877924e-09
1890,2.8839300725280737e-08,6.554386478008212e-10
1891,2.7409146952095398e-08,6.374220040683554e-10
1892,2.2566645441202127e-08,6.268512375839919e-10
1893,2.771287377356657e-08,6.158416554491453e-10
1894,1.9534772022211655e-08,0.0
1895,1.0833506536300774e-08,2.4074457982692365e-09
1896,2.240870955461105e-08,5.897029087265082e-09
1897,2.4472196713531957e-08,5.826713556089658e-10
1898,1.867257104493092e-08,0.0
1899,1.0502398950507086e-08,0.0
1900,2.7512582434496835e-08,1.038210628578895e-09
1901,1.676621685930968e-08,1.1177477832191585e-09
1902,1.1293653123800595e-08,4.910283846193408e-10
1903,1.5660639007819555e-08,2.7001101354784396e-09
1904,2.9022976022474722e-08,1.6123875568041512e-09
1905,2.5287718585786934e-08,1.5482277682110634e-09
1906,1.2860461140462576e-08,3.600929110447737e-09
1907,2.4171363577352167e-08,1.028568674676933e-09
1908,2.357466755142923e-08,0.0
1909,2.4204327431220918e-08,0.0
1910,2.1911017000775246e-08,0.0
1911,1.8621308939259507e-08,0.0
1912,2.031674206648404e-08,0.0
1913,2.704524781904638e-08,0.0
