year,six_DET yeux_NOUN,six_DET lieues_NOUN
1800,9.746909768182377e-08,1.8330479178985115e-06
1801,1.6906395927662743e-07,2.428806283205631e-06
1802,4.4756802708434407e-08,2.222175226052059e-06
1803,3.179053027491108e-07,2.435973783576628e-06
1804,1.433673482154063e-07,2.276574832649203e-06
1805,2.2743021688143017e-08,2.4960465907497564e-06
1806,4.8988376022407465e-08,1.9969966160715558e-06
1807,0.0,2.6932195851259166e-06
1808,3.85232588051565e-08,2.934565827672486e-06
1809,1.1746958428204834e-07,3.81550262318342e-06
1810,3.042164919975221e-08,2.1084542822791263e-06
1811,2.5070768572277302e-08,2.341609615541529e-06
1812,2.6672082320544632e-09,1.6750067288739956e-06
1813,1.4378708446116661e-08,1.846226155066688e-06
1814,1.5733386149463513e-08,2.1114203718752833e-06
1815,1.0788894222457657e-08,1.7639841871641693e-06
1816,1.5296186006708012e-07,2.2318524770525983e-06
1817,1.1987924608547473e-07,1.7499256728115142e-06
1818,2.8610825708597076e-08,2.0611714717233554e-06
1819,2.7637302579819334e-07,2.2461779281002237e-06
1820,1.3053129244156025e-08,2.9595003070426174e-06
1821,3.747365440176509e-08,2.1448736333695706e-06
1822,3.8097340393505874e-08,2.694885552045889e-06
1823,2.8659792761231984e-08,2.8234835554030724e-06
1824,3.3684450784221553e-09,2.194542048528092e-06
1825,1.717061319794766e-07,2.370425363551476e-06
1826,2.1139162420524826e-08,3.053728278246126e-06
1827,8.479891278057039e-08,2.3540915208286606e-06
1828,2.2013523448549677e-08,2.4113980998663465e-06
1829,1.3459886494260331e-07,2.2084500415076036e-06
1830,5.4271546368056534e-08,2.349331680306932e-06
1831,4.8332740476553226e-08,1.8350849586568074e-06
1832,6.900284432731496e-08,1.922608589666197e-06
1833,5.791814139399776e-08,3.1032541301101446e-06
1834,7.934351486937885e-08,2.02746014110744e-06
1835,4.0084366048631637e-08,2.029932829827885e-06
1836,6.183090306421946e-08,2.3522625269833952e-06
1837,6.192522761239161e-08,2.228612402177532e-06
1838,3.471689069556305e-08,2.683931143110385e-06
1839,4.47454411300896e-08,1.6695643125785864e-06
1840,8.917564464638872e-09,1.8287375951331342e-06
1841,1.8619591202195807e-08,1.6930986248553381e-06
1842,1.6770663080478698e-08,1.9769256596191553e-06
1843,4.075768533784441e-08,1.377491685161658e-06
1844,2.7991662321369404e-08,1.1520489806571277e-06
1845,4.073566373108406e-08,1.177428089249588e-06
1846,5.151961035565478e-08,1.4525018059430295e-06
1847,1.833696039454935e-08,1.5149564660532633e-06
1848,3.298540818263973e-08,1.3813645409754827e-06
1849,3.100383594301093e-08,1.1437900866440032e-06
1850,1.5614691761811628e-08,1.7590289189683972e-06
1851,1.5478653025979838e-08,1.6310630144289462e-06
1852,3.5156944022674e-08,1.2304931260587182e-06
1853,1.1346670270029335e-08,1.5873395113885636e-06
1854,3.221311861700826e-08,1.1731810900528217e-06
1855,2.4942604426314574e-08,1.313466896135651e-06
1856,2.7956822634678247e-08,1.0954931894957554e-06
1857,1.8549735136819123e-08,1.4844669067315408e-06
1858,7.829881631948865e-09,1.2214615026095998e-06
1859,2.3933214521321133e-08,9.201557418236916e-07
1860,2.8378539740359088e-08,1.194645051327825e-06
1861,1.650587277968185e-08,9.243289014193579e-07
1862,9.487771485128249e-09,1.2767828820869909e-06
1863,3.096664968893492e-08,1.3465497659126413e-06
1864,2.7329948748544552e-08,1.0054544645754504e-06
1865,3.2006543193574544e-08,1.0571571920081624e-06
1866,2.8220554781910323e-08,8.417510457547905e-07
1867,2.8631587767335986e-08,1.0516042721064878e-06
1868,1.333765986544222e-08,1.059108967638167e-06
1869,1.7580669364747337e-08,9.864709227258572e-07
1870,2.5229814681893004e-08,1.0028851420429419e-06
1871,1.3807530230280918e-08,6.648857038271672e-07
1872,1.269941263259966e-08,8.194144811568549e-07
1873,2.095101514498765e-08,7.392715701826091e-07
1874,2.5093358502203955e-08,8.113519243124756e-07
1875,3.4901315615343265e-08,7.924315355012368e-07
1876,1.045960544843183e-07,7.5575184155241e-07
1877,3.0924081073635534e-08,1.1293474244666868e-06
1878,2.7779807343364382e-08,8.412450256400916e-07
1879,2.3826368433788048e-08,1.0520258229007595e-06
1880,1.3477477800449833e-08,7.938875796753564e-07
1881,2.440377727674914e-08,9.719675517771975e-07
1882,2.1297232422057277e-08,7.008120519458316e-07
1883,1.895801765572358e-08,8.474233368360728e-07
