year,vos_DET âmes_NOUN,vos_DET ames_NOUN,vos_DET lames_NOUN
1800,5.345079756580162e-08,7.074370076409764e-07,5.65949598296811e-08
1801,1.0000967165524344e-07,7.619784128110041e-07,0.0
1802,4.2518962573012686e-08,4.6770858830313955e-07,0.0
1803,1.2872238985828233e-07,4.739324399594125e-07,7.801356893821776e-09
1804,1.9033252840472414e-07,6.006598087804349e-07,0.0
1805,2.2458734161290295e-07,4.1506015868719714e-07,0.0
1806,2.2188851911408847e-07,2.53586887488666e-07,0.0
1807,1.7366426163789583e-07,6.035544686255889e-07,0.0
1808,1.1330370286444236e-07,3.036539277800898e-07,0.0
1809,1.400598961254218e-07,4.427699797915352e-07,9.036122072814123e-09
1810,1.2402671245581587e-07,5.241883958007065e-07,0.0
1811,1.2535383575595915e-07,1.2535383620004836e-07,0.0
1812,1.6269970615212515e-07,3.707419580223359e-07,0.0
1813,2.674439656402683e-07,1.4953856464217097e-07,0.0
1814,4.185080473284586e-07,4.185080513252615e-07,1.2586708564299443e-08
1815,3.85702975336244e-07,3.128779222372202e-07,0.0
1816,5.05237675696435e-07,8.551958163849349e-07,0.0
1817,3.0826092256575066e-07,2.9113533628333244e-07,0.0
1818,2.825319118660019e-07,2.968373085110443e-07,0.0
1819,4.85464227040211e-07,2.7844325833914496e-07,0.0
1820,5.422982098934881e-07,3.3582142400234716e-07,1.6613073583471305e-08
1821,9.17118433640951e-07,3.7375039996234705e-07,0.0
1822,4.351117155465545e-07,4.1706562114995904e-07,0.0
1823,3.093281026878003e-07,4.605332060148015e-07,4.941343334508019e-09
1824,3.865290860716186e-07,6.181096852131418e-07,1.431589158329416e-08
1825,3.892005953076705e-07,6.110977208706458e-07,0.0
1826,4.403992122092859e-07,3.9635928827941314e-07,0.0
1827,3.613171030703022e-07,3.723778204678396e-07,0.0
1828,6.310543056997631e-07,2.9993425221253034e-07,2.7516904310687096e-09
1829,3.8064902696532954e-07,3.137782456086313e-07,1.0287811491593857e-08
1830,3.339787426615004e-07,4.2373552422425576e-07,1.0436835840010872e-09
1831,4.069304679887864e-07,4.0693048819484545e-07,6.236482441579483e-09
1832,3.030713173757249e-07,3.4366122581008796e-07,2.705993873419743e-09
1833,3.382419399011738e-07,3.614092142223413e-07,2.3167257001688313e-09
1834,6.459495649480118e-07,4.58325472685317e-07,3.733812370398937e-09
1835,6.254673934336097e-07,3.4638943446907433e-07,2.2689263801112247e-09
1836,5.309392547836467e-07,6.196531495694657e-07,4.704525213838906e-09
1837,4.675702827139361e-07,3.061472118037756e-07,1.3915781860163179e-09
1838,6.451029248566442e-07,2.9856524497162695e-07,9.468243078458727e-09
1839,4.656322554197345e-07,3.111206430261859e-07,5.5931801412612e-09
1840,9.21056969360734e-07,1.44591930872906e-07,4.458782232319436e-09
1841,7.428574875234517e-07,2.388444011458546e-07,5.1364388298225094e-09
1842,7.888919602017097e-07,1.8112315824936331e-07,0.0
1843,7.241872865826338e-07,2.020163629712357e-07,1.1813822142769936e-09
1844,9.347020117900229e-07,1.218460624063944e-07,6.586273748609983e-09
1845,1.059685256876719e-06,9.318980409567246e-08,2.7901139176833567e-09
