year,les_DET eaux_NOUN,les_DET lots_NOUN
1800,6.798626600357238e-05,3.772997487772045e-07
1801,5.570538405663683e-05,5.04810696355662e-07
1802,6.57835489619174e-05,6.84779053017337e-07
1803,6.877285841255798e-05,4.992868412045937e-07
1804,6.552382501467946e-05,7.539145272517089e-07
1805,6.032870669514523e-05,6.453332588307603e-07
1806,5.051277844358992e-05,1.2074193804778588e-06
1807,5.490352896231343e-05,2.143757100725452e-06
1808,5.092548053653445e-05,1.1307708831509444e-06
1809,5.907139029659447e-05,5.015047683798457e-07
1810,5.2238649459468434e-05,1.0413564268674236e-06
1811,5.3568709972751094e-05,8.549131962354295e-07
1812,5.794242997581023e-05,8.42837827974563e-07
1813,4.849650667893002e-05,6.384146615801001e-07
1814,4.401571959533612e-05,4.373881132835322e-07
1815,5.169229098100914e-05,3.5063904846310834e-07
1816,5.242188080956112e-05,4.6815598864213825e-07
1817,4.4865978225061554e-05,3.409552729038978e-07
1818,5.1160924613213865e-05,4.875761661082834e-07
1819,4.7381931381096365e-05,4.4509514651736026e-07
1820,3.839281180262333e-05,4.912723277072928e-07
1821,3.80860542463779e-05,3.4515210245444905e-07
1822,4.8787653213366866e-05,3.689426648634253e-07
1823,3.7892198633926455e-05,2.9944541068971375e-07
1824,4.0812080214891466e-05,3.865290771898344e-07
1825,4.547130765786278e-05,5.151184119256413e-07
1826,4.5599815848618164e-05,4.254256467106643e-07
1827,4.266859968993231e-05,8.443022352366825e-07
1828,4.227238491694152e-05,5.439174586285844e-07
1829,4.606024685926968e-05,7.201467653317195e-07
1830,4.466026530280942e-05,7.274474711493895e-07
1831,4.8145645450858865e-05,4.240807989219775e-07
1832,4.258693161318661e-05,8.03680158867337e-07
1833,5.670186237693997e-05,6.20882513402421e-07
1834,4.441183205017296e-05,6.870214903642591e-07
1835,5.218606474954868e-05,5.740383812735672e-07
1836,4.175064509581716e-05,6.142765514027815e-07
1837,4.713414455181919e-05,6.143817401493834e-07
1838,4.5350988330028486e-05,6.236415899252279e-07
1839,4.228024772601202e-05,6.760756363632936e-07
1840,4.3711350599551224e-05,5.471562793957219e-07
1841,4.367578185338061e-05,7.441415448283806e-07
1842,3.850678172057087e-05,6.520433402101844e-07
1843,4.213517991047411e-05,7.111920901081703e-07
1844,4.2020973978651455e-05,5.345858760108513e-07
1845,4.3623432247841265e-05,5.948523025267605e-07
1846,4.385255556371703e-05,6.25846166002475e-07
1847,3.948055450564425e-05,7.669164290291519e-07
1848,4.3825539705721894e-05,1.1472485752506145e-06
1849,4.31640432907443e-05,9.250874057897818e-07
1850,3.981474583270028e-05,1.1025329840208542e-06
1851,4.472298724067514e-05,8.306877319341766e-07
1852,4.753544521918229e-05,7.812654700956045e-07
