year,ton_DET ange_NOUN,ton_DET change_NOUN
1800,1.2576657937302116e-08,1.8864987794131594e-08
1801,7.143547753329926e-09,5.9529565277216534e-08
1802,4.699464284385613e-08,1.1189200677108602e-08
1803,5.851017448321727e-09,9.751696339321825e-09
1804,1.4831105232815389e-08,0.0
1805,4.5486042488107614e-08,1.421438877713399e-08
1806,0.0,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.484933525614963e-08,2.25903047379461e-08
1810,0.0,0.0
1811,1.7549536490690798e-08,2.5070767684098882e-09
1812,5.3344164641089264e-09,5.3344164641089264e-09
1813,1.150296680130225e-08,0.0
1814,0.0,6.293354282149721e-09
1815,8.091670666843243e-09,0.0
1816,2.3176038865813098e-09,9.502176112619054e-08
1817,3.2694341123296056e-08,8.407116069975018e-08
1818,4.768470951432846e-09,2.384235475716423e-09
1819,1.3456365133279746e-08,3.001804671498576e-08
1820,1.0679833017945839e-08,2.7292905713238724e-08
1821,3.155676242538874e-08,1.0847637454958203e-08
1822,6.316138012607553e-08,1.604098542884458e-08
1823,2.964806111727114e-08,1.3835761869529506e-08
1824,2.5263338976344585e-08,4.29476756380609e-08
1825,3.610231580353229e-08,3.258013947515792e-08
1826,1.3211976401805714e-08,2.6423952803611428e-08
1827,1.5669364195058932e-08,5.530363722527909e-09
1828,9.172301140836225e-09,1.7427371545863934e-08
1829,1.2859764475514623e-08,1.714635211591542e-09
1830,1.2524203230057651e-08,1.982998831806526e-08
1831,1.5591206548037917e-08,1.870944643656003e-08
1832,9.4709785569691e-09,2.0294953273491956e-08
1833,3.359252243040345e-08,2.4325620628928846e-08
1834,2.5203233500192823e-08,8.401078055442213e-09
1835,2.8739734148075513e-08,6.806779140333674e-09
1836,3.024337535961763e-08,2.083432448785061e-08
1837,1.0436836728189292e-08,4.87052354003481e-09
1838,2.2092566664966284e-08,1.7042836475411605e-08
1839,2.9364195297532092e-08,4.264799713382672e-08
1840,2.993753689395362e-08,8.280594876453051e-09
1841,4.044945711711989e-08,6.420548537278137e-10
1842,1.475818312002275e-08,6.708265054555795e-09
1843,2.1855571019635534e-08,3.5441467538532834e-09
1844,2.4698525891153622e-08,1.0428266250528395e-08
1845,1.6182660933505844e-08,1.5066614622583074e-08
1846,3.161430739417881e-08,2.3418005312692003e-08
1847,1.1865092020002521e-08,1.5640349459999925e-08
1848,4.50532401385928e-08,5.63165514222419e-09
1849,4.189707314417035e-08,1.1731181359664333e-08
1850,2.308258650884909e-08,1.2220192857625989e-08
1851,2.5797754377165916e-08,1.1608989325395669e-08
1852,2.213585470478563e-08,2.278690836021724e-08
1853,2.269334098414788e-08,3.642878354526147e-08
1854,3.169355367038662e-08,3.636965217879151e-08
1855,3.3964397516683675e-08,1.0083180512765466e-08
1856,4.141751386299575e-08,1.9155599773057475e-08
1857,4.490988403382801e-08,3.417056504417815e-08
1858,3.914940838178893e-08,2.5936483183386372e-08
1859,5.652312506931878e-08,3.411756210880412e-08
1860,2.517451203054577e-08,3.661747172145624e-08
1861,2.4051415636883178e-08,1.9335450573976232e-08
1862,2.4397126541231273e-08,3.7047488632424574e-08
1863,3.845858032036631e-08,3.596127129412707e-08
1864,3.068625842317374e-08,3.1165733105353866e-08
1865,3.200654297152994e-08,3.153585836912498e-08
1866,2.0435574343835583e-08,2.5301186923343266e-08
1867,3.494024269912188e-08,2.329349513274792e-08
1868,1.4819621751982481e-08,1.9265508299781686e-08
1869,3.3696281098727354e-08,2.24641887314192e-08
1870,2.4656409358669862e-08,2.1789386295267832e-08
1871,1.911811864374613e-08,9.559059321873065e-09
1872,2.297988976884824e-08,1.3908880269752899e-08
1873,2.873282162196844e-08,1.616221290134945e-08
1874,2.6288280330355462e-08,5.018671700440791e-08
1875,1.773673358185235e-08,3.718992758194872e-08
1876,4.0508298937425025e-08,5.3204928462946555e-08
1877,2.535774523693135e-08,2.1646856751544874e-08
1878,1.3889903782704494e-08,3.985798358030479e-08
1879,2.993569458986656e-08,1.1607718342077078e-08
1880,1.9253538319219388e-08,1.7969970400599777e-08
1881,2.1614773415556954e-08,1.8825771164188154e-08
1882,2.7287079484850096e-08,3.394246306243076e-08
1883,2.2749619355000306e-08,3.4756364897248204e-08
1884,2.44262796655903e-08,4.885255577846692e-08
1885,2.1915161740881928e-08,6.123353557541122e-08
1886,2.6459202329132125e-08,3.355801325710672e-08
1887,2.6768591787629248e-08,5.027272109714431e-08
1888,3.043494967158722e-08,3.4239320712003973e-08
1889,2.380751895625366e-08,5.07476087818759e-08
1890,3.277193388884214e-08,7.930807299771914e-08
1891,2.1672348138324082e-08,4.206985337873448e-08
1892,1.5671280939599797e-08,5.140180192597654e-08
1893,1.7243566130531462e-08,4.865148994781521e-08
1894,2.079507988028695e-08,3.213785149114301e-08
1895,2.5278180437737774e-08,5.537125247201402e-08
1896,2.1229304647540914e-08,4.363801409112966e-08
1897,1.6897468757548495e-08,4.428302347037061e-08
1898,5.092519517191363e-09,4.187182511827814e-08
1899,2.984892333302014e-08,3.427098604902312e-08
1900,1.713047592666328e-08,2.5436159845071415e-08
1901,1.0618603996093157e-08,4.806315345717849e-08
1902,1.1784681175353029e-08,4.3210498290591204e-08
1903,8.100329962346109e-09,8.100330717297766e-08
1904,1.1286712897629059e-08,5.320879026271541e-08
