year,bien_ADV aux_ADP,bien_ADV chauds_ADJ
1800,1.4431715271712164e-06,9.432493186523061e-08
1801,1.4715708402945893e-06,1.3572740442668874e-07
1802,1.4657853171229362e-06,6.265952379180817e-08
1803,1.4783571486987057e-06,1.2092102963379148e-07
1804,1.5127727692743065e-06,7.415552971679062e-08
1805,1.438496155969915e-06,7.960057502032214e-08
1806,1.115205918722495e-06,6.627838899930794e-08
1807,1.3380689551922842e-06,5.124519120158766e-08
1808,1.4412230484595057e-06,6.118399653587403e-08
1809,1.1792138820965192e-06,7.228897658251299e-08
1810,1.3549333743867464e-06,2.3401266702194334e-08
1811,1.060493445947941e-06,3.5099073869560016e-08
1812,1.490969452788704e-06,2.9339290108509886e-08
1813,1.5845336065467563e-06,1.4378707646756084e-07
1814,1.2177640655863797e-06,1.0384034254684593e-07
1815,1.2461173355404753e-06,4.5852800667489646e-08
1816,1.2306476264711819e-06,3.0128852301913867e-08
1817,1.3498092812369578e-06,9.652615062805125e-08
1818,1.4722653531862306e-06,4.410835785506606e-08
1819,1.4170587974149385e-06,3.001804671498576e-08
1820,1.5521356999670388e-06,3.678609061807947e-08
1821,1.6656053958286066e-06,3.4515210245444905e-08
1822,1.7584929992153775e-06,3.408709403629473e-08
1823,1.6454673641419504e-06,2.2730180404550993e-08
1824,1.3650624168803915e-06,2.863178316658832e-08
1825,1.734672309794405e-06,4.226612659863349e-08
1826,1.609218770681764e-06,4.4039921931471326e-08
1827,1.5577192016280605e-06,2.027800150017356e-08
1828,1.7500750573162804e-06,8.89713192009367e-08
1829,1.568033894727705e-06,3.5150023336427694e-08
1830,1.799310552996758e-06,2.817945699007396e-08
1831,1.6666999727021903e-06,7.171954763407484e-08
1832,1.5735354281787295e-06,1.1365174401589684e-07
1833,1.6298165519401664e-06,2.548398292390175e-08
1834,1.7007515680234064e-06,3.9205030333278046e-08
1835,1.663123043726955e-06,4.0840674842002045e-08
1836,1.951705826286343e-06,4.704525125021064e-08
1837,1.9502967916196212e-06,4.383471363667013e-08
1838,1.8172713680542074e-06,3.3454458758797045e-08
1839,1.8031014406005852e-06,1.7478688718597368e-08
1840,1.7389249933330575e-06,2.7389662093924017e-08
1841,1.8600329667606275e-06,2.3113974734201292e-08
1842,1.791777549442486e-06,2.750388716776797e-08
1843,1.9823594357148977e-06,3.5441466650354414e-08
1844,1.8287886405232712e-06,4.171306500211358e-08
1845,1.7884630096887122e-06,4.8547981634783355e-08
1846,1.8160662875743583e-06,2.985795788390533e-08
1847,1.9437177343206713e-06,1.6179670936367074e-08
1848,2.0346365090517793e-06,2.735375304041554e-08
1849,2.0621739622583846e-06,2.5976186535103807e-08
1850,1.9253593563917093e-06,3.394497838371535e-08
1851,1.8922653453046223e-06,1.9348316726564008e-08
1852,1.9056366227232502e-06,2.2135854038651814e-08
1853,1.985667267945246e-06,2.8068079416243563e-08
1854,1.912524112412939e-06,2.286092382064453e-08
1855,2.0771351501025492e-06,4.351688431825096e-08
1856,2.051720002782531e-06,2.5885945831305435e-08
1857,1.926731556523009e-06,1.8549734193129552e-08
1858,2.0631737243093085e-06,2.3489644007668176e-08
1859,2.1453327008202905e-06,4.53203412575931e-08
1860,1.9512535800458863e-06,2.1512764902809067e-08
1861,2.083041181322187e-06,2.6409397335669382e-08
1862,2.090472207783023e-06,3.7047488632424574e-08
1863,2.093245484502404e-06,2.097740825490746e-08
1864,2.2683857423544396e-06,3.643993196078554e-08
1865,2.0766597117471974e-06,1.1296426905005319e-08
1866,2.1471948912221706e-06,3.0166798836717135e-08
1867,2.0920469978591427e-06,2.3778776281346836e-08
1868,2.1730506887251977e-06,1.778354707937524e-08
1869,2.150213504137355e-06,1.5138908793232986e-08
