year,son_DET hommage_NOUN,son_DET chômage_NOUN
1800,5.502288065173389e-07,0.0
1801,6.357757662556196e-07,0.0
1802,5.079896823190211e-07,0.0
1803,6.709166946450296e-07,0.0
1804,6.402094072655018e-07,0.0
1805,8.073772543859548e-07,0.0
1806,8.35684042854723e-07,0.0
1807,4.896762764161622e-07,0.0
1808,4.690773285354055e-07,0.0
1809,5.263541265065896e-07,0.0
1810,4.001616771276417e-07,0.0
1811,7.771937760026049e-07,1.2535384286138651e-08
1812,5.334416268709674e-07,0.0
1813,7.620715554157442e-07,0.0
1814,5.978686692387214e-07,6.293354282149721e-09
1815,5.286557893668942e-07,0.0
1816,4.1021588792489183e-07,2.3176038865813098e-09
1817,5.013132344799942e-07,0.0
1818,6.950046316234193e-07,0.0
1819,8.342946484773961e-07,0.0
1820,6.063771600395285e-07,0.0
1821,6.28176813677328e-07,0.0
1822,4.902526171690624e-07,0.0
1823,5.761606651777385e-07,0.0
1824,9.339014122033973e-07,0.0
1825,7.81042789554931e-07,0.0
1826,7.803873991463206e-07,0.0
1827,3.769864559965974e-07,0.0
1828,4.576978464010395e-07,0.0
1829,6.489894042727151e-07,0.0
1830,4.1329868594175423e-07,0.0
1831,4.89563889871647e-07,0.0
1832,3.9507510429803716e-07,0.0
1833,5.270551016733904e-07,0.0
1834,4.1351972535075276e-07,7.467624740797874e-09
1835,5.082395304611964e-07,0.0
1836,4.5633893108742996e-07,0.0
1837,4.2373556041752636e-07,1.3915781860163179e-09
1838,5.592575174073744e-07,3.1560809521380406e-09
1839,5.509282310356411e-07,6.292327547896548e-09
1840,6.242294759983835e-07,3.821813088222825e-09
1841,3.8908524002678746e-07,6.420548537278137e-09
1842,5.453819689194006e-07,5.366612043644636e-09
1843,4.0226065678439227e-07,0.0
1844,4.3359633816741905e-07,0.0
1845,3.822456124957796e-07,0.0
1846,4.5138204862738007e-07,0.0
1847,4.670531650319276e-07,3.235934187273415e-09
1848,3.5962140187972835e-07,0.0
1849,3.1003835943010927e-07,3.3517659758786067e-09
1850,3.0007362283868133e-07,6.788996032014438e-10
1851,2.541078985007772e-07,2.1283147688677673e-08
1852,3.5287155086827227e-07,5.208436348880241e-09
1853,3.194983662080375e-07,1.7915795513800958e-09
1854,2.919963477676646e-07,9.871762074453727e-09
1855,3.8422223624934304e-07,3.714855978387277e-09
1856,3.422122065721567e-07,4.141751386299575e-09
1857,2.9777204724190653e-07,6.345962033638131e-09
1858,3.0291854080655156e-07,2.4468380654951716e-09
1859,2.831248326895519e-07,3.055304009791371e-09
1860,3.24522351380363e-07,8.696649622663699e-09
1861,3.8623741593912797e-07,8.960331143725853e-09
1862,3.167108478807634e-07,2.710791813242963e-09
1863,3.2564927315847925e-07,1.9978483312144135e-09
1864,3.0734205136440096e-07,2.8768367688059016e-09
1865,3.7795961360664876e-07,9.88437331983505e-09
1866,3.289154404395589e-07,9.731225603104576e-09
1867,3.4406434856748547e-07,1.649955905236311e-08
1868,4.4903456153377874e-07,3.951899252285784e-09
1869,3.013131277818104e-07,6.348574999037737e-09
1870,2.2248109798894689e-07,1.204150201772336e-08
1871,1.6250400536321763e-07,5.3105884134652115e-09
1872,2.939006995550386e-07,1.2094678591978436e-09
1873,2.6817299170200926e-07,2.9930022904522957e-09
1874,3.417476325817681e-07,1.7923826867161097e-09
1875,3.2498275004400057e-07,2.2886108563824337e-09
1876,2.6300164290837813e-07,1.813804439976252e-09
1877,2.374969400031901e-07,0.0
1878,2.80213713121924e-07,5.435179861734696e-09
