year,en_ADP airs_NOUN,en_ADP chaire_NOUN
1800,0.0,1.1727733779665073e-06
1801,2.3811825844433088e-09,9.762848449668127e-07
1802,0.0,8.52617063173966e-07
1803,7.801356671777171e-09,8.347451618817558e-07
1804,2.4718509905596875e-08,1.4361453786193579e-06
1805,3.1271653710973624e-08,1.8450276382253605e-06
1806,4.3225035994964855e-08,1.3169228463283389e-06
1807,1.4234775136401367e-08,9.964343328228153e-07
1808,2.2660739951163578e-09,8.384473630940192e-07
1809,2.259030518203531e-09,1.1634007250904688e-06
1810,9.360507036149102e-09,1.261328284041241e-06
1811,1.2535384286138651e-08,1.805095280360547e-06
1812,2.9339290108509886e-08,1.448294028705277e-06
1813,4.3136125782439194e-08,1.1416694054577903e-06
1814,0.0,1.4978183418001834e-06
1815,3.506390555685357e-08,1.4160423300602076e-06
1816,1.228330006597389e-07,1.1982011756117572e-06
1817,6.227493631882908e-09,1.616034637663688e-06
1818,5.960588467246453e-09,2.0575953048052043e-06
1819,0.0,2.0443322954477594e-06
1820,2.0173018810965004e-08,1.6530008757342785e-06
1821,1.676452932031225e-08,1.854945941737185e-06
1822,1.0025615893027862e-09,1.67327529254635e-06
1823,1.2847492847356534e-08,1.715634396326493e-06
1824,1.7684335773537896e-08,1.974750951205806e-06
1825,4.4027217427355936e-09,1.8711566951434833e-06
1826,7.0463874735082754e-09,1.6911330180668926e-06
1827,5.530363722527909e-09,2.199241361466875e-06
1828,1.0089530988466322e-08,1.629000739911124e-06
1829,1.7146351893870815e-08,2.019840177447385e-06
1830,1.982998831806526e-08,1.6302337151330448e-06
1831,0.0,1.7680428143762583e-06
1832,2.976593194148336e-08,1.6141253365020702e-06
1833,2.085053074640797e-08,1.509346847061721e-06
1834,1.8669061851994684e-09,1.6438109042837823e-06
1835,6.050470346963266e-09,1.9769912285028113e-06
1836,1.1425274948351216e-08,1.9107092628090072e-06
1837,2.5048407792382932e-08,1.559263314021564e-06
1838,2.1461350030449466e-08,1.6563112303913385e-06
1839,5.2436064379435265e-08,1.7569576886700133e-06
1840,7.0066574764382494e-09,1.4956028424606416e-06
1841,1.733548060656176e-08,3.1223128189594718e-06
1842,6.708265054555795e-09,2.011137850033151e-06
1843,1.3585895075607368e-08,1.591912582199484e-06
1844,1.0977122322231025e-08,2.2140856064112313e-06
