year,son_DET art_NOUN,son_DET char_NOUN
1800,9.429349617562366e-06,2.8769105213655166e-06
1801,7.50072515387501e-06,2.7145482235368945e-06
1802,7.210320831063655e-06,3.090457113330558e-06
1803,8.257735927941212e-06,2.9196578097412385e-06
1804,1.0690754919551182e-05,5.9868231545578965e-06
1805,8.852721435914646e-06,4.019829063395264e-06
1806,1.11376510858463e-05,3.4407130158342625e-06
1807,9.856158271759341e-06,2.7558524990922706e-06
1808,1.0473793537357778e-05,3.940702782756489e-06
1809,6.71383854466967e-06,3.4066181058278744e-06
1810,1.107114007936616e-05,4.722375607002505e-06
1811,1.0111040367632995e-05,4.02385803965899e-06
1812,1.167170358939984e-05,3.5287164834585383e-06
1813,1.2216150807375925e-05,3.6119315751648173e-06
1814,8.367014821430985e-06,2.6904089764911987e-06
1815,6.446364160694884e-06,2.8347819949203767e-06
1816,6.21117844445962e-06,1.675627576247507e-06
1817,7.809276809211951e-06,2.221658276013727e-06
1818,6.792686932044489e-06,2.23283662137419e-06
1819,6.90000979375327e-06,2.8869077759452466e-06
1820,7.226686776107272e-06,2.730477419277122e-06
1821,8.19785518046956e-06,2.563000897737311e-06
1822,9.42808900106229e-06,2.5164296886259763e-06
1823,9.079224390973195e-06,1.956772045730304e-06
1824,7.807213421529013e-06,2.6155975518804553e-06
1825,8.221642104899729e-06,2.407408242532938e-06
1826,5.538460349896468e-06,1.9817965650759106e-06
1827,6.381118240028627e-06,1.8655760598562665e-06
1828,5.922554905168909e-06,1.8005227051531847e-06
1829,7.336066886409753e-06,1.7969377026361144e-06
1830,6.041884375918016e-06,2.2167840256770432e-06
1831,5.023486412625289e-06,1.8522353215644216e-06
1832,6.815045551888943e-06,1.8698417925122612e-06
1833,5.871741173280043e-06,2.2032061846033457e-06
1834,6.677923273912256e-06,2.635138130813175e-06
1835,5.631475460177171e-06,2.3702717371065773e-06
1836,5.702556514108892e-06,1.8676963904340482e-06
1837,5.507170861562827e-06,1.6705895760082967e-06
1838,5.211321052911444e-06,1.8033846949094823e-06
1839,5.649112125638567e-06,1.4765995501875295e-06
1840,5.762020578004012e-06,1.7026177410173204e-06
1841,6.236920846447447e-06,2.059712084445664e-06
1842,6.659965528399425e-06,1.7776902438981779e-06
1843,6.385370959094416e-06,2.034340170098403e-06
1844,5.765184795336609e-06,1.3803731206962766e-06
1845,6.1577816836688726e-06,1.4787604030175316e-06
1846,5.876748318200953e-06,1.2487651694925717e-06
1847,6.598069873575696e-06,1.3278116703929754e-06
1848,5.613955785577218e-06,1.1826475834197936e-06
1849,5.803582666885632e-06,1.316406120110969e-06
1850,6.237050776292108e-06,1.6965700790905203e-06
1851,6.2759488415053966e-06,1.4582181115940784e-06
1852,7.018367981004303e-06,1.2780201217310605e-06
1853,6.4514780149238504e-06,1.3992236791438017e-06
1854,7.134686221377251e-06,1.471931684982053e-06
1855,7.226456276043791e-06,1.6202079500260425e-06
1856,6.2949444412652156e-06,1.2761771301939007e-06
1857,5.937867442185052e-06,1.7607603481906153e-06
1858,5.853325752980254e-06,1.6349771385648637e-06
1859,6.4568756812377615e-06,1.5526036811763788e-06
1860,5.873442340487145e-06,1.399245102007285e-06
1861,6.493881883784525e-06,1.4289370255937683e-06
1862,6.149883049033633e-06,1.4579541218751046e-06
1863,5.916128564820156e-06,1.530351765310911e-06
1864,5.62517487878722e-06,1.5928086547489784e-06
1865,5.3799230030904255e-06,1.5132504298520644e-06
1866,5.481112914651476e-06,1.658200869059101e-06
1867,5.431266757227604e-06,1.7280861328572428e-06
1868,5.46893436847995e-06,1.985829406692119e-06
1869,5.303990327831798e-06,1.2374837865536392e-06
1870,6.145180030614483e-06,1.85209781022877e-06
1871,3.7970707928991487e-06,1.0249436428466652e-06
1872,4.80158755777893e-06,1.6587851234817208e-06
1873,4.779824685385847e-06,1.082269633911892e-06
1874,4.348320700842123e-06,1.174608168952318e-06
1875,4.67391539871187e-06,1.12885729741663e-06
1876,5.509128506275829e-06,1.233386978327644e-06
1877,4.843329499237825e-06,1.442917598737381e-06
1878,5.6568143733670695e-06,1.2718320228088942e-06
1879,4.589325207859929e-06,1.015369911705477e-06
1880,6.126475867063164e-06,1.4247618196350231e-06
1881,4.803360489802344e-06,1.182537324950772e-06
1882,5.152599115376688e-06,1.2019625739156936e-06
1883,5.379021359885883e-06,1.2626038685681351e-06
1884,4.862809916517108e-06,9.757308312430268e-07
1885,5.103654487470521e-06,7.779882515990266e-07
1886,5.762943146692123e-06,7.989388546292275e-07
1887,5.4046438009436315e-06,8.272147216104031e-07
1888,5.2012063491702065e-06,9.32070365777804e-07
1889,5.148689368184023e-06,8.232389445694821e-07
1890,4.943973564763837e-06,8.47482178656378e-07
1891,5.016511224198439e-06,8.076137021362229e-07
1892,4.984093976645454e-06,9.31500924394868e-07
1893,5.550580709723363e-06,8.381604752472072e-07
1894,5.77536093260278e-06,9.9123214347685e-07
1895,5.7200912664256975e-06,6.33760099955083e-07
1896,5.602177495234173e-06,6.581084308621143e-07
1897,5.206168452787097e-06,7.37079282941977e-07
1898,5.8677140941654216e-06,6.105364871444863e-07
1899,5.90621749552156e-06,7.788357745397434e-07
1900,6.22199631550302e-06,7.070214298465771e-07
1901,5.706661198701113e-06,6.264976111225451e-07
1902,5.162672437108995e-06,5.312927102707476e-07
1903,5.648090365184544e-06,7.65211233044738e-07
1904,6.030867027106979e-06,5.901338457903194e-07
1905,6.53403679962139e-06,6.538681787127132e-07
1906,6.418399237873018e-06,5.231635835656334e-07
1907,6.826096026202322e-06,6.891409976006457e-07
1908,6.951089034146207e-06,6.281666884433434e-07
1909,7.355915329299023e-06,6.111592556479195e-07
1910,6.9794606361028855e-06,8.229992110031503e-07
1911,7.4325628531823895e-06,6.017343094910643e-07
1912,7.536990807466282e-06,6.339865912252662e-07
1913,7.332974163887229e-06,6.835553869599664e-07
1914,6.850768940580565e-06,7.7347387161808e-07
1915,4.376552823259772e-06,4.688743149294794e-07
1916,5.303648109133974e-06,5.043245252522865e-07
1917,5.495275189559834e-06,5.077454314772467e-07
1918,5.79257947208589e-06,5.605351374171619e-07
1919,7.130557889922784e-06,7.697761006397741e-07
1920,8.392304465587586e-06,7.163331083859248e-07
1921,9.091083214229911e-06,7.353137672083676e-07
1922,9.215779229521104e-06,6.167954111901963e-07
