year,en_ADP art_NOUN,en_ADP char_NOUN
1800,3.5529058095562505e-07,4.087413785214267e-08
1801,2.3335590038087162e-07,2.8574191901498125e-08
1802,2.528759353026544e-07,8.727576528144709e-08
1803,2.96451567294298e-07,6.046051481689574e-08
1804,3.5347467886026607e-07,3.9549615138412264e-08
1805,4.3780317948716174e-07,1.2792949632967066e-07
1806,1.2679343619481642e-07,8.06867319624871e-08
1807,4.0711458382247656e-07,7.971474502710407e-08
1808,1.994145080175258e-07,9.744118045773575e-08
1809,3.478907117937524e-07,4.292158095609011e-08
1810,3.1591712490453006e-07,9.594519667643908e-08
1811,3.133846036007526e-07,7.270522672797597e-08
1812,2.347143261971496e-07,8.001624962616916e-08
1813,3.163315744902917e-07,2.5881674803329702e-08
1814,2.1082736223476672e-07,1.888006266881348e-07
1815,3.425474046636623e-07,5.933891955578474e-08
1816,1.9931394135142e-07,4.6352077731626196e-08
1817,1.7125607354451233e-07,5.7604317760251433e-08
1818,2.0027577329884139e-07,7.987188621605412e-08
1819,2.856889746993829e-07,7.556266723440785e-08
1820,2.9191542783024715e-07,7.238553756394595e-08
1821,3.4416593208685953e-07,1.0749022372191774e-07
1822,3.448811725093037e-07,9.724847416237026e-08
1823,2.5793813007712885e-07,1.0969782104908177e-07
1824,2.080014889216386e-07,1.237903601847279e-07
1825,2.3246369362794894e-07,1.0742640799143999e-07
1826,1.98179641364149e-07,8.455665179152305e-08
1827,2.1199727545662128e-07,1.1060727445055818e-07
1828,1.6601865127086057e-07,1.5592911939421583e-07
1829,1.3974277424111392e-07,7.630126735991283e-08
1830,1.6281463843803579e-07,1.2211097555336892e-07
1831,2.2451337100548585e-07,9.666548006492803e-08
1832,2.0565553371376666e-07,1.2718171804593226e-07
1833,2.3283092964732077e-07,1.4595371899961407e-07
1834,2.1936147609480372e-07,7.841005889019925e-08
1835,2.102538445569735e-07,1.4823653060602737e-07
1836,2.5337227693711384e-07,1.1223652474079415e-07
1837,2.5048406193661776e-07,2.024746240669728e-07
1838,1.956770185884693e-07,1.0162580910133556e-07
1839,1.8527408773838516e-07,1.1745678230035139e-07
1840,2.465069468549075e-07,1.0000410949340122e-07
1841,2.3499206980304166e-07,1.3739973203641398e-07
1842,1.6837745286935046e-07,1.1471133021245805e-07
1843,2.72308605886451e-07,9.746403534238723e-08
1844,1.816713766089606e-07,9.495211111820723e-08
