year,aucun_DET art_NOUN,aucun_DET char_NOUN
1800,4.653363534501409e-07,6.288328968651058e-09
1801,3.262220005240124e-07,0.0
1802,3.6924362234458386e-07,6.713520406265161e-09
1803,4.07620897036054e-07,0.0
1804,4.2763021212977037e-07,0.0
1805,2.9281640467893055e-07,2.842877711017877e-09
1806,2.9969358461556794e-07,2.0171682990621775e-08
1807,3.672572095325677e-07,0.0
1808,2.9232354936681304e-07,4.5321479902327155e-09
1809,3.3885456618421017e-07,0.0
1810,4.3292344242829017e-07,0.0
1811,4.4876673888083474e-07,0.0
1812,2.90725702623007e-07,3.7340914360584065e-08
1813,3.422132679453682e-07,1.1502966579257645e-08
1814,2.3285410222229075e-07,6.293354282149721e-09
1815,1.3486118088934518e-07,2.697223555614414e-09
1816,3.082413133626005e-07,2.3176038865813098e-09
1817,3.3472779537024877e-07,3.113746815941454e-09
1818,3.6359591715218187e-07,1.1921177378582115e-09
1819,4.3681430617059647e-07,0.0
1820,4.010870533477373e-07,0.0
1821,4.3094705048929427e-07,1.0847637454958203e-08
1822,3.699452264527281e-07,7.017931125119503e-09
1823,2.678208073092492e-07,9.882686891060644e-10
1824,2.4673860465895814e-07,2.5263338088166165e-09
1825,3.592620760883847e-07,2.641632912414593e-09
1826,3.223722221390446e-07,0.0
1827,3.5763018146894865e-07,1.8434546111834038e-09
1828,2.9993424277563463e-07,3.668920500743411e-09
1829,3.523575387021083e-07,1.0287811491593857e-08
1830,3.7572610267488926e-07,1.0436835840010872e-09
1831,2.9311467653059253e-07,3.1182412207897414e-09
1832,3.0036533260613396e-07,4.058990921151917e-09
1833,1.8881314345353672e-07,1.5058717495186613e-08
1834,2.389639881528183e-07,1.8669061851994684e-09
1835,2.942041064102341e-07,0.0
1836,1.6197008106955124e-07,6.72075017860152e-09
1837,2.824903803100298e-07,6.957890930081589e-10
1838,2.2155688839120558e-07,1.2624323808552163e-09
1839,2.0834595781948906e-07,2.0974426639952526e-09
1840,2.8217719427736654e-07,1.2739377330817092e-09
1841,2.0353138996398457e-07,0.0
1842,1.9923546545896897e-07,0.0
1843,2.539971799553342e-07,1.1813822142769936e-09
1844,1.822202317924848e-07,4.390849017710252e-09
1845,2.2209307015685908e-07,1.1160455892778032e-09
1846,2.3183824837680334e-07,4.0981511517657054e-09
1847,1.828302798045911e-07,2.6966118227278457e-09
1848,2.1239385716853576e-07,3.218088684420195e-09
1849,1.4831564332240532e-07,1.6758829879393033e-09
1850,1.5886250626095944e-07,2.0366988096043315e-09
1851,1.7413484876271923e-07,0.0
1852,2.0247796683747765e-07,6.510545436100301e-10
1853,1.8931023682000614e-07,8.957897534855874e-09
1854,2.2445271019577717e-07,1.0391328908454511e-09
1855,2.0909331510665652e-07,5.837630823180007e-09
1856,1.863788181566406e-07,6.73034605824796e-09
1857,1.5279123666278593e-07,2.4407544874094356e-09
1858,1.83023488753431e-07,2.4468380099840203e-09
1859,1.7669841834155875e-07,1.5276520048956854e-09
1860,1.6477862008201782e-07,4.577183909670879e-10
1861,1.8863855422157627e-07,1.8863854922557266e-09
1862,1.3870218484868246e-07,1.355395878865906e-09
1863,2.0627783570148495e-07,9.989241656072068e-10
1864,2.008991043522812e-07,4.315255264231155e-09
1865,2.0663046895741388e-07,2.3534221238463715e-09
1866,1.552130568516219e-07,0.0
1867,1.572310885933348e-07,0.0
1868,1.556060259533254e-07,2.4699371437009177e-09
1869,1.9582912436089117e-07,2.9301114867763545e-09
1870,1.9438425535867054e-07,1.7202146374017957e-09
1871,1.0621176937952725e-07,1.1683295220166201e-08
1872,1.390888025865067e-07,0.0
1873,1.7060113011169165e-07,2.3944017324417644e-09
1874,1.0455565763178853e-07,3.584765539965673e-09
1875,1.7279011910176223e-07,1.4303817408301e-08
1876,1.6384699641491807e-07,1.209202959984168e-09
1877,2.1399463734361746e-07,4.9478527941460015e-09
1878,1.6788667034361993e-07,3.6234530931267273e-09
1879,1.857234916968764e-07,6.10932526790009e-10
1880,2.1628142410357043e-07,3.8507077526617195e-09
1881,1.0807386413569375e-07,2.7890030285249168e-09
1882,1.2578677788255277e-07,7.320923423037584e-09
1883,1.2765064438813312e-07,9.479008467039307e-09
1884,1.3797546571936437e-07,6.601696966868076e-10
1885,1.2053338704909322e-07,6.445635691854079e-10
1886,9.938334233350332e-08,0.0
1887,1.2013220995754637e-07,0.0
1888,1.0335201872102573e-07,0.0
1889,1.1841108510379783e-07,1.2530273485467092e-09
1890,1.1601264154892377e-07,7.865263773609854e-09
1891,9.688814439634541e-08,1.2748440081367107e-09
1892,1.1157951762541529e-07,3.761107425503951e-09
1893,8.621783220696955e-08,4.310891699166319e-09
1894,8.633108894429142e-08,3.150769645188234e-09
