year,mon_DET entier_ADJ,mon_DET chantier_NOUN
1800,1.2576657315577222e-07,0.0
1801,1.0000967165524344e-07,4.7623651688866175e-09
1802,2.3721105435470236e-07,0.0
1803,4.2322362148183856e-07,0.0
1804,4.2763021568248405e-07,4.943701892301533e-09
1805,2.3311597185937671e-07,0.0
1806,2.2188851733773163e-07,2.881669125542885e-09
1807,2.761546600282827e-07,0.0
1808,1.790198425055678e-07,0.0
1809,3.8403519653229523e-07,2.4849335034105025e-08
1810,3.01876355024433e-07,0.0
1811,3.6603319841788107e-07,7.521229861140455e-09
1812,3.360682399033976e-07,8.00162425207418e-09
1813,4.5436719631197775e-07,0.0
1814,2.0138733702879108e-07,0.0
1815,1.591361833419569e-07,0.0
1816,4.8669681618207505e-08,2.3176038865813098e-09
1817,1.7904043669858538e-07,9.341240669868967e-09
1818,1.5020683363786702e-07,1.0729059418679299e-08
1819,7.349245179089081e-08,0.0
1820,1.210381119776116e-07,1.1866481131050932e-09
1821,1.0157332830385002e-07,1.577838126820552e-08
1822,3.909990198280866e-08,5.012807946513931e-09
1823,9.685032997808207e-08,1.9765373782121287e-09
1824,1.33895688314567e-07,0.0
1825,1.5585633539316746e-07,0.0
1826,5.372870304221067e-08,2.642395191543301e-09
1827,1.5761536520386699e-07,4.608636583469661e-09
1828,3.944089616014779e-08,3.668920500743411e-09
1829,6.601345603485242e-08,8.57317605795771e-10
1830,5.322786122974321e-08,4.174734336004349e-09
1831,7.483778574624012e-08,4.677361609140007e-09
1832,9.065079198400383e-08,1.7588959622116818e-08
1833,1.1699465085612815e-07,8.108539617524002e-09
1834,5.880754372356023e-08,0.0
1835,8.621920244422654e-08,5.294161553592858e-09
1836,7.258409961963252e-08,1.008112526790228e-08
1837,4.800944664040685e-08,4.174734669071256e-09
1838,1.1551256240416308e-07,1.2624323808552163e-09
1839,5.8029243632518046e-08,0.0
1840,8.344292012907317e-08,2.5478754661634184e-09
1841,4.751206006403663e-08,7.704658244733764e-09
1842,6.775347483056748e-08,2.0124795163667386e-09
1843,7.619915387557796e-08,7.678984559333912e-09
1844,6.915587258404798e-08,5.488561383160118e-09
1845,7.365900955846882e-08,5.022205318283568e-09
1846,5.034871009002018e-08,8.781752214304106e-09
1847,6.202207458727571e-08,5.393223645455691e-10
1848,2.0032601755204382e-07,1.6090443422100975e-09
1849,6.535943697372204e-08,4.1897072478036534e-09
1850,9.300924741495464e-08,6.788996032014438e-09
1851,5.8689894055774516e-08,4.192135194536206e-08
1852,9.244974408240125e-08,5.208436348880241e-09
1853,8.420423824873069e-08,1.7915795513800958e-09
1854,8.468932916061434e-08,1.8704392701351935e-08
1855,9.552487156838652e-08,4.776243400783642e-09
1856,9.060080907730139e-08,1.5531567143511893e-09
1857,8.933161504964815e-08,8.78671624349181e-09
1858,9.591604643865992e-08,0.0
1859,9.420520519221043e-08,4.582956236731661e-09
1860,1.2358396483946876e-07,6.865776031039772e-09
1861,1.1318312892472093e-07,1.131831339762357e-08
1862,7.861296325017975e-08,1.1294965851504912e-08
1863,9.389887090094362e-08,4.145535115185339e-08
1864,8.582562993630916e-08,2.8768367688059016e-09
1865,5.083391996230091e-08,6.589582213223366e-09
1866,9.585257743083275e-08,1.1190909532388105e-08
1867,1.1840859670542159e-07,1.455843445796745e-09
1868,8.990571087608146e-08,3.951899252285784e-09
1869,7.227608322946111e-08,2.9301114867763545e-09
1870,1.0894692792362548e-07,8.601073631098188e-09
1871,2.4322497127471365e-07,4.248470908407853e-09
1872,1.082473735092293e-07,8.4662747923403e-09
1873,1.1852288528402255e-07,1.616221290134945e-08
1874,5.974609251779839e-08,8.364453130127458e-09
1875,1.270179079693179e-07,8.58229043387837e-09
1876,1.1245587550057223e-07,1.0882827083946722e-08
1877,1.3173657409382145e-07,7.4217790801967e-09
1878,1.1172313918450527e-07,1.8117265909722846e-08
1879,1.124115871498077e-07,3.0546627449723474e-09
1880,1.2258086190541917e-07,3.2089231272180996e-09
1881,5.0899306103247e-08,1.324776466304911e-08
1882,1.4708401052665465e-07,5.324308105514319e-09
1883,1.1122036447375194e-07,4.423537092179686e-09
1884,9.96856224233511e-08,7.922036360241691e-09
1885,9.152802826761786e-08,7.090199094506033e-09
1886,7.873225738030953e-08,0.0
1887,9.466940614766273e-08,9.793386546164129e-09
1888,1.0842450848258522e-07,1.0779045211961602e-08
1889,1.0462778621267432e-07,1.3783300722991498e-08
1890,1.00937553426661e-07,1.9663159989136147e-09
1891,6.565446852846435e-08,8.92390783491237e-09
1892,1.0593785937373923e-07,1.8805537127519756e-09
1893,1.2378417602043612e-07,1.847525021858587e-09
1894,9.956431945568056e-08,5.671385139294216e-09
1895,1.2879835131762718e-07,7.824199066419624e-09
1896,9.199365202938736e-08,5.897029087265082e-09
1897,1.0954221796311003e-07,1.1653427112179315e-09
1898,1.1939129174187713e-07,3.3950129374460403e-09
1899,1.2547603311929834e-07,2.7637891975018647e-09
1900,1.0589748677958255e-07,4.671947717582725e-09
1901,1.2239338087471907e-07,1.117747761014698e-08
1902,7.021705816789847e-08,5.892340670943241e-09
1903,6.480264391761636e-08,1.7820726228023887e-08
1904,1.144795147567379e-07,5.912087708281888e-09
1905,1.1353669715497006e-07,7.2250627702885595e-09
1906,9.568183045871592e-08,8.230695236477459e-09
1907,1.2805679427962957e-07,1.6457098794830927e-08
1908,1.61093567818682e-07,1.9154418051670064e-08
1909,1.6998038832038986e-07,2.3104131940954176e-08
