year,en_ADP hyène_NOUN,en_ADP chienne_NOUN
1800,0.0,2.829748169119739e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,2.6854081625060644e-08
1803,0.0,1.950339267864365e-08
1804,0.0,1.2359254952798437e-08
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-09,2.881669125542885e-08
1807,0.0,8.540865792383556e-09
1808,0.0,5.211970011131939e-08
1809,0.0,0.0
1810,0.0,1.8721014072298203e-08
1811,0.0,2.757784400841956e-08
1812,0.0,1.0668832928217853e-08
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,5.394447111228828e-09
1816,0.0,9.270415546325239e-09
1817,0.0,3.113746815941454e-09
1818,0.0,8.344824387052086e-09
1819,0.0,0.0
1820,0.0,9.493184904840746e-09
1821,0.0,2.1695274909916407e-08
1822,0.0,1.0025615893027862e-08
1823,0.0,4.941343334508019e-09
1824,0.0,2.5263338088166165e-09
1825,8.805443041381977e-10,5.283265824829186e-09
1826,0.0,8.807984452907647e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,1.1006761724274838e-08
1829,0.0,1.457439946506156e-08
1830,0.0,5.218417697960831e-09
1831,4.677361609140007e-09,0.0
1832,1.488296597074168e-08,4.058990921151917e-09
1833,0.0,2.3167257001688313e-09
1834,0.0,7.467624740797874e-09
1835,0.0,1.2100940693926532e-08
1836,8.064899859050456e-09,5.376600054063374e-09
1837,0.0,2.0873671680021744e-09
1838,1.8936485712828244e-09,1.0730675015224733e-08
1839,0.0,1.11863602825224e-08
1840,4.458782232319436e-09,9.554533164646273e-09
1841,5.1364388298225094e-09,9.630822361827995e-09
1842,8.720745015011744e-09,5.366612043644636e-09
1843,5.906911071384968e-10,8.860366662588604e-09
1844,6.037417232818143e-09,4.9397050894128824e-09
1845,5.580227946389016e-10,5.022205318283568e-09
1846,5.854501328173001e-10,1.1709002656346001e-08
1847,3.235934187273415e-09,6.47186837454683e-09
1848,0.0,7.24069959545659e-09
1849,0.0,5.02764896381791e-09
1850,1.2899092460827433e-08,4.073397619208663e-09
1851,5.159551008659946e-09,1.9348316282474798e-09
1852,6.510545436100301e-10,1.3021090872200602e-09
1853,0.0,1.7915795513800958e-09
1854,1.0391328908454511e-09,2.0782657816909023e-09
1855,1.0613874223963649e-09,1.4328730202350926e-08
1856,7.248064815001953e-09,5.177189343896771e-09
1857,9.763018171682347e-10,4.881509085841174e-10
1858,9.787352039936081e-10,6.8511463169329545e-09
1859,2.5460866748261424e-09,7.129042689513199e-09
1860,2.288591982591015e-09,1.1900677776566226e-08
1861,3.772770984511453e-09,4.71596389717277e-09
1862,9.035972525772706e-10,1.400575744270327e-08
1863,0.0,8.490855130105501e-09
1864,0.0,8.63051052846231e-09
1865,9.41368871743009e-10,9.413688495385486e-09
1866,4.379051787850585e-09,1.2650593461671633e-08
1867,4.85281148598915e-10,5.338092634588065e-09
1868,5.433861360870651e-09,8.397785578040384e-09
