year,son_DET air_NOUN,son_DET cher_ADJ
1800,3.744699938579288e-06,1.6161004925407951e-06
1801,3.2907943818827334e-06,1.931139120614489e-06
1802,3.01660844570506e-06,1.823839710368702e-06
1803,3.2161094338789553e-06,1.6129305340228939e-06
1804,5.203246075780044e-06,3.0873418950250198e-06
1805,4.591247318330716e-06,1.6659263923912704e-06
1806,3.316801098662836e-06,1.6627231422816635e-06
1807,2.9067411730920867e-06,1.3608445401658287e-06
1808,3.6189201750858047e-06,1.4525533740261665e-06
1809,3.3411062361210497e-06,2.0218322198672922e-06
1810,4.701314708199789e-06,3.381483239195404e-06
1811,3.123817577943555e-06,1.8151235536834065e-06
1812,3.5740591215471795e-06,2.9739371854020646e-06
1813,3.830487941058891e-06,2.1309246562850603e-06
1814,2.712435588136941e-06,1.4883782331054363e-06
1815,2.5192067028001475e-06,1.1247422353477532e-06
1816,2.336144632408832e-06,2.0232681681164877e-06
1817,3.154225424850665e-06,1.5802265416198225e-06
1818,3.2509049674445123e-06,1.4841866082804245e-06
1819,3.006980080044741e-06,1.4864107598100418e-06
1820,2.8004895398225926e-06,1.604348215167306e-06
1821,3.0501582557462825e-06,2.181361193009934e-06
1822,3.708475276198442e-06,1.858749214989075e-06
1823,3.294887733318319e-06,1.767024375709525e-06
1824,3.3566554122899106e-06,2.084225339871182e-06
1825,3.051086025607219e-06,1.8165628574706716e-06
1826,2.971813813701374e-06,1.2207866042501792e-06
1827,2.367917545598175e-06,1.0185086916081332e-06
1828,2.8690957378785242e-06,1.290542744669665e-06
1829,3.1334958237039245e-06,1.3622776213750853e-06
1830,3.266729635242882e-06,1.286861840199549e-06
1831,2.6598597173688177e-06,1.0477290910415604e-06
1832,3.1470708279357495e-06,1.4504126895076297e-06
1833,2.992051236105908e-06,1.4166778035118455e-06
1834,2.660341408500244e-06,1.1686833261137508e-06
1835,3.758854660418365e-06,1.5443826058003651e-06
1836,3.0209770613964793e-06,1.930871549760127e-06
1837,2.594597589222758e-06,1.2398961821702414e-06
1838,2.1821143860734082e-06,1.3236603848554296e-06
1839,2.5903414666572644e-06,1.4626166180420341e-06
1840,2.4211187366063314e-06,1.366298259419807e-06
1841,2.19454339855929e-06,1.4304982656199172e-06
1842,2.563898988228175e-06,1.3845858823913204e-06
1843,2.5187068644072497e-06,1.4235655569905248e-06
1844,2.2870834754940006e-06,1.2799324986545457e-06
1845,2.1913555343644475e-06,1.4441629834216485e-06
1846,2.2832555970353496e-06,1.4507454100254336e-06
1847,1.7231349573876287e-06,1.0829593390937475e-06
1848,1.861664259195095e-06,1.057946692029077e-06
1849,1.814981274605998e-06,1.0415613029834958e-06
1850,2.033983264482231e-06,1.0964228804866138e-06
1851,1.946440590927523e-06,1.0480337895302227e-06
1852,2.186241260915267e-06,1.3138281147462294e-06
1853,2.1325768670976686e-06,1.2027471223419184e-06
1854,1.806012946303781e-06,1.390359841479949e-06
1855,2.283574971784219e-06,1.7035268342624477e-06
1856,2.1438741697465957e-06,1.6137298821661261e-06
1857,2.5906168019673714e-06,1.8403289612223261e-06
1858,2.563307546665783e-06,1.5933809063284343e-06
1859,2.6056650312966667e-06,1.7685117548182916e-06
