year,bon_ADJ ange_NOUN,bon_ADJ change_NOUN
1800,1.9808236295659754e-07,0.0
1801,5.143354375736209e-07,0.0
1802,1.7231369042747247e-07,0.0
1803,5.031875243144412e-07,0.0
1804,2.471850919505414e-07,0.0
1805,2.2174446456801888e-07,0.0
1806,1.8730849404846595e-07,0.0
1807,2.2775641106420608e-07,0.0
1808,2.130109537645808e-07,0.0
1809,2.484933609991913e-07,0.0
1810,3.5803938658318657e-07,0.0
1811,2.1310152709119734e-07,0.0
1812,1.680341199516988e-07,0.0
1813,4.026038262772147e-07,0.0
1814,1.856539473266139e-07,0.0
1815,3.128779297867368e-07,0.0
1816,3.1287652291212e-07,0.0
1817,3.7053587220725603e-07,0.0
1818,3.349850730138826e-07,0.0
1819,3.4261976422644835e-07,0.0
1820,5.126319768677945e-07,0.0
1821,5.561879320437058e-07,0.0
1822,8.251082022070477e-07,0.0
1823,3.7257730411965895e-07,0.0
1824,3.9158173059661294e-07,0.0
1825,6.366335369989429e-07,0.0
1826,7.962417666318444e-07,0.0
1827,2.1476245493090573e-07,0.0
1828,2.7058288171177836e-07,1.1006761724274838e-08
1829,3.0006116746861267e-07,5.143905745796928e-09
1830,3.224982336735849e-07,2.0873671680021744e-09
1831,4.2408080247469115e-07,0.0
1832,4.3972400953773416e-07,1.3529969367098715e-09
1833,4.841956693368843e-07,0.0
1834,7.850340537629563e-07,4.667265685043276e-09
1835,1.7523675168718e-06,2.2689263801112247e-09
1836,7.191202304746014e-07,4.704525213838906e-09
1837,5.468902228855654e-07,2.0873671680021744e-09
1838,4.0208469909153166e-07,0.0
1839,5.593180213425697e-07,1.1885507689157748e-08
1840,3.3377168229264953e-07,0.0
1841,5.168541523659087e-07,0.0
1842,4.380497102829395e-07,6.708265054555795e-10
1843,5.127198817178602e-07,5.906911071384968e-10
1844,5.554424274967218e-07,0.0
1845,4.564626596703647e-07,0.0
1846,4.2210955530919136e-07,0.0
1847,3.9640195215184804e-07,0.0
1848,5.092625414704344e-07,0.0
1849,2.86575997598959e-07,8.379414939696517e-10
1850,4.0326635541987343e-07,1.3577992064028876e-09
1851,4.4049666159118317e-07,0.0
1852,4.921972298621569e-07,0.0
1853,4.765601708811573e-07,1.1943863675867306e-09
1854,5.455447689151072e-07,0.0
1855,5.174263719709415e-07,0.0
1856,1.4874064481196214e-06,3.1063134287023786e-09
1857,6.951268796684396e-07,0.0
1858,6.626037575840904e-07,4.893676019968041e-10
1859,7.3174533188336e-07,2.036869339860914e-09
1860,7.177024179405578e-07,1.373155145145688e-09
1861,6.8617271892224e-07,2.357981809808507e-09
1862,6.582705820434853e-07,0.0
1863,7.327108697552376e-07,9.989241656072068e-10
1864,6.424935685700461e-07,0.0
1865,6.490738413411634e-07,9.41368871743009e-10
