year,bien_ADV armer_VERB,bien_ADV charmer_VERB
1800,1.2576657937302116e-08,0.0
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,0.0,8.951360541686881e-09
1803,3.900678446910888e-09,3.900678446910888e-09
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,1.4234775136401367e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.8072244145628247e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.1337665856435706e-08,1.3336041604361526e-08
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,6.952811659743929e-09,0.0
1817,3.113746815941454e-09,0.0
1818,1.0729059418679299e-08,0.0
1819,1.035105001712111e-09,0.0
1820,1.898636980968149e-08,0.0
1821,0.0,2.9584463767662328e-09
1822,1.5038423839541792e-08,9.023054303725075e-09
1823,0.0,1.2847492847356534e-08
1824,1.044218009838005e-07,1.2631669044083083e-08
1825,1.2327619813845558e-08,4.4027217427355936e-09
1826,3.8755132436563144e-08,8.807984341885344e-10
1827,3.041700225026034e-08,0.0
1828,1.9261833017480967e-08,1.8344602503717056e-09
1829,1.3717081692732336e-08,3.429270423183084e-09
1830,1.2524203008013046e-08,1.0436835395921662e-08
1831,9.354723218280014e-09,1.5591206103948707e-09
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,6.950177322551099e-09
1834,3.267085801894609e-08,6.534171426153534e-09
1835,6.806779140333674e-09,1.5882484660778573e-08
1836,4.5029025841358816e-08,1.3441500135158435e-09
1837,2.7135774516295896e-08,4.87052354003481e-09
1838,4.607878167917079e-08,5.680945491803868e-09
1839,3.216078425793967e-08,1.3982950353153e-09
1840,2.7389662093924017e-08,1.9109065441114126e-09
1841,1.2841097074556274e-08,5.778493683550323e-09
1842,2.4149754196400863e-08,5.366612043644636e-09
1843,1.7130041385371442e-08,1.7720733769266417e-09
1844,2.7991662321369404e-08,2.7442805805577564e-09
1845,4.296775557577348e-08,2.7901139176833567e-09
1846,1.7563504428608212e-08,0.0
1847,1.240441438454809e-08,2.1572894581822766e-09
1848,4.82713291560799e-09,1.6090443422100975e-09
1849,7.54147322368226e-09,0.0
1850,2.5119284430275002e-08,8.82569484161877e-09
1851,1.6768540334055615e-08,4.514607354622058e-09
1852,9.114764054629632e-09,6.510545436100301e-09
1853,8.360704129017904e-09,8.360704129017904e-09
1854,1.558699302961486e-08,1.558699391779328e-09
1855,1.1675261646360013e-08,5.837630823180007e-09
1856,1.0354378465748937e-09,4.141751386299575e-09
1857,5.125584578991038e-08,2.4407544874094356e-09
1858,1.6149130033227266e-08,5.872411001917044e-09
1859,1.9859475841599306e-08,2.5460866748261424e-09
1860,6.408057640072684e-09,9.154367819341758e-10
1861,2.6409397335669382e-08,5.187560159214399e-09
1862,1.0843167252971853e-08,7.680577063240435e-09
1863,2.1976331865403154e-08,1.4983863039219614e-09
1864,2.349416661218129e-08,4.794728170054441e-09
1865,3.0594488720225854e-08,9.41368871743009e-10
