year,en_ADP arme_NOUN,en_ADP charme_NOUN
1800,4.087413785214267e-08,5.0306631749208464e-08
1801,4.7623650800687756e-08,2.6193008650921e-08
1802,4.2518962573012686e-08,6.713520406265161e-09
1803,1.5602713787643552e-08,4.095712213825209e-08
1804,1.730295728918918e-08,8.157108055684148e-08
1805,5.685755422035754e-09,1.9900143755080535e-08
1806,2.881669125542885e-08,5.76333825108577e-09
1807,3.4163463169534225e-08,5.693910232196231e-09
1808,1.8128591960930862e-08,1.3596443970698147e-08
1809,4.51806094758922e-08,3.840352036377226e-08
1810,2.3401266702194334e-08,2.574139479349924e-08
1811,8.273353557797236e-08,1.2535384286138651e-08
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,5.176335093892703e-08,5.176335093892703e-08
1814,3.1466772298927026e-08,9.440030979135372e-09
1815,4.045835311217161e-08,1.8880564667256294e-08
1816,4.6352077731626196e-08,2.7811246638975717e-08
1817,1.2454987263765815e-08,3.7364962679475866e-08
1818,3.099506074022429e-08,1.3113295338484932e-08
1819,1.8631890696951814e-08,1.5526575580793178e-08
1820,5.6959109429044474e-08,1.0679833017945839e-08
1821,4.437669787193954e-08,3.155676253641104e-08
1822,5.6143449000956025e-08,1.7043547018147365e-08
1823,7.412015179397713e-08,1.4824030003524058e-08
1824,2.105278085196005e-08,3.8737120178211626e-08
1825,2.553578504205234e-08,3.522177394188475e-08
1826,2.7304752237000685e-08,2.290075862276808e-08
1827,2.7651818612639545e-08,3.041700225026034e-08
1828,1.834460228167245e-08,3.0268594741755805e-08
1829,2.8291481157793896e-08,3.429270378774163e-08
1830,5.5315229730013016e-08,1.7742621594152297e-08
1831,5.6128342862393765e-08,5.3010101197514814e-08
1832,5.141388470519814e-08,1.488296597074168e-08
1833,8.68772147555319e-08,4.054269808762001e-08
1834,4.480574844478724e-08,2.14694217959277e-08
1835,7.260564416355919e-08,1.739510224751939e-08
1836,7.728862527756064e-08,3.49478987970997e-08
