year,en_ADP ans_NOUN,en_ADP chant_NOUN
1800,1.006132621661493e-07,2.7668647817336023e-07
1801,9.28661236798689e-08,2.0716288418043405e-07
1802,9.175144555229053e-08,1.4098392853156838e-07
1803,9.946729906396001e-08,1.6577882888668682e-07
1804,9.887404028852131e-08,3.287561867182376e-07
1805,6.25433098644379e-08,2.444874951379461e-07
1806,1.6137346481315262e-07,2.1900684998854558e-07
1807,1.5088862248546775e-07,1.6227643584443285e-07
1808,1.427626639127766e-07,2.49268151453208e-07
1809,7.906607124574805e-08,1.5813214049309465e-07
1810,1.4508786394529238e-07,1.0062544930633521e-07
1811,8.273353602206157e-08,2.2312982661532033e-07
1812,9.068508077803017e-08,1.0402111882967802e-07
1813,7.476928232108548e-08,3.594676958318388e-07
1814,3.1466771410748606e-08,9.125363931161701e-08
1815,4.855002422310406e-08,9.170560133497929e-08
1816,5.7940095388175905e-08,6.952811304472561e-08
1817,6.383180817248757e-08,2.5377035550722127e-07
1818,6.318223921830679e-08,1.7881765757010726e-07
1819,1.066158181739496e-07,2.0805610745355807e-07
1820,4.509263007435038e-08,2.420762088561901e-07
1821,1.0354562518521959e-07,1.7947908759197162e-07
1822,1.3334069137727056e-07,1.5539704634193185e-07
1823,4.348382143248841e-08,1.1760397067295258e-07
1824,5.557934468214398e-08,1.962119284826258e-07
1825,4.138558074018306e-08,1.7258667805997163e-07
1826,3.435113959948666e-08,1.2507337998624024e-07
1827,6.544263980723386e-08,9.309445658800541e-08
1828,4.035812389835414e-08,1.1098484736793424e-07
1829,5.658296359234427e-08,1.3459886877287275e-07
1830,2.7135772739939057e-08,1.4298464634521224e-07
1831,4.989185842241284e-08,6.236482619215167e-08
1832,3.9236911608675484e-08,7.170883975504694e-08
1833,3.938433690287013e-08,9.614411311531512e-08
1834,4.760610661236342e-08,8.214386926219674e-08
1835,9.756383434478266e-08,1.1420262779893164e-07
1836,3.09154504218867e-08,9.207427353885578e-08
1837,3.478945287405111e-08,8.419048214136637e-08
1838,3.282324301245865e-08,1.0478188672280453e-07
1839,6.711815891957684e-08,1.0067724076634477e-07
1840,6.369688487772862e-08,9.363442499132901e-08
1841,9.052973348744331e-08,8.60353535081515e-08
1842,7.24492630332918e-08,5.2324468757802833e-08
1843,3.544146692791017e-08,4.016699423070591e-08
1844,3.402907938765409e-08,7.409557367665798e-08
1845,2.566904799827796e-08,5.1896119401817487e-08
1846,3.2785206105501175e-08,6.908311278586154e-08
1847,2.1572895470001185e-08,6.148274955819488e-08
1848,1.930853293918844e-08,3.459445352405055e-08
1849,4.7762666932626985e-08,3.016589333881825e-08
1850,3.2587180065490884e-08,5.7706466272122725e-08
1851,3.4826968864365426e-08,5.6755062871616246e-08
1852,2.79953455972759e-08,6.966283905285309e-08
1853,6.270528518648177e-08,9.614810259073181e-08
1854,3.273268556203135e-08,7.429800064073788e-08
1855,2.4411910715116392e-08,1.0136249883885284e-07
1856,1.501384794266869e-08,9.577799886528737e-08
1857,4.58861838525948e-08,9.958278235355777e-08
1858,5.285170184832211e-08,8.22137555256397e-08
1859,2.9025388315062628e-08,8.045633714814926e-08
1860,1.968189100587381e-08,7.23195086038686e-08
1861,1.9807047502151676e-08,7.781339972368073e-08
1862,3.252950275811628e-08,6.731799831460883e-08
1863,2.6970952249349978e-08,5.843706346597699e-08
1864,1.821996631345968e-08,6.712619393667296e-08
1865,2.07101151783462e-08,7.625087605767078e-08
1866,3.113992252945508e-08,5.4981426800271294e-08
1867,3.299911810472622e-08,6.599823620945244e-08
1868,4.8410764397210926e-08,7.212215891172491e-08
1869,5.4207061062072626e-08,8.594993483601598e-08
1870,2.2362789842134134e-08,6.594156332084822e-08
1871,6.054070955663349e-08,6.79755323140796e-08
1872,3.5679300403046454e-08,5.1402382683640724e-08
1873,5.566984112581608e-08,8.440266102693883e-08
1874,3.166542839050379e-08,5.43689417931148e-08
1875,3.204055232242098e-08,9.898241870587299e-08
1876,3.143927651549916e-08,7.376138100312346e-08
1877,2.4120781705327943e-08,5.8755752263550676e-08
1878,3.502671280797287e-08,1.3829513001439864e-07
1879,2.627009876299269e-08,1.1241158481833935e-07
1880,5.519347645588368e-08,6.674560282249331e-08
1881,3.2770786140279284e-08,6.484431708253524e-08
1882,4.192892699705908e-08,3.7935693475432686e-08
1883,3.854796920554904e-08,9.479008333812544e-08
1884,2.970763635090634e-08,5.479408304864819e-08
1885,3.351730637479733e-08,6.703461119528242e-08
1886,2.9040586768669385e-08,5.679048187268165e-08
1887,3.7867761704113434e-08,6.071899921744617e-08
1888,2.5996519825710607e-08,5.199304209391187e-08
1889,2.5060547192978788e-08,6.139833974572184e-08
1890,3.211649518553017e-08,4.588070423583446e-08
1891,3.4420787553557375e-08,3.4420788885825004e-08
1892,3.447681917734258e-08,5.516290779716826e-08
1893,1.9706933140906102e-08,4.680396581413504e-08
1894,2.5836310646454308e-08,8.696123932061539e-08
1895,2.708376523052891e-08,9.38903896852139e-08
1896,2.594692793955744e-08,8.60966261062579e-08
1897,2.38895258020122e-08,6.817254749602597e-08
1898,2.150174849280262e-08,8.374365212393542e-08
1899,2.819064981451902e-08,6.964748777704699e-08
1900,2.0764212682600203e-08,7.527027223730443e-08
1901,2.5149324622830704e-08,6.538824287583012e-08
1902,3.191684577741327e-08,5.54862090718089e-08
1903,2.4300991663395166e-08,1.009841175125814e-07
1904,4.192207558872951e-08,1.3974025048213434e-07
1905,3.818961596957493e-08,7.947569163890833e-08
1906,4.012464094316215e-08,6.893207116220879e-08
1907,2.108565710923216e-08,5.7599847280709326e-08
1908,2.6521501217402488e-08,7.219742248487648e-08
1909,3.685658955809856e-08,1.0561888075244497e-07
1910,2.93928290595602e-08,9.138497336635965e-08
1911,2.873001958558774e-08,7.55493151372022e-08
1912,2.2400511667797218e-08,8.387168204393447e-08
1913,3.2348237311019545e-08,7.265096180208985e-08
1914,3.147469573860917e-08,8.303962434341727e-08
1915,2.591767644943843e-08,4.3588819442774707e-08
1916,2.7468654462126096e-08,4.394984687294823e-08
