year,en_ADP armes_NOUN,en_ADP charmes_NOUN
1800,1.8959311773869558e-06,1.5720821977538435e-08
1801,3.540818397596013e-06,2.3811825400343878e-08
1802,3.318716835565283e-06,0.0
1803,3.0132741812849417e-06,7.801356893821776e-09
1804,1.7204082496391493e-06,3.213406074564773e-08
1805,1.924628122651484e-06,1.421438877713399e-08
1806,1.9854701349686366e-06,4.034336598124355e-08
1807,2.9437514967867173e-06,3.4163463169534225e-08
1808,2.358983010708471e-06,6.798221985349073e-09
1809,2.2816209366283147e-06,1.3554183553310395e-08
1810,1.8065778704112745e-06,1.4040760554223652e-08
1811,2.4845130610628985e-06,0.0
1812,1.5149743148867856e-06,1.600324850414836e-08
1813,1.509764388174517e-06,4.601186631703058e-08
1814,4.034040102851577e-06,1.8880061958270744e-08
1815,3.468629529379541e-06,2.697223555614414e-09
1816,2.1623243355861632e-06,2.3176038865813098e-09
1817,3.095064357694355e-06,0.0
1818,3.6359590467327507e-06,8.344824387052086e-09
1819,4.387809894979e-06,7.24573512300708e-09
1820,5.989013061480364e-06,2.3732962262101864e-09
1821,3.6941135022061644e-06,8.875339574387908e-09
1822,4.038317911181366e-06,1.0025615893027862e-09
1823,6.743945505149895e-06,1.680056804787e-08
1824,5.914147550356574e-06,1.0947446504872005e-08
1825,6.002670488669537e-06,1.584979791857677e-08
1826,9.073985893337522e-06,1.3211976401805714e-08
1827,4.826164058613358e-06,7.373818444733615e-09
1828,4.306395567255095e-06,2.5682442839070063e-08
1829,3.500427737890277e-06,2.1432940588983485e-08
1830,4.005657501693349e-06,1.2524203008013046e-08
1831,3.4269471598236123e-06,0.0
1832,3.5922068946092622e-06,8.117981509236927e-09
1833,3.4820386645151302e-06,1.9692167896323554e-08
1834,5.70246493225568e-06,1.120143711119681e-08
1835,6.702408427372575e-06,1.663879345414898e-08
1836,6.920356554473983e-06,1.0753200108126748e-08
1837,5.8063601500180084e-06,2.0873671680021744e-09
1838,7.635190740984399e-06,8.837027110075724e-09
1839,5.122653874423122e-06,1.677954131196202e-08
1840,5.651824722008314e-06,6.3696887764308485e-09
1841,4.249119228916243e-06,1.412520722610111e-08
1842,5.654396773024928e-06,6.708265054555795e-09
1843,4.572539637592854e-06,2.3627644285539873e-09
1844,5.208644779486349e-06,1.2074834465636286e-08
1845,4.59699185739737e-06,4.464182357111213e-09
1846,4.358090791356517e-06,2.9272506640865004e-09
1847,4.043299668410327e-06,5.3932236454556914e-09
1848,4.8287420213455334e-06,7.24069959545659e-09
1849,4.320426342019346e-06,1.005529792763582e-08
1850,4.813398390979273e-06,1.3577992064028876e-08
1851,4.385618467495078e-06,7.094382858952031e-09
1852,3.412827936699614e-06,1.3672145415810633e-08
1853,3.713347268785583e-06,9.555090940693844e-09
1854,4.384621206554584e-06,1.2989160858012383e-08
1855,3.315774392831372e-06,2.0166361025530932e-08
1856,3.2895859476411715e-06,2.7439103433835044e-08
1857,4.11023074775585e-06,1.8549734193129552e-08
1858,4.17136925534578e-06,1.1744822003834088e-08
1859,4.272333626431646e-06,1.2221216039165483e-08
1860,4.130908564548008e-06,2.288591893773173e-08
1861,3.746833272089134e-06,3.3011746669586728e-09
1862,4.078386155015323e-06,4.9697850279528666e-09
1863,4.1874900489347056e-06,3.146611149418277e-08
1864,3.551454938133247e-06,2.7329949858767577e-08
1865,3.2924376682785805e-06,5.1775286835642476e-09
1866,4.0997656469698995e-06,6.811858022093276e-09
1867,3.3955122944462346e-06,4.367530337390235e-09
1868,3.4465501812519506e-06,2.2229432850018327e-08
1869,2.9574591735581635e-06,4.883519144627257e-10
1870,3.2970781376207015e-06,1.0321287824410774e-08
1871,4.70624354420579e-06,2.1242354542039266e-09
1872,4.689106845034985e-06,9.675742873582749e-09
1873,3.4024449178104987e-06,7.78180558880237e-09
1874,3.796864120886312e-06,2.9873046258899194e-09
1875,3.676653250295203e-06,1.0870901512305409e-08
1876,3.5302680316817714e-06,1.209202959984168e-08
1877,3.3459855330875143e-06,8.040260790487253e-09
1878,3.4984441299457103e-06,6.039088784604019e-09
1879,3.299646550658508e-06,1.5273313280772527e-08
1880,3.083133378822822e-06,1.0268554229142524e-08
1881,3.071389528486179e-06,1.9523020977629812e-08
1882,2.9463390092132613e-06,1.0648616211028639e-08
1883,2.9448119676089846e-06,5.6874050469168935e-09
1884,2.9027662549196975e-06,5.941527270181268e-09
1885,3.1512713576375972e-06,1.2891271383708158e-09
1886,2.9518143946916098e-06,1.097088819790315e-08
1887,2.5743549940671073e-06,9.793386546164129e-09
