year,certain_ADJ an_NOUN,certain_ADJ champ_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,4.475680270843441e-09,1.1189200677108602e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,8.540865792383556e-09,2.8469550272802735e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,1.3554183553310395e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,0.0,4.6352077731626196e-09
1817,3.113746815941454e-09,9.341240669868967e-09
1818,4.768470951432846e-09,0.0
1819,2.070210003424222e-09,4.140420006848444e-09
1820,0.0,0.0
1821,0.0,9.86148829262845e-10
1822,0.0,5.012807946513931e-09
1823,2.964806067318193e-09,0.0
1824,2.5263338088166165e-09,0.0
1825,8.805443041381977e-10,0.0
1826,1.7615968683770689e-09,0.0
1827,1.8434546111834038e-09,6.452091305675367e-09
1828,1.8344602503717056e-09,5.503380862137419e-09
1829,4.286588084490006e-09,4.286587973467704e-09
1830,1.0436835395921662e-08,6.262101504006523e-09
1831,0.0,4.677361609140007e-09
1832,0.0,0.0
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,0.0,2.8003592777992026e-09
1835,0.0,7.563087933704082e-09
1836,2.0162250202737653e-09,9.409050427677812e-09
1837,6.957890930081589e-10,3.478945576063097e-09
1838,5.680945713848473e-09,1.8936485712828244e-09
1839,0.0,2.0974426639952526e-09
1840,6.369688665408546e-10,5.732719632334238e-09
1841,6.420548537278137e-10,3.2102742686390684e-09
1842,2.0124795163667386e-09,2.683306021822318e-09
1843,2.3627644285539873e-09,2.953455480181333e-09
1844,2.744280691580059e-09,4.9397050894128824e-09
1845,2.7901139176833567e-09,1.2276501593078137e-08
1846,5.854501328173001e-10,1.3465353276842507e-08
1847,1.0786447290911383e-09,9.707802561820245e-09
1848,3.218088684420195e-09,1.6090443422100975e-09
1849,0.0,8.379414495607307e-09
1850,1.3577992064028876e-09,9.504594444820214e-09
1851,3.8696632564949596e-09,1.0319102017319892e-08
1852,5.208436348880241e-09,7.161600201754936e-09
1853,5.971931837933653e-10,5.971931837933653e-10
1854,5.195664454227256e-10,3.117398783558656e-09
1855,1.0613874223963649e-09,8.491099379170919e-09
1856,1.5531567143511893e-09,1.5531567143511893e-09
1857,4.881509085841174e-10,6.8341128311999455e-09
1858,2.9362056674919756e-09,9.297984604472731e-09
1859,1.018434669930457e-09,6.619825576592575e-09
1860,4.577183909670879e-10,6.408057640072684e-09
1861,1.8863854922557266e-09,4.715963619617014e-09
1862,4.517986262886353e-10,9.035972858839614e-09
1863,9.989241656072068e-10,1.2986014041871385e-08
1864,4.794727948009836e-10,4.794728170054441e-09
1865,3.765475597994339e-09,1.4120533631256649e-09
1866,1.4596839292835284e-09,1.3137154475373336e-08
1867,4.85281148598915e-10,1.649955905236311e-08
1868,4.93987406535723e-10,1.0867722721741302e-08
1869,9.767038289254515e-10,4.883519366671862e-09
1870,0.0,1.834895613228582e-08
1871,4.248470908407853e-09,0.0
1872,6.047339295989218e-10,1.4513614310374123e-08
1873,8.380406146812902e-09,6.584604861359367e-09
1874,1.7923826867161097e-09,5.377148060148329e-09
1875,2.2886108008712824e-09,1.4303817685856757e-08
1876,1.209202959984168e-09,1.3905833817773328e-08
1877,1.2369631985365004e-09,1.608052180301911e-08
1878,1.2078177347163432e-09,5.435179861734696e-09
1879,6.10932526790009e-10,4.27652757650776e-09
1880,0.0,8.984985200299889e-09
1881,0.0,9.064259565150223e-09
1882,0.0,1.3310770263785798e-08
1883,2.5277355764075082e-09,9.479008689083912e-09
1884,9.242375753615306e-09,1.4523733327109767e-08
1885,4.511945039809007e-09,1.160214413431504e-08
1886,6.453463874400711e-10,6.4534639854230136e-09
1887,6.528924623161458e-10,7.1818169189441505e-09
1888,6.340614699951175e-10,1.0779045211961602e-08
1889,2.506054641582267e-09,2.7566601445982997e-08
1890,3.277193294515257e-09,7.865263995654459e-09
1891,0.0,2.5496881050912634e-08
1892,6.268512375839919e-10,2.4447198043731078e-08
1893,6.158416554491453e-10,9.853466487186324e-09
1894,8.192000855444803e-09,7.561847148451761e-09
1895,0.0,1.5046536461227333e-08
1896,2.948514543632541e-09,2.240870955461105e-08
1897,0.0,2.855089675790623e-08
1898,5.6583548957434e-10,2.772593887812036e-08
1899,0.0,4.2009595802028343e-08
1900,1.038210628578895e-09,3.73755817406618e-08
1901,5.588738916095792e-10,2.8502569193733507e-08
1902,9.820567692386817e-10,3.289890315727462e-08
1903,1.0800440541913758e-09,2.052083658554693e-08
1904,1.6123875568041512e-09,4.245953988402107e-08
1905,0.0,2.37394921498435e-08
1906,1.0288369045596824e-09,1.9547901075611662e-08
