year,ton_DET art_NOUN,ton_DET char_NOUN
1800,2.924072983745418e-07,1.603523944737617e-07
1801,3.166972817325586e-07,2.809795489611133e-07
1802,1.2755688771903806e-07,2.0588129245879827e-07
1803,2.2038833602522345e-07,2.574447819370107e-07
1804,3.930243153149604e-07,2.3235398582954758e-07
1805,2.4448748425776046e-07,2.58701862598798e-07
1806,5.042921031872538e-07,2.305335300434308e-07
1807,1.6797034518845066e-07,2.448381430930624e-07
1808,4.328201370640272e-07,2.3567169726845805e-07
1809,2.7560172810581207e-07,1.3780086405290604e-07
1810,3.299578850146645e-07,1.8487001973710449e-07
1811,3.68540277406737e-07,4.562879727387781e-07
1812,8.268345208506389e-08,2.1871107236393073e-07
1813,3.795978926746102e-07,1.4378707646756084e-07
1814,2.2341407124315538e-07,1.0698702013201e-07
1815,7.552225866902518e-08,1.1598061000483995e-07
1816,7.879853569647821e-08,6.025769927475721e-08
1817,2.0706415870819228e-07,1.3856172964565872e-07
1818,1.5497531258290564e-07,8.940883056141047e-08
1819,1.9977526655168276e-07,1.4905512668583754e-07
1820,2.741157132390981e-07,1.4477106269339401e-07
1821,1.863821275094324e-07,2.080773975343675e-07
1822,2.2156611123591574e-07,1.5639960793123464e-07
1823,1.6009952830131624e-07,1.3934588327657593e-07
1824,2.2905426000363605e-07,2.172647066700506e-07
1825,2.3334424592569292e-07,1.8227267339909758e-07
1826,1.770404884915422e-07,1.1978858882599752e-07
1827,1.1890282447524214e-07,9.770309605805494e-08
1828,1.164882235116238e-07,1.1557099566239515e-07
1829,1.3888545602469549e-07,9.173298698428312e-08
1830,1.3463518122591722e-07,1.3150413469276145e-07
1831,1.07579318786577e-07,1.621485496983155e-07
1832,1.5965364452696917e-07,1.6912461209273033e-07
1833,2.0039677350869312e-07,1.4479535082045913e-07
1834,1.3721760616647316e-07,1.4935249303960063e-07
1835,1.3084142125308063e-07,1.1344631900556124e-07
1836,1.801161051417921e-07,1.2903840529432387e-07
1837,1.287209822065094e-07,8.488626845881697e-08
1838,1.6032891592132614e-07,1.0162580998951398e-07
1839,9.088917840571753e-08,1.0067723943407714e-07
1840,1.1656529996795228e-07,8.280595098497656e-08
1841,1.8619590314017387e-07,9.951850321598954e-08
1842,1.093447177247242e-07,1.6099836352978514e-07
1843,1.264079002583074e-07,1.1045923664632085e-07
1844,1.1141779476808722e-07,7.354672360015968e-08
1845,1.2611314748056657e-07,8.48194630087562e-08
1846,9.191566885391467e-08,7.083946496067028e-08
1847,5.878613684728862e-08,7.119055389637197e-08
1848,4.746680815070903e-08,1.4964112349247216e-07
1849,1.0139092232464009e-07,6.954914510970411e-08
1850,1.3238541907156787e-07,2.2471576155425055e-07
1851,9.222697094912746e-08,8.126292883048336e-08
1852,9.244974674693651e-08,4.882908899439542e-08
1853,7.524634249023165e-08,4.2400716493418145e-08
1854,9.404152412351152e-08,6.650450723455492e-08
1855,1.0348527368364557e-07,7.801197554613282e-08
1856,5.798452090699513e-08,5.280733161860951e-08
1857,1.4742157805613942e-07,1.0690505214405732e-07
1858,1.0668213468179033e-07,1.1842696134856112e-07
1859,1.2730433596175317e-07,9.522363986214089e-08
1860,9.291683156220643e-08,1.2861886533599431e-07
1861,1.0799556859897308e-07,9.19612963556915e-08
1862,9.894390110010143e-08,1.2605182331260067e-07
1863,1.0139080242055343e-07,1.0738434763624127e-07
1864,1.2274503613518561e-07,9.493561448081778e-08
