year,en_ADP as_NOUN,en_ADP chasse_NOUN
1800,3.4585810571030606e-07,7.923294553791038e-07
1801,4.2861285987072506e-07,8.477010204899216e-07
1802,3.3343818017783633e-07,5.661735542616952e-07
1803,3.003522337508002e-07,6.358105792969582e-07
1804,2.4718509372689823e-07,7.390834333431684e-07
1805,2.7860201168294907e-07,5.714184112548537e-07
1806,2.651135728726217e-07,3.717353136423185e-07
1807,2.5622595423158145e-07,3.9287981579150255e-07
1808,2.8099317894714204e-07,4.282879899619729e-07
1809,2.1460790433636134e-07,4.6987835844447545e-07
1810,2.808152181899004e-07,4.6568521838707966e-07
1811,2.557218179433107e-07,4.587950548362585e-07
1812,1.9737341272474396e-07,3.7874358227441007e-07
1813,2.50189524653166e-07,6.441661071221461e-07
1814,4.0277466961669006e-07,3.996279889229015e-07
1815,2.022917642285904e-07,4.558307864499511e-07
1816,2.757948678322464e-07,4.125334953641868e-07
1817,3.720927379546879e-07,5.46462571637818e-07
1818,1.4305412698867315e-07,6.0321160066934e-07
1819,2.918996142575736e-07,6.603969815444088e-07
1820,4.378731439658168e-07,3.9990041500459483e-07
1821,4.339054879842763e-07,4.772960289223249e-07
1822,3.8297854132451903e-07,5.804831602063132e-07
1823,3.281052071146817e-07,4.2297900915144737e-07
1824,3.680026168240147e-07,9.692700588814773e-07
1825,2.8969908849596493e-07,5.670705149896094e-07
1826,2.8449789102324985e-07,3.9635930704218225e-07
1827,2.6084881338261923e-07,4.39663932538803e-07
1828,2.2563861046265288e-07,4.054157045629836e-07
1829,2.777708928980438e-07,4.012246392903762e-07
1830,3.214545323260154e-07,3.986871419670024e-07
1831,2.2451337056139664e-07,6.517123951610415e-07
1832,3.2877825006938366e-07,4.816669187945877e-07
1833,2.9422415903646026e-07,5.108380154439374e-07
1834,3.407103701391634e-07,4.947301164293094e-07
1835,4.3790279136146637e-07,5.793325428271601e-07
1836,3.3536543780909867e-07,5.443807406524392e-07
1837,3.7920506068545023e-07,4.5365449397039015e-07
1838,2.7521026901844436e-07,5.201221426887059e-07
1839,2.5868458308764275e-07,4.523484542495737e-07
1840,3.4014138294846674e-07,5.305950496747869e-07
1841,3.820226459616549e-07,4.898878458448053e-07
1842,4.3268309024568907e-07,5.172072317094489e-07
1843,3.3964738710423603e-07,5.398916789189911e-07
1844,2.6729294777538826e-07,4.4841545587814835e-07
1845,4.0456653921383534e-07,5.050106079984573e-07
1846,2.915541785775133e-07,4.99388983499216e-07
1847,3.537954720300718e-07,4.557274051464333e-07
1848,2.5181543988894717e-07,4.3926910731073576e-07
1849,2.2875802829780412e-07,4.566781193204861e-07
1850,2.8038552457587684e-07,5.24789371958434e-07
1851,2.2637530627811486e-07,4.327573428497544e-07
1852,2.793023943237216e-07,4.687592589647238e-07
1853,2.6037622324892595e-07,6.790086342078894e-07
1854,2.9407460516717165e-07,5.117729457992937e-07
1855,3.3539842902996497e-07,5.068124764306958e-07
1856,2.8422767495150936e-07,5.006342238544903e-07
1857,3.1192843735761144e-07,5.01819123144287e-07
1858,3.8366420923585665e-07,5.392830964012774e-07
1859,3.7071023051282737e-07,5.423164379791956e-07
1860,3.9272237825627165e-07,5.748943010530638e-07
1861,3.485097264110948e-07,5.39034644919667e-07
1862,2.9186190375618537e-07,5.430619314239493e-07
1863,3.3064388560433144e-07,6.772705809510171e-07
1864,3.2700043783862043e-07,5.979025692326445e-07
1865,3.1959472512888e-07,5.648213345921249e-07
1866,4.5785417668309236e-07,5.794944701875693e-07
1867,3.9550414143718626e-07,7.01716542650388e-07
1868,2.711990786385954e-07,8.066814594087646e-07
1869,4.0728548655888375e-07,7.16900611763549e-07
1870,4.512696407665828e-07,6.164102188677134e-07
1871,3.8236238508737586e-07,5.161892016047887e-07
1872,3.368367974543318e-07,6.549268629640892e-07
1873,3.5137846432498065e-07,6.524744975422436e-07
1874,3.5130700881680355e-07,7.456312012266153e-07
1875,4.7317029022719836e-07,6.797174165740216e-07
1876,3.301123994159383e-07,8.48255879759563e-07
1877,3.698519965844582e-07,6.25903371798131e-07
1878,3.448319532139976e-07,6.087401178689333e-07
1879,3.335691514116945e-07,6.940193379989523e-07
1880,3.3244444619384694e-07,6.501278235759855e-07
1881,3.4653363067960186e-07,8.820222276995082e-07
1882,3.374280168610966e-07,7.853354198061879e-07
1883,3.7536872571353186e-07,7.273559248233141e-07
1884,3.096195948515401e-07,6.350832535417794e-07
1885,4.447488609615746e-07,6.355396706680949e-07
1886,3.2331852700684394e-07,6.253406361622638e-07
1887,3.042478760040268e-07,7.018594061491967e-07
1888,2.5869708109027556e-07,5.731915546647315e-07
1889,2.982205120072301e-07,5.582237072587759e-07
1890,2.890484358530898e-07,6.672365167048611e-07
1891,2.3520871894611162e-07,5.7176754175714e-07
1892,3.265894872317432e-07,5.930012818566865e-07
1893,2.43873290228791e-07,5.770436377616761e-07
1894,2.2307449065728235e-07,5.917145191602913e-07
1895,2.3773527124681948e-07,5.886204803573492e-07
1896,3.036969786762711e-07,7.489226732104726e-07
1897,2.709421679236712e-07,7.085283666441455e-07
1898,2.5858681684809426e-07,6.988068221858157e-07
1899,2.785899582136153e-07,5.450192297473677e-07
1900,3.021192990226851e-07,6.784706236828697e-07
1901,2.749659515632885e-07,6.276153925455219e-07
1902,2.828323433234914e-07,5.970905112562264e-07
1903,2.6299072075630647e-07,5.173411192771482e-07
1904,3.004415365381874e-07,4.48243747008803e-07
1905,2.797131311016443e-07,4.7220945464943043e-07
1906,2.9218967750876956e-07,4.6554868760040335e-07
1907,2.900563543795087e-07,4.0525605271568566e-07
1908,3.0254155403142136e-07,4.44971854918208e-07
1909,3.2730850829665314e-07,5.297447316365833e-07
1910,3.8210678510175455e-07,5.0715987143235e-07
1911,2.4526925279655387e-07,5.256529700403689e-07
1912,2.5682447457597846e-07,4.99062558390051e-07
1913,3.1817937240496974e-07,4.862841560537845e-07
1914,2.7858453233164937e-07,5.531510360867742e-07
1915,1.9791680205827333e-07,6.938868568617806e-07
1916,2.593041019682829e-07,8.053809530395029e-07
1917,2.9719009653206285e-07,6.020567155928802e-07
