year,bien_ADV au_ADP,bien_ADV chaud_ADJ
1800,6.115399749262451e-06,5.187871465750504e-07
1801,5.760080604488849e-06,5.643402687383059e-07
1802,5.516276161188216e-06,2.1483265300048515e-07
1803,5.724245419003182e-06,3.6081274856769596e-07
1804,6.337826022217996e-06,4.4493316408988903e-07
1805,5.947300124375943e-06,3.212451815670647e-07
1806,5.6624798432380885e-06,3.688536480694893e-07
1807,5.591419764527927e-06,2.4768510797912313e-07
1808,5.409118429611226e-06,2.809931629599305e-07
1809,5.5436607198089405e-06,3.772580896566069e-07
1810,5.1318978080416855e-06,4.0250179722534085e-07
1811,5.48548391066106e-06,1.6295999216708879e-07
1812,5.531790002066828e-06,2.7738965968637785e-07
1813,6.191471761951561e-06,2.3005932803243923e-07
1814,6.692982140066306e-06,2.8949429520253034e-07
1815,5.995927963908798e-06,1.537417375629957e-07
1816,5.905254880644861e-06,3.1287652291212e-07
1817,6.433000848460324e-06,3.2071591249405174e-07
1818,5.654214376704658e-06,2.4319200520039885e-07
1819,5.689972383038366e-06,1.3352854466575081e-07
1820,6.037665606584142e-06,2.97848686159341e-07
1821,6.441523993316878e-06,2.0511895115760126e-07
1822,6.3010997166657035e-06,2.456275751683279e-07
1823,6.4939134318819924e-06,1.887593157334777e-07
1824,6.8084694646586286e-06,1.7515914407795208e-07
1825,7.035548861722418e-06,1.5673688835704525e-07
1826,6.88167827433972e-06,1.8584846372959873e-07
1827,6.022566125807316e-06,1.6222401200138847e-07
1828,6.276605859056872e-06,1.6877034170192928e-07
1829,6.471890529269331e-06,1.7489279002802505e-07
1830,7.635589071242066e-06,2.285667051182827e-07
1831,7.095557705838473e-06,2.6193225721726776e-07
1832,7.206061468423286e-06,3.9642810634177295e-07
1833,7.792306774945246e-06,3.2549996831221506e-07
1834,7.021434186071929e-06,3.2950893569250184e-07
1835,7.335439050848436e-06,3.229438618745917e-07
1836,7.679801257154395e-06,3.5485561511450214e-07
1837,7.236206698735259e-06,2.5117986979239504e-07
1838,7.586587372543363e-06,2.3481241839817812e-07
1839,7.729075718998502e-06,2.251255040164324e-07
1840,7.59075776102236e-06,2.08925783340419e-07
1841,7.935156247640407e-06,2.073837208627083e-07
1842,7.961368766018495e-06,2.3478928312670178e-07
1843,7.74986733631522e-06,2.40411281993147e-07
1844,7.551162468644179e-06,2.0197904859742266e-07
1845,8.16219954913322e-06,2.4050783054008207e-07
1846,7.717403434526204e-06,2.775033749458089e-07
1847,7.113122478585865e-06,1.9577402099457686e-07
1848,7.734676273685182e-06,1.922807939536142e-07
1849,7.3621538092538685e-06,2.5641008960519684e-07
1850,7.700079464711962e-06,1.9823868058210792e-07
1851,7.393636735741893e-06,2.0960675328751677e-07
1852,7.823722540933886e-06,1.9401424822262925e-07
1853,8.051358776128836e-06,2.2275305866514827e-07
1854,8.233569076310232e-06,1.792504207287493e-07
1855,7.976856721825243e-06,2.2501413354802935e-07
1856,8.04845805646437e-06,2.319380740800625e-07
1857,8.192636471449077e-06,1.923314556506739e-07
1858,8.869298170566253e-06,2.5593925556677277e-07
1859,8.61595759715783e-06,1.675325052019616e-07
1860,8.517681095554508e-06,2.6822297627404623e-07
1861,8.846676507801021e-06,3.2775946579022275e-07
1862,8.736881682125386e-06,2.5345903509332857e-07
1863,8.583255549865498e-06,2.1876439859624952e-07
1864,9.371775661293213e-06,2.828889478223573e-07
1865,9.37273887302581e-06,2.5275753046116733e-07
1866,9.058311746912295e-06,2.661490157152002e-07
1867,9.264017535315361e-06,2.5622844646022713e-07
1868,9.050837491031416e-06,2.494636532901495e-07
1869,9.168807309833937e-06,2.3294386153338564e-07
1870,9.156702503787528e-06,2.092927786634391e-07
1871,9.503829176082945e-06,2.2516896081015148e-07
1872,9.51730243059501e-06,2.588261338587472e-07
1873,9.587184649717528e-06,2.957086167043599e-07
1874,9.666917719641788e-06,2.4854372782101564e-07
1875,9.375294553137792e-06,2.385876882726734e-07
1876,9.391275057168968e-06,3.0350994961736433e-07
1877,9.827054441302607e-06,2.387338895459834e-07
1878,9.388367232077144e-06,2.0895247132557415e-07
1879,9.45906839433519e-06,2.3765275614096026e-07
1880,9.773096394383174e-06,2.291171057322572e-07
1881,9.513986526599183e-06,2.6774429784381937e-07
1882,9.764781168541958e-06,2.402593963779509e-07
1883,9.915043051478278e-06,2.3002394300419837e-07
1884,9.876799254016078e-06,2.964162035823392e-07
1885,1.0162833746107935e-05,1.907908142584347e-07
1886,9.794422169306927e-06,2.1102826508467842e-07
1887,1.0215808515567915e-05,1.7432228105462855e-07
1888,1.0171614349019364e-05,2.479180238879053e-07
1889,9.911446682053793e-06,1.9296621189823782e-07
1890,1.010030985071353e-05,2.248154515882561e-07
1891,1.0180267224768613e-05,2.5496879629827163e-07
1892,1.0181944219311845e-05,2.225321935611646e-07
1893,1.0004347529957158e-05,2.4325746039721707e-07
1894,1.0437239780003438e-05,2.602535857931798e-07
1895,1.033576654663193e-05,2.449576186336344e-07
1896,1.0434792500291223e-05,2.7303244110044034e-07
