year,son_DET entier_ADJ,son_DET chantier_NOUN
1800,2.6222330689051887e-06,9.746909768182377e-08
1801,2.4216626570705557e-06,4.7623651688866175e-09
1802,2.853246087397565e-06,2.2378401354217203e-08
1803,2.4437749743810855e-06,2.9255089017965474e-08
1804,2.3779205093887867e-06,1.9774807569206132e-08
1805,2.370959919062443e-06,1.1371510844071508e-08
1806,2.1814234969497193e-06,2.5935023018064385e-08
1807,2.3430441160599003e-06,4.27043254092041e-08
1808,2.4813509753585095e-06,5.891792298484688e-08
1809,2.61595732808928e-06,1.3554183553310395e-08
1810,2.1833382106706267e-06,3.2761775514700275e-08
1811,2.5145980089291697e-06,3.259199843341776e-08
1812,2.419157908661873e-06,6.668020624545079e-08
1813,2.312096285095322e-06,9.489947672136623e-08
1814,2.640062120917719e-06,3.776012391654149e-08
1815,2.672948539839126e-06,5.394447111228828e-09
1816,2.848335270755342e-06,2.0858434979231788e-08
1817,2.5268054741900414e-06,2.1796227045456362e-08
1818,2.2078020265325904e-06,4.768470773797162e-08
1819,2.526691332604969e-06,4.6579725410111905e-08
1820,2.328203663637396e-06,1.4239777357261119e-08
1821,2.5945575998775894e-06,7.88919063410276e-09
1822,2.5986396394728217e-06,3.107940926838637e-08
1823,2.647571818670258e-06,3.5577674140085946e-08
1824,2.8193885555083398e-06,1.2631669044083083e-08
1825,2.6213804176222766e-06,7.13240879690602e-08
1826,2.22753919842944e-06,1.9377566218281572e-08
1827,2.687756932573393e-06,1.935627302884768e-08
1828,2.8122276489739306e-06,2.109629271274116e-08
1829,2.687690766833839e-06,4.715246859632316e-08
1830,2.5904225822159788e-06,3.757260813586072e-08
1831,2.374540599703323e-06,1.4187997976478073e-07
1832,2.4624544039397733e-06,4.7354891563600177e-08
1833,2.482371655787574e-06,3.938433579264711e-08
1834,2.6799439183378126e-06,3.173740559248017e-08
1835,2.7915357350138947e-06,6.050470346963266e-08
1836,2.9793084195262054e-06,3.49478987970997e-08
1837,2.883349907278898e-06,4.1051556820548285e-08
1838,2.6624697966326494e-06,3.3454458758797045e-08
1839,2.497354898878257e-06,4.124970254260063e-08
1840,2.455514959365246e-06,2.9937536172308654e-08
1841,2.91813921649009e-06,6.548959419205858e-08
1842,2.7611220048129326e-06,5.702025163145663e-08
1843,2.357448238399229e-06,4.902736083778336e-08
1844,2.939124669865123e-06,6.421616660645668e-08
1845,2.6176849132752977e-06,2.17628883802945e-08
1846,2.5186063794535585e-06,6.030136034951283e-08
1847,2.5434442250116263e-06,3.721324315364427e-08
1848,2.4433338694507256e-06,3.057184372323718e-08
1849,2.4509788545401534e-06,7.373885324568619e-08
1850,2.302148459421005e-06,5.7706466272122725e-08
1851,2.2231215552892536e-06,3.8696633453128015e-08
1852,2.412157073194976e-06,3.6459056218518526e-08
1853,2.458644303260371e-06,3.2845626662947325e-08
1854,2.371820755797671e-06,3.8967485072038954e-08
1855,2.4677258352312492e-06,5.413075854221461e-08
1856,2.4125702111632563e-06,3.054541508618058e-08
1857,2.4095129447232466e-06,4.637433548282388e-08
1858,2.371475375184673e-06,3.9149409047922745e-08
1859,2.5634001303842524e-06,6.110607797538137e-08
1860,2.446962525937124e-06,3.295572459371954e-08
1861,2.366470653214492e-06,8.441575261031176e-08
1862,2.322696673218161e-06,4.201727321628823e-08
1863,2.4268863398901885e-06,8.390963301962984e-08
1864,2.479833256074926e-06,5.274200842730892e-08
1865,2.360011649216176e-06,4.7539127412399296e-08
1866,2.709173259063391e-06,6.082016135167123e-08
1867,2.284218453496578e-06,5.28956434209249e-08
1868,2.547493068050244e-06,6.866424617779643e-08
1869,2.470083927619271e-06,5.9578933786497146e-08
1870,2.4530261271138443e-06,7.167560767129544e-08
1871,2.259124357806286e-06,3.398776571295059e-08
1872,2.2199783415999264e-06,7.861540751719076e-08
1873,2.619475480969413e-06,7.48250528204153e-08
1874,2.248245436931029e-06,8.24496037554745e-08
1875,2.2868944142828695e-06,7.552415581812966e-08
1876,2.4196151571231894e-06,3.688068872520489e-08
1877,2.2314816305879503e-06,8.040260723873871e-08
1878,2.162597638744046e-06,7.246906530422592e-08
1879,2.2934407297725556e-06,6.964630627770418e-08
1880,2.3765285277477233e-06,5.904418642899145e-08
1881,2.4536254841223126e-06,9.27343535295222e-08
1882,2.3207328467833577e-06,1.1979693126384916e-07
1883,2.423466412437847e-06,1.1438003311159406e-07
1884,2.2102481125330087e-06,1.5976106126913692e-07
1885,2.477702309988672e-06,1.340692250551001e-07
1886,2.3258282908500405e-06,1.1293561641423366e-07
1887,2.2825120140623767e-06,7.965287807110144e-08
1888,2.2261897356656846e-06,7.03808211710566e-08
1889,2.120748831657693e-06,7.330209683686917e-08
1890,2.0718416635645553e-06,7.930807299771914e-08
1891,2.1538489818340167e-06,1.0262494498647357e-07
1892,2.1507266865228303e-06,7.772955590290564e-08
1893,1.9737724414881086e-06,1.2686338379808149e-07
1894,2.0517811663012253e-06,1.0523570637133162e-07
1895,2.0005875285278307e-06,1.287983479869581e-07
1896,2.2874576188769424e-06,1.2855522868449043e-07
1897,2.0107988802919863e-06,8.215666014166345e-08
1898,1.9628832887974568e-06,1.0354789214961357e-07
1899,1.8019906065092073e-06,7.020024384019052e-08
1900,1.867740934358153e-06,9.655358579330198e-08
1901,1.8331063529331004e-06,1.212756330914999e-07
1902,1.8374282717559254e-06,9.820567614671205e-08
1903,1.8387750060355756e-06,9.558389790775834e-08
1904,1.7736263089318527e-06,9.728071326264853e-08
1905,1.8057495481116348e-06,1.248903716555283e-07
1906,1.753138121785014e-06,1.373497298118309e-07
1907,1.7475381355325226e-06,1.5685672405396645e-07
1908,1.6600495200691512e-06,1.070682811299406e-07
1909,1.752613343342091e-06,1.1056977144985325e-07
1910,1.7603632613827358e-06,1.389479126201465e-07
1911,1.7355060890622553e-06,1.5269474218371215e-07
1912,1.507606498307723e-06,1.23463283596692e-07
1913,1.5315034715968068e-06,1.0287799767638717e-07
1914,1.5074369912326802e-06,9.308473636338022e-08
1915,1.4290063745647785e-06,8.010918151057922e-08
1916,1.3910126881455653e-06,1.0218339641099305e-07
1917,1.417958628735505e-06,1.2063067345025047e-07
1918,1.4266079233493656e-06,9.074237539152818e-08
1919,1.4962753311920096e-06,1.4916714086155025e-07
1920,1.412978463122272e-06,1.0298235064709615e-07
1921,1.4123173741609207e-06,1.0829028584957712e-07
1922,1.4556666201315238e-06,1.0993123866764876e-07
1923,1.4756168411622639e-06,1.1571383273789593e-07
1924,1.3781146890323726e-06,9.153053071031536e-08
1925,1.2592913662956562e-06,1.033828738172815e-07
1926,1.2762328651660937e-06,8.582526300759952e-08
1927,1.3668949350176263e-06,1.036877917970358e-07
1928,1.2317271966821863e-06,1.291142672776857e-07
1929,1.3312785540620098e-06,7.798284684668033e-08
