year,un_DET an_NOUN,un_DET champ_NOUN
1800,2.065401696427216e-05,1.0205957636344465e-05
1801,1.8870872679599415e-05,9.38424088303691e-06
1802,2.064631223674951e-05,7.957759521559638e-06
1803,1.965746980658878e-05,7.13044006772634e-06
1804,2.160644874038553e-05,7.771499255682102e-06
1805,1.9544784152003558e-05,7.530782994535912e-06
1806,2.088921922904774e-05,7.549973105369645e-06
1807,2.2809804022472235e-05,5.807788333811459e-06
1808,2.2792173126617854e-05,8.221316676326751e-06
1809,2.104286875237449e-05,9.598620977158134e-06
1810,2.2191421578554582e-05,7.872186642998713e-06
1811,2.3202996260351938e-05,6.5409633123181266e-06
1812,1.9139885921504174e-05,5.326414964201831e-06
1813,2.1648583356181916e-05,5.952785244289771e-06
1814,1.9182143887519487e-05,6.844022571783626e-06
1815,1.9614209008977923e-05,6.222494945973267e-06
1816,1.8413362852243154e-05,6.700193026176748e-06
1817,1.8037934694348223e-05,6.962337693039444e-06
1818,2.2023183362307464e-05,6.046420963912169e-06
1819,2.257356914014963e-05,6.290333047331842e-06
1820,2.1815338527630956e-05,7.105648734295755e-06
1821,2.1181491547395126e-05,5.796582890127411e-06
1822,1.979156860443254e-05,5.654447207348312e-06
1823,2.0159692155630182e-05,5.761606324483637e-06
1824,1.9963090494456992e-05,4.92214054759188e-06
1825,2.186831864037231e-05,6.4086012940833825e-06
1826,2.178390661811136e-05,6.300351287791273e-06
1827,2.2704908076320862e-05,6.477899695767064e-06
1828,2.097338466455767e-05,6.291281351877842e-06
1829,2.0859394453509594e-05,6.405877307713581e-06
1830,2.163869237392646e-05,6.415523074565499e-06
1831,2.1741936109265225e-05,6.973946426569455e-06
1832,2.361114900395478e-05,7.364362190287466e-06
1833,2.2751404912924045e-05,7.12045621753532e-06
1834,2.3242048655447434e-05,7.21372533973863e-06
1835,2.2531194360908557e-05,7.125185248924026e-06
1836,2.33613275213429e-05,6.338339190392617e-06
1837,2.430878402037706e-05,6.92310133842966e-06
1838,2.4272787300105847e-05,6.561492213563724e-06
1839,2.1895203417443554e-05,6.258768571854034e-06
1840,2.3132797764446877e-05,7.040417003167931e-06
1841,2.3125531356527063e-05,7.056182717235515e-06
1842,2.389282769854617e-05,7.112773445783205e-06
1843,2.350182637655962e-05,6.5354062499523025e-06
1844,2.482750744547957e-05,6.882106987404768e-06
1845,2.3381713617709465e-05,7.118697013197561e-06
1846,2.4084248366307293e-05,6.969198238948593e-06
1847,2.4692335387044295e-05,6.941078950717383e-06
1848,2.4372999632760184e-05,6.865792073540433e-06
1849,2.701523294490471e-05,7.0387086665846255e-06
1850,2.3052035430737305e-05,6.9057668525829285e-06
1851,2.4945139216470125e-05,7.362034210700585e-06
1852,2.4500484073541884e-05,7.203918684695054e-06
1853,2.3782621269674564e-05,7.2003584250524e-06
1854,2.3131617240323976e-05,6.691496267308139e-06
1855,2.4107293256747653e-05,7.024792850529593e-06
1856,2.357847222356213e-05,6.936398158075008e-06
1857,2.367824788507278e-05,7.260268333197928e-06
1858,2.352292119667254e-05,7.010680249663892e-06
1859,2.2499768192574265e-05,7.716679476743593e-06
1860,2.318297811143566e-05,7.281383972213007e-06
1861,2.3103035232452385e-05,7.342284050082526e-06
1862,2.4454505023641104e-05,7.055739246197845e-06
1863,2.4611993467260618e-05,7.496426391639943e-06
1864,2.474175516908872e-05,7.5795057199457005e-06
1865,2.437862940496416e-05,6.9873104422413235e-06
1866,2.334715657070774e-05,7.268738990262591e-06
