year,mon_DET are_NOUN,mon_DET char_NOUN
1800,0.0,2.861189667413555e-07
1801,4.7623651688866175e-09,1.500145003774378e-07
1802,0.0,1.2979472785445978e-07
1803,1.950339223455444e-09,1.2482170852479157e-07
1804,2.4718509461507665e-09,3.0650952265176556e-07
1805,0.0,1.6204402442099308e-07
1806,2.881669125542885e-09,2.564685619432794e-07
1807,2.8469551160981155e-09,1.4804166781345884e-07
1808,0.0,3.263146446386145e-07
1809,0.0,1.9427662323323602e-07
1810,0.0,2.4805344400746776e-07
1811,2.5070767684098882e-09,5.2648610804340024e-08
1812,0.0,1.4669645764797679e-07
1813,0.0,1.4091133948568313e-07
1814,3.1466771410748606e-09,2.4544080812205493e-07
1815,0.0,7.282503400318774e-08
1816,0.0,5.7940095388175905e-08
1817,0.0,1.2143611949344546e-07
1818,1.1921177378582115e-09,6.914282812964245e-08
1819,0.0,1.5733596292477614e-07
1820,0.0,2.159699583614838e-07
1821,0.0,1.400331386403053e-07
1822,0.0,1.9850719468195166e-07
1823,1.9765373782121287e-09,8.69676419767984e-08
1824,0.0,1.2631668777629557e-07
1825,8.805443041381977e-10,1.4352872312883846e-07
1826,8.807984341885344e-10,1.1009980482867832e-07
1827,9.217273055917019e-10,1.5024154542686574e-07
1828,1.8344602503717056e-09,9.355747226935662e-08
1829,1.714635211591542e-09,1.0545006223772191e-07
1830,1.0436835840010872e-09,1.273293961379096e-07
1831,0.0,1.2161140627853229e-07
1832,2.705993873419743e-09,1.5288865995444212e-07
1833,5.791814139399776e-09,1.0077757117699093e-07
1834,4.667265685043276e-09,1.2414926020554162e-07
1835,2.2689263801112247e-09,1.3462296521993267e-07
1836,1.3441500135158435e-09,1.4113575064200745e-07
1837,0.0,1.0158520935554805e-07
1838,3.1560809521380406e-09,8.079567415109068e-08
1839,2.7965900706306e-09,6.641901117987459e-08
1840,1.2739377330817092e-09,6.688172771163181e-08
1841,0.0,4.4301785351308354e-08
1842,6.708265054555795e-10,7.580339511648049e-08
1843,1.1813822142769936e-09,9.451057469966884e-08
1844,1.097712254427563e-09,8.068185097798164e-08
1845,5.580227946389016e-10,4.2967754909639666e-08
1846,1.7563503984519002e-09,8.137756601911406e-08
1847,5.393223645455691e-10,2.8584086209093584e-08
1848,8.045221711050488e-10,1.0056527433022211e-07
1849,8.379414939696517e-10,9.049767868418712e-08
1850,0.0,1.031927414629763e-07
1851,3.2247193804124663e-09,4.7725846608059896e-08
1852,6.510545436100301e-10,6.966283438991638e-08
1853,5.971931837933653e-10,4.837264766521798e-08
1854,1.0391328908454511e-09,9.508066112218216e-08
1855,5.306937111981824e-10,7.323573214534917e-08
1856,1.5531567143511893e-09,4.8665579732709574e-08
1857,9.763018171682347e-10,7.419893810478584e-08
1858,9.787352039936081e-10,1.1353328277508012e-07
1859,1.5276520048956854e-09,9.318677030023537e-08
1860,1.373155145145688e-09,9.108596121798485e-08
1861,4.715963730639317e-10,9.101810150013989e-08
1862,9.035972525772706e-10,6.189641177378746e-08
1863,0.0,5.843706429864426e-08
1864,9.589455896019672e-10,1.1747083394908486e-07
1865,4.706844358715045e-10,1.1625905815826343e-07
1866,9.731225825149181e-10,1.3721027958268905e-07
1867,9.7056229719783e-10,7.18216135453531e-08
1868,1.4819622196071691e-09,1.1361710061663644e-07
1869,9.767038289254515e-10,9.034510473071578e-08
1870,2.2936195165357276e-09,1.1353416917714299e-07
1871,4.248470908407853e-09,1.2532989046576404e-07
1872,0.0,9.675743184445196e-08
1873,0.0,6.94376541821029e-08
1874,0.0,7.109784938563735e-08
1875,5.721527140956084e-10,8.410644625200803e-08
1876,6.04601479992084e-10,4.353130744760847e-08
1877,1.2369631985365004e-09,8.535046314150918e-08
1878,1.8117265465633636e-09,4.7708801798052036e-08
1879,0.0,4.459807412260375e-08
1880,1.2835692508872398e-09,7.444701655145991e-08
1881,0.0,5.020205584571613e-08
1882,0.0,4.924984975396285e-08
1883,1.2638677882037541e-09,6.824885989686891e-08
1884,1.3203393933736152e-09,7.063815665730999e-08
1885,1.2891271383708158e-09,6.316722989119228e-08
1886,6.453463874400711e-10,4.194751518360462e-08
