year,en_ADP are_NOUN,en_ADP char_NOUN
1800,5.65949598296811e-08,4.087413785214267e-08
1801,5.9529563944948904e-08,2.8574191901498125e-08
1802,6.713520406265161e-09,8.727576528144709e-08
1803,4.4857801695386e-08,6.046051481689574e-08
1804,2.719036085174764e-08,3.9549615138412264e-08
1805,8.528633133053631e-09,1.2792949632967066e-07
1806,2.881669125542885e-08,8.06867319624871e-08
1807,1.1387820464392462e-08,7.971474502710407e-08
1808,5.211970233176544e-08,9.744118045773575e-08
1809,1.355418288717658e-08,4.292158095609011e-08
1810,5.8503168531842675e-08,9.594519667643908e-08
1811,1.7549536934780008e-08,7.270522672797597e-08
1812,3.467370746079723e-08,8.001624962616916e-08
1813,1.150296680130225e-08,2.5881674803329702e-08
1814,1.2586708564299443e-08,1.888006266881348e-07
1815,2.9669458667669346e-08,5.933891955578474e-08
1816,1.1819780176836048e-07,4.6352077731626196e-08
1817,2.8023721343473085e-08,5.7604317760251433e-08
1818,1.9073883805731384e-08,7.987188621605412e-08
1819,5.175525008560555e-08,7.556266723440785e-08
1820,1.542642635854463e-08,7.238553756394595e-08
1821,3.94459531705138e-09,1.0749022372191774e-07
1822,1.303330066093622e-08,9.724847416237026e-08
1823,3.162459771832715e-08,1.0969782104908177e-07
1824,1.0105335235266466e-08,1.237903601847279e-07
1825,1.0566531427613768e-08,1.0742640799143999e-07
1826,1.0569580766173203e-08,8.455665179152305e-08
1827,3.2260455640198415e-08,1.1060727445055818e-07
1828,1.1923991571904935e-08,1.5592911939421583e-07
1829,1.0287811491593857e-08,7.630126735991283e-08
1830,1.2524202563923836e-08,1.2211097555336892e-07
1831,1.4032085715598441e-08,9.666548006492803e-08
1832,1.3529969256076413e-08,1.2718171804593226e-07
1833,9.266902800675325e-09,1.4595371899961407e-07
1834,1.773560875939495e-08,7.841005889019925e-08
1835,1.5882484660778573e-08,1.4823653060602737e-07
1836,7.392825018825988e-09,1.1223652474079415e-07
1837,1.3219993100221927e-08,2.024746240669728e-07
1838,8.2058102535143e-09,1.0162580910133556e-07
1839,1.3982950020086093e-08,1.1745678230035139e-07
1840,2.611572358368619e-08,1.0000410949340122e-07
1841,2.3756030032018316e-08,1.3739973203641398e-07
