year,en_ADP an_NOUN,en_ADP chant_NOUN
1800,4.904896533375336e-07,2.7668647817336023e-07
1801,5.643402785082685e-07,2.0716288418043405e-07
1802,6.064546766992862e-07,1.4098392853156838e-07
1803,5.265915992147541e-07,1.6577882888668682e-07
1804,3.6830580740776497e-07,3.287561867182376e-07
1805,4.918178508894755e-07,2.444874951379461e-07
1806,4.3801370352980484e-07,2.1900684998854558e-07
1807,4.526658616832435e-07,1.6227643584443285e-07
1808,5.483899125913183e-07,2.49268151453208e-07
1809,5.421673359151669e-07,1.5813214049309465e-07
1810,5.943921879136838e-07,1.0062544930633521e-07
1811,5.515568854974617e-07,2.2312982661532033e-07
1812,3.6807472891808857e-07,1.0402111882967802e-07
1813,4.658701489024253e-07,3.594676958318388e-07
1814,5.286417530392384e-07,9.125363931161701e-08
1815,5.529308373386499e-07,9.170560133497929e-08
1816,5.400016984680178e-07,6.952811304472561e-08
1817,5.433488123873786e-07,2.5377035550722127e-07
1818,6.115563999653517e-07,1.7881765757010726e-07
1819,4.896046665869846e-07,2.0805610745355807e-07
1820,5.517913699293331e-07,2.420762088561901e-07
1821,5.581602378068595e-07,1.7947908759197162e-07
1822,5.323601897089247e-07,1.5539704634193185e-07
1823,5.33665093671587e-07,1.1760397067295258e-07
1824,5.793725446068265e-07,1.962119284826258e-07
1825,5.60906715518783e-07,1.7258667805997163e-07
1826,4.6241916806799566e-07,1.2507337998624024e-07
1827,6.286180035952604e-07,9.309445658800541e-08
1828,5.851928263078676e-07,1.1098484736793424e-07
1829,5.735454887134672e-07,1.3459886877287275e-07
1830,3.7781346229337487e-07,1.4298464634521224e-07
1831,3.80425425827724e-07,6.236482619215167e-08
1832,3.368962461225422e-07,7.170883975504694e-08
1833,6.544750054127135e-07,9.614411311531512e-08
1834,4.424567656702294e-07,8.214386926219674e-08
1835,4.4092801942952065e-07,1.1420262779893164e-07
1836,3.8913142974550397e-07,9.207427353885578e-08
1837,4.167776712638016e-07,8.419048214136637e-08
1838,3.888291648657116e-07,1.0478188672280453e-07
1839,4.1669192585302994e-07,1.0067724076634477e-07
1840,3.471480304884089e-07,9.363442499132901e-08
1841,3.7239181560622114e-07,8.60353535081515e-08
1842,5.138531156134718e-07,5.2324468757802833e-08
1843,3.378753090643727e-07,4.016699423070591e-08
1844,3.485236398370617e-07,7.409557367665798e-08
1845,3.5546052618018464e-07,5.1896119401817487e-08
1846,3.2843752117983627e-07,6.908311278586154e-08
1847,4.0395245015645287e-07,6.148274955819488e-08
1848,3.1456817606301257e-07,3.459445352405055e-08
1849,4.725990050413742e-07,3.016589333881825e-08
1850,3.91725066606341e-07,5.7706466272122725e-08
1851,4.456562066046388e-07,5.6755062871616246e-08
1852,3.359441413941511e-07,6.966283905285309e-08
1853,5.482233342846143e-07,9.614810259073181e-08
1854,3.3044426805961535e-07,7.429800064073788e-08
1855,4.1022623520348134e-07,1.0136249883885284e-07
1856,3.748285001270446e-07,9.577799886528737e-08
1857,3.656250328054611e-07,9.958278235355777e-08
1858,3.0976968945495287e-07,8.22137555256397e-08
1859,3.5288760402707453e-07,8.045633714814926e-08
1860,3.748713676143822e-07,7.23195086038686e-08
