year,un_DET entier_ADJ,un_DET chantier_NOUN
1800,7.891852646935149e-07,4.2131804889322666e-07
1801,1.4358530506797251e-06,2.3811825866637548e-07
1802,6.914925734236022e-07,3.737193026154273e-07
1803,8.425465694017475e-07,3.8811751101874847e-07
1804,7.143649440877198e-07,2.743754521361552e-07
1805,1.0205931175732985e-06,1.9331568146263578e-07
1806,7.434706503772759e-07,2.5935023018064385e-07
1807,1.5430496205226518e-06,3.2739984590079985e-07
1808,1.1103762744824053e-06,2.447359896962098e-07
1809,8.31323234251613e-07,3.094871843245528e-07
1810,1.0717780014601885e-06,9.594519667643908e-08
1811,9.000405611914175e-07,1.6045291317823285e-07
1812,7.974952609401953e-07,3.8407799252127006e-07
1813,9.461189733883657e-07,2.444380460264739e-07
1814,9.093897119782923e-07,1.1328037885505182e-07
1815,1.0761922339952434e-06,6.74305908887618e-08
1816,1.0220633157587145e-06,2.8738287483065506e-07
1817,1.0259795999445487e-06,1.8682480629195197e-07
1818,1.0657532811819692e-06,1.3828565670337412e-07
1819,8.249787128988828e-07,1.2731791798614722e-07
1820,7.369084755737276e-07,1.9579694221505406e-07
1821,7.800437060723198e-07,1.203101618330038e-07
1822,8.601978152000811e-07,1.5038423839541792e-07
1823,1.2363241239654599e-06,2.470671587317952e-07
1824,9.532699323244742e-07,1.3979046986634103e-07
1825,8.682166594553564e-07,2.0692791613541317e-07
1826,8.675864364704466e-07,1.5325892954720644e-07
1827,9.373966918246879e-07,2.488663586319717e-07
1828,9.053061376107507e-07,2.2472138505591488e-07
1829,8.110224598567584e-07,2.3147574967907758e-07
1830,1.0363778528699186e-06,1.6072727793137176e-07
1831,7.624099680469953e-07,3.3988828462838683e-07
1832,8.510350539836509e-07,2.584224159107862e-07
1833,7.645194841643388e-07,3.996351924939745e-07
1834,7.038236162770772e-07,3.1083987472868557e-07
1835,7.918553137642448e-07,3.002545838626247e-07
1836,8.938597488850064e-07,2.9302471027392585e-07
1837,7.340574939007638e-07,2.0943251710647814e-07
1838,7.460975552930904e-07,2.3481242794609614e-07
1839,7.991255870365421e-07,3.013325819978263e-07
1840,8.420728363489616e-07,2.936426382049717e-07
1841,7.935797725622251e-07,3.0369193204649036e-07
1842,9.364737820760638e-07,2.2942266264536215e-07
1843,7.66126390772115e-07,2.3627643930268505e-07
1844,9.105523304242524e-07,2.980288842380219e-07
1845,7.968565682858753e-07,2.3325352249692344e-07
1846,6.381406478794815e-07,2.2012924638659115e-07
1847,7.070516403473448e-07,2.788296749045571e-07
1848,6.194820798555156e-07,2.2204812211157332e-07
1849,5.044407771492843e-07,3.5193542036182635e-07
1850,6.687160976071027e-07,2.253946700392362e-07
1851,6.75256217164133e-07,2.6184721790833976e-07
1852,8.229329182540823e-07,2.760471149443333e-07
1853,6.019707257109985e-07,2.800836171878984e-07
1854,7.814279570084182e-07,2.654984523342563e-07
1855,7.127216576918727e-07,2.966577810070703e-07
1856,9.029017746797763e-07,2.5419999971632024e-07
1857,7.195344551291782e-07,2.357768833505247e-07
1858,6.513482730952092e-07,2.6327976421214316e-07
1859,7.027199444564758e-07,3.1775160813651837e-07
1860,5.657399242409156e-07,1.9407259355119777e-07
1861,7.102241283973854e-07,2.711679156774949e-07
1862,8.258878665401426e-07,2.9637990284214766e-07
1863,7.586829156025487e-07,3.081681070327136e-07
1864,7.168118258960021e-07,3.0062943068287495e-07
1865,7.775706762913615e-07,2.70643539579396e-07
1866,7.064870146678004e-07,2.9242333643431095e-07
1867,6.546442818944342e-07,4.032686344856984e-07
1868,5.359763122214645e-07,3.092361153811396e-07
1869,5.357220516089001e-07,2.59803222490973e-07
1870,8.107945177471265e-07,2.660598674708581e-07
1871,4.928226076117426e-07,3.5793367025860334e-07
1872,4.305705658680381e-07,4.10009596940597e-07
1873,4.980355470252107e-07,4.3997134113737957e-07
1874,4.803585511581332e-07,6.076177267999583e-07
1875,5.492665877682157e-07,3.410030209316517e-07
1876,4.867042093792406e-07,3.264848009720822e-07
1877,4.935483275403385e-07,3.5562691991231077e-07
1878,5.139264658282627e-07,3.5509840667913295e-07
1879,6.19485604147485e-07,3.1890678675594586e-07
1880,4.6465206082757504e-07,3.70309734876173e-07
1881,4.70644266670206e-07,4.322954687552283e-07
1882,6.721938916598447e-07,4.2727573124068385e-07
1883,5.96545589814923e-07,4.21499900760125e-07
1884,8.423765507359349e-07,7.110027802070817e-07
1885,7.122427518879704e-07,5.008258652239306e-07
1886,6.659974474132468e-07,4.5109713764368564e-07
1887,6.202478175509896e-07,3.721486936392182e-07
1888,6.416702262868057e-07,4.2165088842693876e-07
1889,5.532115778805746e-07,4.4733075732494854e-07
1890,6.200449433890753e-07,4.4766458984213386e-07
1891,7.840290550120699e-07,5.698552900668119e-07
1892,5.190328238313668e-07,4.557208512778743e-07
1893,7.993624535629351e-07,4.3416835815435206e-07
1894,7.227865808090428e-07,5.085341925337161e-07
1895,7.800124421919463e-07,5.15795263389407e-07
1896,6.946700068510836e-07,5.560898284073801e-07
1897,6.362770932355488e-07,5.331442922695828e-07
1898,6.371307677000004e-07,5.99785643373707e-07
1899,5.450192475109361e-07,6.666259828591592e-07
1900,5.102805289425305e-07,7.469925442649128e-07
1901,7.371546644208138e-07,7.801879444713222e-07
1902,5.293285880725307e-07,7.458721302811e-07
1903,6.474863880612247e-07,7.344299444156377e-07
1904,7.739459988442832e-07,7.578221534743079e-07
1905,5.909068931941874e-07,7.643084014574697e-07
1906,7.988918468981865e-07,7.037244671437293e-07
1907,7.112552111721016e-07,7.019981307365697e-07
1908,6.5370591073588e-07,7.087134328287448e-07
1909,7.096268745954148e-07,6.067584674696036e-07
1910,6.872577955618908e-07,7.161161628133073e-07
1911,8.06036666745058e-07,6.884563923392761e-07
1912,6.313818516900938e-07,7.965204957827154e-07
1913,6.490859618679679e-07,6.915098609283632e-07
1914,8.042788977036253e-07,5.725715936932829e-07
1915,8.529271440238517e-07,6.396953864395982e-07
1916,1.174559656647034e-06,6.680376731793558e-07
1917,9.946546697392478e-07,8.466079677305061e-07
1918,8.52289133490558e-07,7.385740232734861e-07
1919,9.548539310344495e-07,8.857950213325694e-07
1920,8.443038268524106e-07,7.2769144310314e-07
1921,5.687133466381056e-07,6.913918575435218e-07
1922,6.07941899488651e-07,7.916524538131853e-07
1923,6.316489020719018e-07,6.741127300813332e-07
1924,1.035197442433855e-06,6.652078141655693e-07
1925,6.136983188298473e-07,6.180976228620239e-07
1926,6.364444971040939e-07,6.141522366220897e-07
1927,6.187819963088259e-07,6.254715110287634e-07
1928,8.603809078522318e-07,7.015589069681027e-07
1929,7.620038218192349e-07,5.637045674689034e-07
1930,5.755974825660815e-07,7.005903270851377e-07
1931,4.197171392661403e-07,7.356454787554867e-07
1932,5.501687496689556e-07,6.674358044023165e-07
1933,6.01062708938116e-07,6.595630495098703e-07
1934,5.379729373089503e-07,7.476506080905665e-07
1935,4.643694353489991e-07,7.432304727217343e-07
1936,8.984413284451875e-07,7.34757726661428e-07
1937,5.288269449010841e-07,9.166334109522722e-07
1938,5.717659519177687e-07,7.104937296276148e-07
1939,9.558781357554835e-07,8.228198957738186e-07
