year,mon_DET air_NOUN,mon_DET cher_ADJ
1800,2.5467732811534916e-07,1.764190733410942e-05
1801,2.857419119095539e-07,2.471429320394236e-05
1802,2.6854081625060644e-07,2.5453194439251092e-05
1803,2.1843799924425866e-07,2.34840347275167e-05
1804,4.4740502147533334e-07,2.5200520667567616e-05
1805,2.3595885600968813e-07,4.1921074625861365e-05
1806,1.786634866718373e-07,2.4044647716436884e-05
1807,1.6512339939822596e-07,1.844826874730643e-05
1808,1.31432294381284e-07,1.893531430141593e-05
1809,2.82378817217932e-07,2.1438199382828316e-05
1810,5.101476219238066e-07,2.8544865926960483e-05
1811,3.083704456230407e-07,1.7002994809445227e-05
1812,1.7870294755084615e-07,2.2305863012661575e-05
1813,2.7894694198948855e-07,2.0449398789423867e-05
1814,2.1397405092216104e-07,1.4770502275496256e-05
1815,2.1577787912008262e-07,1.3389017567533301e-05
1816,1.46009039525552e-07,1.4202276361174881e-05
1817,3.6430836658496446e-07,3.464821747911628e-05
1818,3.4929049164134085e-07,2.7238698521614424e-05
1819,2.3703904972194323e-07,1.9173249711457174e-05
1820,3.453146142362584e-07,2.386112055319245e-05
1821,3.5304127266044816e-07,6.735790975653799e-05
1822,2.2156611123591574e-07,3.615337345763692e-05
1823,3.449057608406747e-07,3.40191722898453e-05
1824,3.107390718071201e-07,2.682545436982764e-05
1825,3.4693444384004124e-07,2.065052512989496e-05
1826,2.0434524117263209e-07,2.0635346345443395e-05
1827,2.1291900154096766e-07,2.4314243773915223e-05
1828,2.825068889933391e-07,2.772419838947826e-05
1829,2.6062456370823384e-07,2.3978316221473506e-05
1830,2.170861836958693e-07,3.3618092402321054e-05
1831,2.60373150595683e-07,4.231453385727946e-05
1832,2.814233717174375e-07,5.260181478661252e-05
1833,2.5947328552433646e-07,3.855958175336127e-05
1834,2.0162587244243468e-07,2.2137773157737684e-05
1835,2.6243913708867694e-07,2.1910266013946966e-05
1836,3.098265786150023e-07,1.9617868929344695e-05
1837,1.7325148338187546e-07,2.9969028673804132e-05
1838,2.1713836595438352e-07,2.0784055323019857e-05
1839,1.475201329981246e-07,2.260693599964725e-05
1840,1.6561191085173732e-07,1.4698056247652858e-05
1841,1.373997422504658e-07,1.5593586113027413e-05
1842,1.8514812083481047e-07,1.9861831333400914e-05
1843,1.7366318783018642e-07,1.9478038666420616e-05
1844,1.0812466033627288e-07,1.6668760508764535e-05
1845,1.858215874506186e-07,2.0596621652657632e-05
1846,1.6041333328331575e-07,2.2889344563736813e-05
1847,8.35949656163848e-08,1.0891076271946076e-05
1848,1.0619692769608946e-07,1.8079222627420677e-05
1849,1.0641857173254721e-07,1.5152495734582772e-05
1850,9.911934029105396e-08,1.4977204273236566e-05
1851,6.191460899529488e-08,1.836219666984107e-05
1852,1.3281512689644615e-07,1.8792688933899626e-05
1853,1.481039095807546e-07,1.8353538507653866e-05
1854,1.4028293637835532e-07,1.8122477968063322e-05
1855,1.9582598653755667e-07,2.5363974145875545e-05
1856,1.4651444857349816e-07,1.966296395039535e-05
1857,2.030707815237065e-07,2.284253332618391e-05
1858,1.8987463690223194e-07,2.2474207071354613e-05
1859,1.899380608350043e-07,2.12129755254864e-05
1860,2.0917730836345072e-07,2.5908692350640194e-05
1861,1.2780261826605965e-07,2.7285623218631372e-05
1862,1.7846046151959172e-07,2.1722478777519427e-05
1863,1.8030581472316953e-07,2.0649261387006845e-05
1864,1.706923171695962e-07,2.3131205580284586e-05
1865,1.925099297750421e-07,2.5386365450685844e-05
1866,1.552130566295773e-07,2.1761941297882004e-05
1867,1.3684928390489404e-07,2.185803350585047e-05
1868,1.724016076565249e-07,1.867420587586821e-05
1869,2.0852626825274e-07,2.9589730729639996e-05
1870,1.6342038833272454e-07,2.421144745312631e-05
1871,1.5188284052669587e-07,2.19231719711388e-05
1872,2.3161310114261369e-07,2.336026727789431e-05
1873,1.5803051933716006e-07,2.3168231564341113e-05
1874,1.6728906082619233e-07,2.1746382572018774e-05
1875,1.624913661402161e-07,3.019764699274674e-05
1876,2.569556318832156e-07,2.1109659883222776e-05
1877,1.7131939955561393e-07,3.0364972644747468e-05
1878,1.358794881056724e-07,2.0637981833715457e-05
1879,1.3868168480257737e-07,2.438353885736433e-05
1880,1.854757591956968e-07,3.386954176676227e-05
1881,1.3875289717191208e-07,3.6439718314795755e-05
1882,1.6239140165907884e-07,3.3237659408769105e-05
1883,1.6809441660825541e-07,2.1794768599647796e-05
1884,1.0760765789541438e-07,2.224309764642385e-05
1885,1.1150949896787665e-07,2.0687268261099234e-05
1886,1.1358096596580936e-07,1.731141628624755e-05
1887,1.3776030716172727e-07,1.9247270302003017e-05
1888,1.2871447729878582e-07,1.744049495755462e-05
1889,1.1089292373256399e-07,2.294293017257587e-05
1890,1.0749193646297783e-07,1.943441111507127e-05
