year,un_DET an_NOUN,un_DET chant_NOUN
1800,2.065401696427216e-05,2.0122651900322808e-06
1801,1.8870872679599415e-05,1.2786950911447548e-06
1802,2.064631223674951e-05,1.0898281459503778e-06
1803,1.965746980658878e-05,1.8801269925372566e-06
1804,2.160644874038553e-05,1.5177164882640426e-06
1805,1.9544784152003558e-05,1.2139087903761947e-06
1806,2.088921922904774e-05,2.4580637614235457e-06
1807,2.2809804022472235e-05,1.30390542452119e-06
1808,2.2792173126617854e-05,1.4616176908788248e-06
1809,2.104286875237449e-05,1.0888527324226516e-06
1810,2.2191421578554582e-05,1.429817444886794e-06
1811,2.3202996260351938e-05,1.5493734899507672e-06
1812,1.9139885921504174e-05,2.1177634454971894e-06
1813,2.1648583356181916e-05,2.993646996074517e-06
1814,1.9182143887519487e-05,2.079953491218589e-06
1815,1.9614209008977923e-05,1.0519171844691755e-06
1816,1.8413362852243154e-05,1.5249833573705018e-06
1817,1.8037934694348223e-05,2.202975938558893e-06
1818,2.2023183362307464e-05,1.4961077920983001e-06
1819,2.257356914014963e-05,1.5919914577722238e-06
1820,2.1815338527630956e-05,1.695720212246954e-06
1821,2.1181491547395126e-05,1.4437218762708426e-06
1822,1.979156860443254e-05,1.617131843545394e-06
1823,2.0159692155630182e-05,1.3855527321027239e-06
1824,1.9963090494456992e-05,1.6816961689869458e-06
1825,2.186831864037231e-05,2.1159479324239783e-06
1826,2.178390661811136e-05,1.4999997333120518e-06
1827,2.2704908076320862e-05,1.1853413450779726e-06
1828,2.097338466455767e-05,1.6977929746531117e-06
1829,2.0859394453509594e-05,1.410287509884256e-06
1830,2.163869237392646e-05,2.0539693359467037e-06
1831,2.1741936109265225e-05,1.980083171204683e-06
1832,2.361114900395478e-05,2.3136247193633608e-06
1833,2.2751404912924045e-05,2.2449072050179097e-06
1834,2.3242048655447434e-05,1.733422431371423e-06
1835,2.2531194360908557e-05,2.2159848498404244e-06
1836,2.33613275213429e-05,2.054533360329458e-06
1837,2.430878402037706e-05,2.028225204231404e-06
1838,2.4272787300105847e-05,1.7686677793449235e-06
1839,2.1895203417443554e-05,2.3204705517088087e-06
1840,2.3132797764446877e-05,1.9223720304495373e-06
1841,2.3125531356527063e-05,2.1804183774065677e-06
1842,2.389282769854617e-05,1.989000637081517e-06
1843,2.350182637655962e-05,2.0195729319993916e-06
1844,2.482750744547957e-05,1.972040077902193e-06
1845,2.3381713617709465e-05,1.9056478670620436e-06
1846,2.4084248366307293e-05,2.3031607270240784e-06
1847,2.4692335387044295e-05,1.6379220149076446e-06
1848,2.4372999632760184e-05,1.5712318273131132e-06
1849,2.701523294490471e-05,1.8191709294512748e-06
1850,2.3052035430737305e-05,1.6755242668864412e-06
1851,2.4945139216470125e-05,1.6084900060775453e-06
1852,2.4500484073541884e-05,2.2233511920433102e-06
1853,2.3782621269674564e-05,2.313526287878176e-06
1854,2.3131617240323976e-05,2.234655235966443e-06
1855,2.4107293256747653e-05,2.570680365465705e-06
1856,2.357847222356213e-05,2.0910667295481744e-06
1857,2.367824788507278e-05,2.5466832660470118e-06
1858,2.352292119667254e-05,2.1204297340204903e-06
1859,2.2499768192574265e-05,2.2991162111907215e-06
1860,2.318297811143566e-05,2.6602593017344134e-06
1861,2.3103035232452385e-05,2.540961251185081e-06
1862,2.4454505023641104e-05,2.337154400677832e-06
1863,2.4611993467260618e-05,2.437375009378684e-06
1864,2.474175516908872e-05,2.1279001893859117e-06
1865,2.437862940496416e-05,2.3393017034578634e-06
1866,2.334715657070774e-05,2.2809992437089477e-06
1867,2.4310645130753983e-05,2.390009541386462e-06
1868,2.4710238449188182e-05,2.0885786859992095e-06
1869,2.4774581220299297e-05,2.3445776342612135e-06
1870,2.4546889108023606e-05,2.379056734724827e-06
1871,2.594647332898603e-05,1.7684259825401227e-06
1872,2.82942912690487e-05,2.2508197181636547e-06
1873,2.694480235732044e-05,1.8556613632370045e-06
1874,2.7689326543622883e-05,2.106049818095812e-06
1875,2.7299123075863463e-05,1.8846710627684615e-06
1876,2.7892685466213152e-05,2.2394438445871856e-06
1877,2.7294210667605512e-05,1.817098880252388e-06
1878,2.6071350475831423e-05,2.294249744849708e-06
1879,2.6424664724800095e-05,2.0454020770444004e-06
1880,2.8336716695775976e-05,2.2751263948350697e-06
1881,2.9624092121594003e-05,2.5756441992541568e-06
1882,2.9720954216827522e-05,2.2621653634757877e-06
1883,2.915806226155837e-05,2.0455699800692173e-06
1884,2.921515010712028e-05,2.3158752924246073e-06
1885,2.9382429829638568e-05,1.914353815024583e-06
1886,2.9132226245565107e-05,2.2070846128485755e-06
1887,2.9009317131567514e-05,1.909710465319847e-06
1888,2.9781233479297953e-05,2.0245583201017325e-06
1889,2.880459328480356e-05,2.1652311552600167e-06
1890,2.985785295095411e-05,2.03054891478871e-06
1891,2.969302931887796e-05,1.906529174533489e-06
1892,2.9892654538343777e-05,2.0309980683919093e-06
1893,3.0445980200966005e-05,1.9669981998760022e-06
1894,2.9272540132296854e-05,2.298171304815355e-06
1895,2.9982932119310135e-05,2.3833713029830506e-06
1896,3.035790450667264e-05,1.8434112316612072e-06
1897,3.0130519007798284e-05,2.0090508794368134e-06
1898,3.161209656354913e-05,2.4789252819346075e-06
1899,3.211246598766593e-05,1.9534461550563265e-06
1900,3.072947743021359e-05,1.8516486903763507e-06
1901,3.1280170787795214e-05,1.8034860751470205e-06
1902,2.9502948791559902e-05,1.5766921475091067e-06
1903,3.097296303167241e-05,1.9462393421321167e-06
1904,3.318723611300811e-05,1.8601577522758816e-06
1905,3.277701262049959e-05,1.8258765592804593e-06
1906,3.453342469583731e-05,1.9033482479002828e-06
1907,3.137237240480317e-05,1.8941092374546997e-06
1908,3.263274311393616e-05,1.961117611415375e-06
1909,3.1107511176742264e-05,2.1695878196226204e-06
1910,3.1720206834506826e-05,2.2872964429154763e-06
1911,3.060332437598845e-05,2.081862326974715e-06
1912,3.375548612893908e-05,2.360388819511172e-06
1913,3.281596059423464e-05,2.398011872628558e-06
1914,3.254952207498718e-05,1.9065629288661512e-06
1915,3.528573711264471e-05,2.4268368861157796e-06
