year,en_ADP aire_NOUN,en_ADP chaire_NOUN
1800,4.7162466820793725e-08,1.1727733779665073e-06
1801,1.619204113012529e-07,9.762848449668127e-07
1802,3.3567602031325805e-08,8.52617063173966e-07
1803,2.9255089017965474e-08,8.347451618817558e-07
1804,1.730295728918918e-08,1.4361453786193579e-06
1805,3.695740935505398e-08,1.8450276382253605e-06
1806,4.8988376022407465e-08,1.3169228463283389e-06
1807,1.1387820464392462e-08,9.964343328228153e-07
1808,4.5321479014148736e-08,8.384473630940192e-07
1809,7.00299480627109e-08,1.1634007250904688e-06
1810,5.3822916346035754e-08,1.261328284041241e-06
1811,5.0141535368197765e-09,1.805095280360547e-06
1812,3.200649700829672e-08,1.448294028705277e-06
1813,2.0130190847567064e-08,1.1416694054577903e-06
1814,4.090680150170556e-08,1.4978183418001834e-06
1815,8.091670444798638e-09,1.4160423300602076e-06
1816,7.184571870766376e-08,1.1982011756117572e-06
1817,1.2454987263765815e-08,1.616034637663688e-06
1818,7.152706427149269e-09,2.0575953048052043e-06
1819,2.484252026313527e-08,2.0443322954477594e-06
1820,1.7799721696576398e-08,1.6530008757342785e-06
1821,3.7473656067099625e-08,1.854945941737185e-06
1822,3.0076847679083585e-08,1.67327529254635e-06
1823,3.2612866407433216e-08,1.715634396326493e-06
1824,1.431589158329416e-08,1.974750951205806e-06
1825,1.3208164117983756e-08,1.8711566951434833e-06
1826,2.466235649034587e-08,1.6911330180668926e-06
1827,2.027800155568471e-08,2.199241361466875e-06
1828,2.384798225563145e-08,1.629000739911124e-06
1829,4.800978425922864e-08,2.019840177447385e-06
1830,1.6698937788106605e-08,1.6302337151330448e-06
1831,1.4032085493553836e-08,1.7680428143762583e-06
1832,9.470978445946798e-09,1.6141253365020702e-06
1833,1.2741991461950875e-08,1.509346847061721e-06
1834,2.1469421573883096e-08,1.6438109042837823e-06
1835,2.571449897459388e-08,1.9769912285028113e-06
1836,2.9571301130015826e-08,1.9107092628090072e-06
1837,1.8786305289175687e-08,1.559263314021564e-06
1838,3.8504186727905676e-08,1.6563112303913385e-06
1839,2.6567605448946097e-08,1.7569576886700133e-06
1840,5.860113566624747e-08,1.4956028424606416e-06
1841,4.173356549230789e-08,3.1223128189594718e-06
1842,3.287049921141261e-08,2.011137850033151e-06
1843,3.0125246297529884e-08,1.591912582199484e-06
1844,5.488561261035585e-08,2.2140856064112313e-06
1845,2.7343117381395388e-08,2.124950814419435e-06
1846,1.3465352832753297e-08,2.2364195144675136e-06
1847,2.480882788091776e-08,1.9857849435922503e-06
1848,2.0113054055581614e-08,1.7586854905715654e-06
1849,2.3462362719328667e-08,1.923075785725814e-06
1850,2.1724787302446202e-08,2.071322676044929e-06
1851,2.1283148576856092e-08,1.9251574272516336e-06
1852,1.9531636752390114e-08,1.6276363306033659e-06
