year,un_DET hommage_NOUN,un_DET chômage_NOUN
1800,3.637798315025975e-06,3.144164484325529e-09
1801,3.278888407010072e-06,7.143547975374531e-09
1802,3.0501761330015142e-06,0.0
1803,2.956714290291984e-06,5.851017448321727e-09
1804,3.811594211811098e-06,0.0
1805,3.653097762068569e-06,2.842877711017877e-09
1806,3.8124482486523448e-06,0.0
1807,3.108874910395798e-06,8.540865792383556e-09
1808,2.9708229405400743e-06,0.0
1809,2.873486729448871e-06,2.259030518203531e-09
1810,3.823767130484157e-06,1.6380887757350138e-08
1811,2.948322361362443e-06,0.0
1812,3.0912944168903778e-06,0.0
1813,3.1086767720012176e-06,2.300593315851529e-08
1814,4.103267002619759e-06,3.1466771410748606e-09
1815,3.519876784707776e-06,0.0
1816,2.600351557191516e-06,0.0
1817,3.6321856988763557e-06,9.341240669868967e-09
1818,3.4487965585583424e-06,2.8610825708597076e-08
1819,3.9748034126319e-06,2.070210003424222e-09
1820,3.972897808068865e-06,0.0
1821,3.427853314974527e-06,4.930744257336528e-09
1822,3.431768263340018e-06,4.010246357211145e-09
1823,3.0260786711977516e-06,3.9530747564242574e-09
1824,3.3196025235326942e-06,3.3684450784221553e-09
1825,3.42003416164971e-06,1.7610886082763955e-09
1826,3.14268876877577e-06,7.927186018719112e-09
1827,3.3071575167298306e-06,2.7651818612639545e-09
1828,2.979163529204243e-06,9.172301251858528e-10
1829,3.071769082652054e-06,6.001223074036943e-09
1830,2.9734545599069406e-06,4.174734158368665e-08
1831,2.6442685374661323e-06,1.7150327380477393e-08
1832,2.738465740392826e-06,3.6530916958099624e-08
1833,2.902857300313144e-06,3.59092489077284e-08
1834,2.810627282912037e-06,3.360431222176885e-08
1835,2.3385066896253193e-06,5.294161553592858e-08
1836,2.236665640253932e-06,2.419469957715137e-08
1837,2.0727556870880903e-06,2.99189295560609e-08
1838,2.4061961418908595e-06,3.66105403770689e-08
1839,2.2044122101050334e-06,4.264799713382672e-08
1840,2.468891421969488e-06,9.427139247009109e-08
1841,2.66966417683534e-06,9.502412012807326e-08
1842,2.6967225643659276e-06,9.794067068469303e-08
1843,2.714225555422445e-06,8.38781373802e-08
1844,2.641095761646284e-06,1.0538037997775973e-07
1845,2.4809693641714148e-06,1.4675999882030055e-07
1846,2.6872162095514796e-06,1.0889372248357176e-07
1847,2.662634490668836e-06,6.68759696509369e-08
1848,2.465860406530851e-06,1.23091892012539e-07
1849,2.8473251880711814e-06,2.4803068399137373e-07
1850,2.5567358363787207e-06,1.8873409324271506e-07
1851,2.532049567349759e-06,1.741348478745408e-07
1852,2.4108550693568986e-06,1.0807505379517579e-07
1853,2.683189034513589e-06,1.2779933911133412e-07
1854,2.8280001309610725e-06,9.767849062924938e-08
1855,2.743155892659388e-06,8.438030363322468e-08
1856,2.915275274517626e-06,1.5531567826299053e-07
1857,2.6487067259495234e-06,9.372497222770448e-08
1858,2.6264360286631927e-06,1.0570340241988774e-07
1859,2.7655594223574553e-06,1.3035963708496467e-07
1860,2.9628110347346137e-06,1.1717591003046479e-07
1861,2.911636013180896e-06,1.1506951536066623e-07
1862,2.9290104528456595e-06,1.4818995541787672e-07
1863,2.68610703990646e-06,1.1138004252231326e-07
1864,2.893618230359607e-06,1.5774654782418907e-07
1865,2.7600934870974925e-06,1.1061084403962695e-07
1866,2.8429776861571554e-06,9.293320601955202e-08
1867,2.8325860235156597e-06,1.7178952482765908e-07
1868,2.6280130001055113e-06,1.6301583816158427e-07
1869,2.875415997749542e-06,1.2257633086321107e-07
1870,2.6755072362050214e-06,9.862564098739313e-08
1871,2.3695845428051143e-06,1.5931766306209738e-07
1872,2.697113302474463e-06,1.554166146888747e-07
1873,2.2285893805928936e-06,1.6042491557399785e-07
1874,2.4125472499747502e-06,1.4518300872623513e-07
1875,2.6948392175540903e-06,1.567698433291298e-07
1876,2.5574641782100116e-06,1.100374695806039e-07
1877,2.4355804484343935e-06,1.4967255235198706e-07
1878,2.421674498265247e-06,1.038723240753825e-07
1879,2.8432799972222256e-06,1.1363345064907548e-07
1880,2.748121669782222e-06,1.835504077618566e-07
1881,2.4626896184543057e-06,1.6803743507765034e-07
1882,2.5603266848861495e-06,1.7104339944395974e-07
1883,2.7008855170151946e-06,1.7567762711223622e-07
1884,2.4657338979494625e-06,2.4030178202849584e-07
1885,2.3861742324271518e-06,1.695202223039871e-07
1886,2.4826474493977457e-06,1.7682491426640468e-07
1887,2.3262558901393504e-06,1.4428923433840168e-07
1888,2.7017360366698995e-06,1.2300792429087437e-07
1889,2.740997238959153e-06,1.3156787126433755e-07
1890,2.9167019270914807e-06,2.248154507000777e-07
1891,2.6465761209237826e-06,2.5305652506801835e-07
1892,2.6540880355696572e-06,2.400840202199106e-07
1893,2.526798201785141e-06,2.3278813920946106e-07
1894,2.47650498153007e-06,2.413489497143928e-07
1895,2.6560146189069656e-06,2.3171666008181546e-07
1896,2.6843275442445247e-06,2.577001776415955e-07
1897,2.5491872150951167e-06,3.175558784818122e-07
1898,2.5298505477167055e-06,2.6085015569776715e-07
1899,2.5366057556652777e-06,2.8467029977718994e-07
1900,2.609542313791735e-06,3.2340260336383153e-07
1901,2.5294631988970195e-06,3.9568272303114327e-07
1902,2.242526676354828e-06,3.162222705910267e-07
1903,2.5732048953841513e-06,3.8557571357955567e-07
1904,2.6072306553714952e-06,3.901978011811025e-07
1905,2.533932786263904e-06,3.6176922080244367e-07
1906,2.473323959861773e-06,2.9373294996304367e-07
1907,2.6429070985045655e-06,3.569133403824587e-07
1908,2.7017551467167777e-06,3.604959610825631e-07
1909,2.6921814146874112e-06,3.6196470798444125e-07
1910,2.586569031848285e-06,3.179769758610007e-07
1911,2.8682137838131894e-06,3.059215041290031e-07
1912,2.859972177304826e-06,2.688061382372098e-07
1913,2.7967967497488644e-06,3.8658794565549215e-07
1914,2.9432189521116925e-06,2.8126323425858857e-07
1915,3.4246675895133194e-06,2.638890561623697e-07
1916,3.647837502285256e-06,2.0986052207128125e-07
1917,3.746130502690903e-06,2.818371087620619e-07
1918,3.6549648996242468e-06,2.159438761140109e-07
1919,3.6951095907511444e-06,3.084629141003603e-07
1920,3.3136086230456385e-06,3.4680821592303346e-07
1921,3.102554600786789e-06,4.0059833406047574e-07
1922,3.089141578982435e-06,4.153777704019035e-07
1923,3.1869075627355414e-06,3.800509293938603e-07
1924,3.219038660517981e-06,3.661221255057967e-07
1925,2.900219442381058e-06,2.5955700344582056e-07
1926,3.012801329305148e-06,2.953726676580004e-07
1927,2.9790728675038736e-06,3.34476740526668e-07
1928,3.1970063432140705e-06,3.3821082912055545e-07
1929,2.9176723259638493e-06,2.395187355119788e-07
1930,2.751944194301359e-06,3.980865668218314e-07
1931,2.8182636668816485e-06,6.079055010488332e-07
1932,2.815505006026342e-06,6.25789557062717e-07
1933,2.7885179392228565e-06,5.838566847771176e-07
1934,2.892353407446535e-06,4.66083468708689e-07
1935,2.86879780730942e-06,5.696903029317468e-07
1936,2.918418722686056e-06,5.201502641938305e-07
1937,2.8745522442363836e-06,5.540092145039921e-07
1938,2.93791766381446e-06,5.1601552186753e-07
1939,2.927281308018337e-06,3.4564553885729765e-07
1940,2.8071116986438938e-06,2.6118563756227786e-07
1941,2.682915955176668e-06,3.394227867659083e-07
1942,2.9583564256085992e-06,2.3363430545764174e-07
1943,3.2051717582248784e-06,3.9193673906368076e-07
1944,3.2324653105320067e-06,3.4381090685542404e-07
1945,3.5836392555665952e-06,4.531288420039914e-07
1946,2.908118766242751e-06,5.122966193482625e-07
1947,2.8884270051321437e-06,4.67298145956363e-07
