year,son_DET chantier_NOUN
1800,9.746909768182377e-08
1801,4.7623651688866175e-09
1802,2.2378401354217203e-08
1803,2.9255089017965474e-08
1804,1.9774807569206132e-08
1805,1.1371510844071508e-08
1806,2.5935023018064385e-08
1807,4.27043254092041e-08
1808,5.891792298484688e-08
1809,1.3554183553310395e-08
1810,3.2761775514700275e-08
1811,3.259199843341776e-08
1812,6.668020624545079e-08
1813,9.489947672136623e-08
1814,3.776012391654149e-08
1815,5.394447111228828e-09
1816,2.0858434979231788e-08
1817,2.1796227045456362e-08
1818,4.768470773797162e-08
1819,4.6579725410111905e-08
1820,1.4239777357261119e-08
1821,7.88919063410276e-09
1822,3.107940926838637e-08
1823,3.5577674140085946e-08
1824,1.2631669044083083e-08
1825,7.13240879690602e-08
1826,1.9377566218281572e-08
1827,1.935627302884768e-08
1828,2.109629271274116e-08
1829,4.715246859632316e-08
1830,3.757260813586072e-08
1831,1.4187997976478073e-07
1832,4.7354891563600177e-08
1833,3.938433579264711e-08
1834,3.173740559248017e-08
1835,6.050470346963266e-08
1836,3.49478987970997e-08
1837,4.1051556820548285e-08
1838,3.3454458758797045e-08
1839,4.124970254260063e-08
1840,2.9937536172308654e-08
1841,6.548959419205858e-08
1842,5.702025163145663e-08
1843,4.902736083778336e-08
1844,6.421616660645668e-08
1845,2.17628883802945e-08
1846,6.030136034951283e-08
1847,3.721324315364427e-08
1848,3.057184372323718e-08
1849,7.373885324568619e-08
1850,5.7706466272122725e-08
1851,3.8696633453128015e-08
1852,3.6459056218518526e-08
1853,3.2845626662947325e-08
1854,3.8967485072038954e-08
1855,5.413075854221461e-08
1856,3.054541508618058e-08
1857,4.637433548282388e-08
1858,3.9149409047922745e-08
1859,6.110607797538137e-08
1860,3.295572459371954e-08
1861,8.441575261031176e-08
1862,4.201727321628823e-08
1863,8.390963301962984e-08
1864,5.274200842730892e-08
1865,4.7539127412399296e-08
1866,6.082016135167123e-08
1867,5.28956434209249e-08
1868,6.866424617779643e-08
1869,5.9578933786497146e-08
1870,7.167560767129544e-08
1871,3.398776571295059e-08
1872,7.861540751719076e-08
1873,7.48250528204153e-08
1874,8.24496037554745e-08
1875,7.552415581812966e-08
1876,3.688068872520489e-08
1877,8.040260723873871e-08
1878,7.246906530422592e-08
1879,6.964630627770418e-08
1880,5.904418642899145e-08
1881,9.27343535295222e-08
1882,1.1979693126384916e-07
1883,1.1438003311159406e-07
1884,1.5976106126913692e-07
1885,1.340692250551001e-07
1886,1.1293561641423366e-07
1887,7.965287807110144e-08
1888,7.03808211710566e-08
1889,7.330209683686917e-08
1890,7.930807299771914e-08
1891,1.0262494498647357e-07
1892,7.772955590290564e-08
1893,1.2686338379808149e-07
1894,1.0523570637133162e-07
1895,1.287983479869581e-07
1896,1.2855522868449043e-07
1897,8.215666014166345e-08
1898,1.0354789214961357e-07
1899,7.020024384019052e-08
1900,9.655358579330198e-08
1901,1.212756330914999e-07
1902,9.820567614671205e-08
1903,9.558389790775834e-08
1904,9.728071326264853e-08
1905,1.248903716555283e-07
1906,1.373497298118309e-07
1907,1.5685672405396645e-07
1908,1.070682811299406e-07
1909,1.1056977144985325e-07
1910,1.389479126201465e-07
1911,1.5269474218371215e-07
1912,1.23463283596692e-07
1913,1.0287799767638717e-07
1914,9.308473636338022e-08
1915,8.010918151057922e-08
1916,1.0218339641099305e-07
1917,1.2063067345025047e-07
1918,9.074237539152818e-08
1919,1.4916714086155025e-07
1920,1.0298235064709615e-07
1921,1.0829028584957712e-07
1922,1.0993123866764876e-07
1923,1.1571383273789593e-07
1924,9.153053071031536e-08
1925,1.033828738172815e-07
1926,8.582526300759952e-08
1927,1.036877917970358e-07
1928,1.291142672776857e-07
1929,7.798284684668033e-08
1930,8.823027286553042e-08
1931,8.325910272333203e-08
1932,9.863583017022393e-08
1933,8.602996359741155e-08
1934,1.2940105875713925e-07
1935,1.2925747228109685e-07
1936,8.972288867425959e-08
1937,1.347249581895582e-07
1938,1.205764874612214e-07
1939,1.0858775745248295e-07
1940,8.114505334333444e-08
1941,7.969057236323351e-08
1942,1.2440268903901597e-07
1943,1.1612940675753691e-07
1944,1.44593382600533e-07
1945,1.2853174080618146e-07
1946,1.4617159038721184e-07
1947,8.821444197337769e-08
1948,1.174163912764925e-07
1949,1.0307858788749513e-07
1950,1.020994730982494e-07
1951,1.002171777786387e-07
1952,1.413003669625823e-07
1953,9.050015137290757e-08
1954,1.309519903625045e-07
1955,1.1356585360999816e-07
1956,1.360498143032629e-07
1957,1.2015651051910936e-07
1958,1.3235589557680782e-07
1959,1.0541017358978166e-07
1960,1.0658083532399942e-07
1961,1.473009700880823e-07
1962,1.0781325920916629e-07
1963,1.176821713411158e-07
1964,8.882593677261852e-08
