year,en_ADP ans_NOUN,en_ADP champ_NOUN
1800,1.006132621661493e-07,5.219312786408636e-07
1801,9.28661236798689e-08,6.072015610314452e-07
1802,9.175144555229053e-08,5.796005666525161e-07
1803,9.946729906396001e-08,4.173726018130708e-07
1804,9.887404028852131e-08,4.918983389501363e-07
1805,6.25433098644379e-08,3.383024345104957e-07
1806,1.6137346481315262e-07,3.227469322908405e-07
1807,1.5088862248546775e-07,4.5266585857461905e-07
1808,1.427626639127766e-07,6.571614723505093e-07
1809,7.906607124574805e-08,5.060228431830183e-07
1810,1.4508786394529238e-07,3.9548142360956717e-07
1811,8.273353602206157e-08,5.239790450417559e-07
1812,9.068508077803017e-08,5.414432933115165e-07
1813,7.476928232108548e-08,7.246869224708519e-07
1814,3.1466771410748606e-08,7.331757916340109e-07
1815,4.855002422310406e-08,4.720141146830059e-07
1816,5.7940095388175905e-08,6.860107255590719e-07
1817,6.383180817248757e-08,5.417919244354863e-07
1818,6.318223921830679e-08,7.689159469137508e-07
1819,1.066158181739496e-07,7.038714171514471e-07
1820,4.509263007435038e-08,7.558948755814754e-07
1821,1.0354562518521959e-07,5.315342076483986e-07
1822,1.3334069137727056e-07,1.060710204114912e-06
1823,4.348382143248841e-08,5.534304499121845e-07
1824,5.557934468214398e-08,5.650566361481424e-07
1825,4.138558074018306e-08,7.889677016148511e-07
1826,3.435113959948666e-08,1.0190837675949638e-06
1827,6.544263980723386e-08,6.313831887316823e-07
1828,4.035812389835414e-08,6.6682628485637e-07
1829,5.658296359234427e-08,6.918552808432565e-07
1830,2.7135772739939057e-08,6.449964451427093e-07
1831,4.989185842241284e-08,6.984860394521064e-07
1832,3.9236911608675484e-08,6.629685027625953e-07
1833,3.938433690287013e-08,6.7069206721726e-07
1834,4.760610661236342e-08,7.962354846569042e-07
1835,9.756383434478266e-08,1.1276563611772872e-06
1836,3.09154504218867e-08,1.0921218870363347e-06
1837,3.478945287405111e-08,9.288784226235691e-07
1838,3.282324301245865e-08,1.354589893587388e-06
1839,6.711815891957684e-08,1.18365678059007e-06
1840,6.369688487772862e-08,8.204158792324279e-07
1841,9.052973348744331e-08,7.820228065114065e-07
1842,7.24492630332918e-08,9.109824103958886e-07
1843,3.544146692791017e-08,7.076479526801904e-07
1844,3.402907938765409e-08,8.452384105961386e-07
1845,2.566904799827796e-08,8.286638406573843e-07
1846,3.2785206105501175e-08,1.0690319083295208e-06
1847,2.1572895470001185e-08,6.81164133986556e-07
1848,1.930853293918844e-08,7.023478634238245e-07
1849,4.7762666932626985e-08,9.066526889256465e-07
1850,3.2587180065490884e-08,6.795785267854626e-07
1851,3.4826968864365426e-08,5.66905658416772e-07
1852,2.79953455972759e-08,7.252747864505693e-07
1853,6.270528518648177e-08,5.80471791522541e-07
1854,3.273268556203135e-08,7.549300393705494e-07
1855,2.4411910715116392e-08,7.143137423781809e-07
1856,1.501384794266869e-08,6.171209783190079e-07
1857,4.58861838525948e-08,6.633971008085382e-07
1858,5.285170184832211e-08,8.23605669664218e-07
1859,2.9025388315062628e-08,7.434573157105717e-07
1860,1.968189100587381e-08,7.122097924749937e-07
