year,en_ADP arme_NOUN,en_ADP charmes_NOUN
1800,4.087413785214267e-08,1.5720821977538435e-08
1801,4.7623650800687756e-08,2.3811825400343878e-08
1802,4.2518962573012686e-08,0.0
1803,1.5602713787643552e-08,7.801356893821776e-09
1804,1.730295728918918e-08,3.213406074564773e-08
1805,5.685755422035754e-09,1.421438877713399e-08
1806,2.881669125542885e-08,4.034336598124355e-08
1807,3.4163463169534225e-08,3.4163463169534225e-08
1808,1.8128591960930862e-08,6.798221985349073e-09
1809,4.51806094758922e-08,1.3554183553310395e-08
1810,2.3401266702194334e-08,1.4040760554223652e-08
1811,8.273353557797236e-08,0.0
1812,1.0668832928217853e-08,1.600324850414836e-08
1813,5.176335093892703e-08,4.601186631703058e-08
1814,3.1466772298927026e-08,1.8880061958270744e-08
1815,4.045835311217161e-08,2.697223555614414e-09
1816,4.6352077731626196e-08,2.3176038865813098e-09
1817,1.2454987263765815e-08,0.0
1818,3.099506074022429e-08,8.344824387052086e-09
1819,1.8631890696951814e-08,7.24573512300708e-09
1820,5.6959109429044474e-08,2.3732962262101864e-09
1821,4.437669787193954e-08,8.875339574387908e-09
1822,5.6143449000956025e-08,1.0025615893027862e-09
1823,7.412015179397713e-08,1.680056804787e-08
1824,2.105278085196005e-08,1.0947446504872005e-08
1825,2.553578504205234e-08,1.584979791857677e-08
1826,2.7304752237000685e-08,1.3211976401805714e-08
1827,2.7651818612639545e-08,7.373818444733615e-09
1828,1.834460228167245e-08,2.5682442839070063e-08
1829,2.8291481157793896e-08,2.1432940588983485e-08
1830,5.5315229730013016e-08,1.2524203008013046e-08
1831,5.6128342862393765e-08,0.0
1832,5.141388470519814e-08,8.117981509236927e-09
1833,8.68772147555319e-08,1.9692167896323554e-08
1834,4.480574844478724e-08,1.120143711119681e-08
1835,7.260564416355919e-08,1.663879345414898e-08
1836,7.728862527756064e-08,1.0753200108126748e-08
1837,2.2265250976261086e-08,2.0873671680021744e-09
1838,1.9567702125300457e-08,8.837027110075724e-09
1839,4.334714631681891e-08,1.677954131196202e-08
1840,3.184844388215424e-08,6.3696887764308485e-09
1841,4.687000298986277e-08,1.412520722610111e-08
1842,3.6224630406422875e-08,6.708265054555795e-09
1843,4.3120451209688326e-08,2.3627644285539873e-09
1844,3.402907822191992e-08,1.2074834465636286e-08
1845,3.348136701220028e-08,4.464182357111213e-09
1846,1.9319854160926297e-08,2.9272506640865004e-09
1847,5.770749211819748e-08,5.3932236454556914e-09
1848,2.896279838182636e-08,7.24069959545659e-09
1849,4.022119171054328e-08,1.005529792763582e-08
1850,4.1412874907109654e-08,1.3577992064028876e-08
1851,2.902247508984601e-08,7.094382858952031e-09
1852,2.6042181744401205e-08,1.3672145415810633e-08
1853,5.3747385209135246e-08,9.555090940693844e-09
1854,3.636965217879151e-08,1.2989160858012383e-08
1855,2.9718847827098216e-08,2.0166361025530932e-08
1856,3.36517302912398e-08,2.7439103433835044e-08
1857,4.930324237761852e-08,1.8549734193129552e-08
1858,5.5787907626836386e-08,1.1744822003834088e-08
1859,4.939408171367177e-08,1.2221216039165483e-08
1860,4.073693560258107e-08,2.288591893773173e-08
1861,4.291527133659656e-08,3.3011746669586728e-09
1862,4.292087041335435e-08,4.9697850279528666e-09
1863,2.6471489888990618e-08,3.146611149418277e-08
1864,3.3563097190381086e-08,2.7329949858767577e-08
1865,4.565638889175716e-08,5.1775286835642476e-09
1866,6.227984528095476e-08,6.811858022093276e-09
1867,3.154327288257264e-08,4.367530337390235e-09
1868,4.4952855660085334e-08,2.2229432850018327e-08
1869,4.248661511496721e-08,4.883519144627257e-10
1870,4.587239033071455e-08,1.0321287824410774e-08
1871,6.266494523288202e-08,2.1242354542039266e-09
1872,4.2936108002322726e-08,9.675742873582749e-09
1873,6.225444337815134e-08,7.78180558880237e-09
1874,5.735624597491551e-08,2.9873046258899194e-09
1875,2.574687130163511e-08,1.0870901512305409e-08
1876,2.8416270225761764e-08,1.209202959984168e-08
1877,4.886004489890183e-08,8.040260790487253e-09
1878,3.01954443671093e-08,6.039088784604019e-09
1879,4.2765275765077604e-08,1.5273313280772527e-08
1880,6.28948910730287e-08,1.0268554229142524e-08
1881,4.113779539238749e-08,1.9523020977629812e-08
1882,6.522277118392594e-08,1.0648616211028639e-08
1883,3.917990198942789e-08,5.6874050469168935e-09
1884,3.9610181801208455e-08,5.941527270181268e-09
1885,4.7697703564608673e-08,1.2891271383708158e-09
1886,5.2918402104751294e-08,1.097088819790315e-08
1887,4.504957828999068e-08,9.793386546164129e-09
1888,4.311618084784641e-08,6.974675947901687e-09
1889,4.385595886446936e-08,1.3156787437296202e-08
1890,4.7191583973926754e-08,6.554386478008212e-10
1891,3.4420789774003424e-08,1.6572972327821844e-08
