year,son_DET ange_NOUN,son_DET change_NOUN
1800,2.263798482005086e-07,1.8864987794131594e-08
1801,2.857419119095539e-07,3.6908329548168695e-07
1802,2.1483265300048515e-07,3.5805442166747525e-08
1803,2.0088493490888482e-07,7.606323038089613e-08
1804,3.04037662601786e-07,0.0
1805,3.1840230008128856e-07,3.980028751016107e-08
1806,2.1900684998854558e-07,8.068673462702236e-08
1807,2.2490944928676981e-07,2.8469550272802735e-08
1808,2.583324363314432e-07,2.039466551195801e-08
1809,2.801197780399889e-07,5.421673421324158e-08
1810,3.5335913484146886e-07,4.212228077449254e-08
1811,1.228467652047982e-07,8.022645836547326e-08
1812,2.1070944455914287e-07,1.8670457180292033e-08
1813,3.019528684866657e-07,3.738464116054274e-08
1814,2.2656074971649787e-07,4.090680150170556e-08
1815,4.774085620162793e-07,8.631115377966125e-08
1816,4.3339193211977545e-07,2.7811246638975717e-08
1817,4.5460704356514725e-07,1.2766362278426868e-07
1818,3.087584905525631e-07,2.265023657521681e-08
1819,2.8361876580618173e-07,4.2439304737129646e-08
1820,2.1952989293083647e-07,1.4121112457132767e-07
1821,3.4909667201432626e-07,1.1242096320529527e-07
1822,3.759605817776901e-07,8.822541985864518e-08
1823,3.3403482646576776e-07,4.644862805491812e-08
1824,3.014758345187829e-07,1.0189546095773494e-07
1825,4.710911980509991e-07,4.57883047033647e-08
1826,2.2988839276649742e-07,9.160303449107232e-08
1827,2.719095508751934e-07,4.6086365612652e-08
1828,3.274511408690728e-07,2.109629271274116e-08
1829,2.5548064996883113e-07,9.17329817662349e-08
1830,3.2354190349082046e-07,5.635891486832634e-08
1831,2.962329102018657e-07,6.548306430431694e-08
1832,4.951968666233597e-07,5.4119875803060324e-08
1833,3.6951773907389907e-07,2.0850531967653296e-08
1834,3.565790915871503e-07,2.5203233278148218e-08
1835,4.0840673420916573e-07,2.571449897459388e-08
1836,5.356437871029129e-07,2.6210924986003192e-08
1837,4.251271352728736e-07,4.313892254526053e-08
1838,3.9324768597026605e-07,3.976662044102852e-08
1839,4.72623712610698e-07,4.055055691232212e-08
1840,3.930097882687278e-07,4.522479102320176e-08
1841,4.866775800138612e-07,2.760835826620678e-08
1842,4.2463316951568686e-07,2.1466448174578545e-08
1843,4.2352553597524434e-07,4.193906921745594e-08
1844,4.791513887880683e-07,4.939705144924034e-09
1845,3.984282734847966e-07,1.562463758375543e-08
1846,4.156695876389449e-07,3.7468808500307205e-08
1847,2.98245253382845e-07,1.4022381478184798e-08
1848,3.443354774645968e-07,2.654923214606697e-08
1849,2.8908980298503195e-07,2.011059585527164e-08
1850,4.1820214491394836e-07,2.5798184921654865e-08
1851,3.6890789800736457e-07,2.5152811389261842e-08
1852,3.9584117250690554e-07,3.7761165305738587e-08
1853,3.5771871953471646e-07,3.702597695109944e-08
1854,6.021774989761752e-07,4.3643580860397435e-08
1855,4.797471042650159e-07,3.980202833986368e-08
1856,6.021070895201319e-07,4.2970672353703776e-08
1857,5.228096373599556e-07,2.4895697281479556e-08
1858,5.534747558044728e-07,2.7404586100399086e-08
1859,4.908855100183018e-07,2.2914779407301467e-08
1860,4.970821834149319e-07,1.3731552062079544e-08
1861,4.744259491928915e-07,4.6688040100661965e-08
1862,4.81617346892449e-07,1.2108203240046578e-07
1863,5.713846267241252e-07,1.3984938207478592e-08
1864,5.724904941217801e-07,3.2124676474509783e-08
1865,5.257545083736659e-07,3.812543880599151e-08
1866,4.962925217455449e-07,3.065336073859726e-08
1867,4.862517108961129e-07,3.34843974769683e-08
1868,3.6159877137009744e-07,6.372437866275504e-08
1869,4.155874702149731e-07,1.5138909126299893e-08
1870,3.922089453212152e-07,2.2936195165357276e-08
1871,2.9739295648312236e-07,1.274541272522356e-08
1872,3.942865349770841e-07,1.5118347462816928e-08
1873,4.1123849925384093e-07,5.566984045968226e-08
1874,2.939507695032262e-07,3.1665429389704514e-08
1875,3.833423267707303e-07,3.4901315615343265e-08
1876,3.530872607626634e-07,3.808989390563511e-08
1877,3.370724606099884e-07,2.968711676487601e-08
1878,3.74423506421806e-07,4.589707458535486e-08
1879,3.6472672260146055e-07,3.176849006081284e-08
1880,3.523397715810006e-07,5.134277003548959e-08
1881,2.928453239903206e-07,1.743126937236994e-08
1882,3.933332646255394e-07,2.1962771157291172e-08
1883,3.0459212840838745e-07,2.274962085380139e-08
1884,2.739704214604899e-07,1.7824582698722224e-08
1885,2.591145564778685e-07,3.158361394639542e-08
1886,2.76853597824811e-07,2.4523162944767307e-08
1887,2.8204955082600236e-07,2.415702127223085e-08
1888,3.677556499326329e-07,2.8532765483646472e-08
1889,3.339317906636552e-07,5.07476087818759e-08
1890,2.969137100627961e-07,5.898947996740844e-09
1891,2.4413263055578227e-07,2.7409146952095398e-08
1892,2.375766179341099e-07,1.7551833764173352e-08
1893,2.2724556680842056e-07,3.38712916048145e-08
1894,2.608837190720692e-07,7.624862785604591e-08
1895,2.4134644593942767e-07,5.5973114143625935e-08
1896,2.3588116526696012e-07,2.181900704556483e-08
1897,1.9810825602206705e-07,3.670829618052096e-08
1898,1.9747659329993894e-07,2.998928039232851e-08
1899,3.04016824159703e-07,1.6029977345510815e-08
1900,2.2425348955579238e-07,2.9589003247565415e-08
1901,2.419923927909906e-07,2.6267072128494107e-08
1902,1.9739341716729086e-07,2.504244706047487e-08
1903,1.814474037686864e-07,3.67214987306852e-08
1904,1.5855144663845522e-07,3.493506373075661e-08
1905,1.7340149849331965e-07,5.160759064537501e-08
1906,1.8776273869036686e-07,3.5494874317532066e-08
1907,1.8719950034551402e-07,5.5028423373570945e-08
1908,1.7042520106258507e-07,1.276961114626829e-08
1909,2.645973058434947e-07,2.8055016532135824e-08
1910,1.9719916810601035e-07,1.2291546447329438e-08
1911,2.2132755939097137e-07,2.3941684190731394e-08
1912,2.036883728351313e-07,2.552616312767597e-08
1913,2.1424078422427328e-07,2.4393753017548647e-08
1914,4.192161480176537e-07,4.5537858206490256e-08
1915,1.2016377404222567e-07,1.2723222653221455e-07
1916,1.8129312495673844e-07,2.1095927138503612e-07
1917,1.6668964486488136e-07,1.63399724417701e-07
1918,1.642551872294007e-07,1.8493065390146057e-07
1919,1.95206380837476e-07,2.1638443348237502e-07
