year,mon_DET art_NOUN,mon_DET char_NOUN
1800,4.62192190298083e-07,2.861189667413555e-07
1801,4.857612598829775e-07,1.500145003774378e-07
1802,5.616978739908518e-07,1.2979472785445978e-07
1803,8.132914706138195e-07,1.2482170852479157e-07
1804,9.318878211317383e-07,3.0650952265176556e-07
1805,5.628897792320231e-07,1.6204402442099308e-07
1806,6.570205428602094e-07,2.564685619432794e-07
1807,4.5551283189837477e-07,1.4804166781345884e-07
1808,4.6454516855476413e-07,3.263146446386145e-07
1809,5.512034491061968e-07,1.9427662323323602e-07
1810,7.511806749960215e-07,2.4805344400746776e-07
1811,6.317833203262069e-07,5.2648610804340024e-08
1812,6.267939367532449e-07,1.4669645764797679e-07
1813,8.109591576044295e-07,1.4091133948568313e-07
1814,8.05549368543268e-07,2.4544080812205493e-07
1815,3.452446240004292e-07,7.282503400318774e-08
1816,2.294427776661223e-07,5.7940095388175905e-08
1817,6.414318249881035e-07,1.2143611949344546e-07
1818,3.385614242290558e-07,6.914282812964245e-08
1819,4.771834039019041e-07,1.5733596292477614e-07
1820,6.312968103827643e-07,2.159699583614838e-07
1821,6.95234909642295e-07,1.400331386403053e-07
1822,5.81485721795616e-07,1.9850719468195166e-07
1823,5.761606370890959e-07,8.69676419767984e-08
1824,5.709514461216258e-07,1.2631668777629557e-07
1825,5.529818380978213e-07,1.4352872312883846e-07
1826,4.6065758851909777e-07,1.1009980482867832e-07
1827,4.027948388163338e-07,1.5024154542686574e-07
1828,4.29263693035864e-07,9.355747226935662e-08
1829,4.115124605519327e-07,1.0545006223772191e-07
1830,5.458465146546132e-07,1.273293961379096e-07
1831,4.646179385670024e-07,1.2161140627853229e-07
1832,4.0995807548682706e-07,1.5288865995444212e-07
1833,6.150906965984859e-07,1.0077757117699093e-07
1834,3.957841023805031e-07,1.2414926020554162e-07
1835,5.279035306671176e-07,1.3462296521993267e-07
1836,5.094328638932666e-07,1.4113575064200745e-07
1837,3.3954507294708947e-07,1.0158520935554805e-07
1838,4.267021349591005e-07,8.079567415109068e-08
1839,2.684726539969873e-07,6.641901117987459e-08
1840,3.78996487526706e-07,6.688172771163181e-08
1841,3.781703159511096e-07,4.4301785351308354e-08
1842,4.5414954419342735e-07,7.580339511648049e-08
1843,3.6091227784140756e-07,9.451057469966884e-08
1844,2.755257848541248e-07,8.068185097798164e-08
1845,3.4430005602104075e-07,4.2967754909639666e-08
1846,2.968232255540215e-07,8.137756601911406e-08
1847,2.3891980394097345e-07,2.8584086209093584e-08
1848,2.308978608311918e-07,1.0056527433022211e-07
1849,1.6172270367320607e-07,9.049767868418712e-08
1850,2.600185489143314e-07,1.031927414629763e-07
1851,2.405640655567254e-07,4.7725846608059896e-08
1852,3.05995646820989e-07,6.966283438991638e-08
1853,2.4425201505806626e-07,4.837264766521798e-08
1854,3.0394637207109554e-07,9.508066112218216e-08
1855,4.0279652679942046e-07,7.323573214534917e-08
1856,2.842276991543713e-07,4.8665579732709574e-08
1857,3.3194262449853795e-07,7.419893810478584e-08
1858,3.513659239118283e-07,1.1353328277508012e-07
1859,3.8293143322931655e-07,9.318677030023537e-08
1860,3.240646293534155e-07,9.108596121798485e-08
1861,3.070092322587925e-07,9.101810150013989e-08
1862,3.406561730479041e-07,6.189641177378746e-08
1863,3.4313044583456076e-07,5.843706429864426e-08
1864,2.881631520068595e-07,1.1747083394908486e-07
1865,2.913536594206789e-07,1.1625905815826343e-07
1866,2.6031029065620714e-07,1.3721027958268905e-07
1867,2.5234619549507897e-07,7.18216135453531e-08
1868,2.2772820074123956e-07,1.1361710061663644e-07
1869,3.7944943098722206e-07,9.034510473071578e-08
1870,2.4713749802174334e-07,1.1353416917714299e-07
1871,2.1985836617943733e-07,1.2532989046576404e-07
1872,2.2435628199701796e-07,9.675743184445196e-08
1873,2.5859539132255804e-07,6.94376541821029e-08
1874,2.437640485020154e-07,7.109784938563735e-08
1875,3.2212196821035377e-07,8.410644625200803e-08
1876,3.343446195458455e-07,4.353130744760847e-08
1877,2.4677415888518794e-07,8.535046314150918e-08
1878,2.451869975939047e-07,4.7708801798052036e-08
1879,2.5170419426512325e-07,4.459807412260375e-08
1880,3.2281767747832646e-07,7.444701655145991e-08
1881,2.3776251412144234e-07,5.020205584571613e-08
1882,3.281104981045502e-07,4.924984975396285e-08
1883,3.2797369975412494e-07,6.824885989686891e-08
1884,2.0531277389324032e-07,7.063815665730999e-08
1885,1.8756799446961736e-07,6.316722989119228e-08
1886,2.749175616045818e-07,4.194751518360462e-08
1887,2.141487260853836e-07,3.917354862714717e-08
1888,2.098743472345177e-07,6.150396369974942e-08
1889,1.7918291117524632e-07,5.262715008225172e-08
1890,2.038414184113435e-07,2.7528423318656792e-08
1891,2.473197344698974e-07,3.6970476458009216e-08
1892,2.59516411027505e-07,8.149065955365131e-08
1893,1.601188315270008e-07,5.480990639128436e-08
1894,2.444997271311422e-07,4.0960003833134806e-08
1895,2.3773527324522092e-07,4.273216447359118e-08
1896,2.8895442749643507e-07,3.3023362266959566e-08
1897,2.0043894188859213e-07,6.292850596167909e-08
1898,2.3538756011021178e-07,3.5647636398294935e-08
1899,1.945707559514176e-07,3.371822820952275e-08
1900,2.865461370404887e-07,4.4123952047669945e-08
1901,1.8666387813226493e-07,2.794369546865738e-08
1902,1.58111137738004e-07,3.1425818058927746e-08
1903,1.8684762626008933e-07,5.7242333317830685e-08
1904,2.6335663871890347e-07,4.568431410945095e-08
1905,2.8590605971601235e-07,3.612531429553201e-08
1906,2.2274319366744066e-07,1.9547901519700872e-08
1907,2.437707724567417e-07,3.1371342856800766e-08
1908,2.971390353767589e-07,2.2101250385375693e-08
1909,2.9870340279014584e-07,6.326131030132132e-08
1910,2.581224720632491e-07,3.740905352156432e-08
1911,2.5803814596159214e-07,4.8947440767221906e-08
1912,2.8599722057265353e-07,3.334029585744247e-08
1913,2.7893726706196276e-07,3.8711825744996986e-08
1914,2.6586072987555553e-07,3.549274207870212e-08
1915,1.5786220675106932e-07,2.0027295377644805e-08
1916,1.6481193565454078e-07,2.96661473164761e-08
1917,1.4037023632340606e-07,1.7546279096336548e-08
1918,2.51551639074421e-07,4.9391419842947926e-08
1919,2.64265241689543e-07,6.261336826796082e-08
1920,2.536697554234024e-07,6.284952291935042e-08
1921,3.7030735988707875e-07,3.483463739684112e-08
1922,3.6373221234953235e-07,5.3858929760508545e-08
1923,4.235763229054612e-07,4.0340602414090654e-08
1924,4.4733937354379805e-07,5.801231051094646e-08
1925,3.629398790394589e-07,4.6192349056894955e-08
1926,3.722810362205564e-07,2.6750732518010523e-08
1927,3.9245271787891056e-07,3.4562597672760376e-08
1928,3.1535873912247325e-07,5.255979096396857e-08
1929,3.364402623162732e-07,6.684243691879033e-08
1930,2.804462209127223e-07,3.676261295382233e-08
1931,3.0110140603056834e-07,4.1059283084621256e-08
1932,2.88235798784342e-07,5.260577418120249e-08
1933,2.1794257887286506e-07,3.9000251472742775e-08
1934,2.3963160522555427e-07,2.995395220750652e-08
1935,1.9987034249879798e-07,3.351119648442591e-08
1936,3.0311786458625534e-07,6.547345599017262e-08
1937,2.568588080009704e-07,2.6441348222050465e-08
1938,3.020894894234516e-07,4.797129271594258e-08
1939,2.278813466816132e-07,1.8352861452797242e-08
1940,2.053984160532707e-07,6.339457403470306e-08
1941,1.8299316550951517e-07,6.788455708672814e-08
1942,4.3996070075991156e-07,3.641054280301148e-08
1943,3.8613026998035593e-07,6.387117679196308e-08
1944,4.177142063355177e-07,1.0282195894717461e-07
1945,2.614204905881934e-07,7.842614424546923e-08
1946,4.5661221825810117e-07,7.935029699979168e-08
1947,3.623944859754147e-07,5.3643919750712143e-08
1948,3.652954343458248e-07,5.6533817183179735e-08
1949,3.0236385217818906e-07,2.257911879688379e-08
1950,3.254420715137485e-07,4.3604983179790224e-08
1951,2.2495557194801563e-07,4.691016919355917e-08
1952,3.026358683655417e-07,4.112473517281501e-08
1953,2.6503616012973907e-07,3.016671668021331e-08
1954,3.11743910685891e-07,3.8112889733099564e-08
1955,2.9189238981430776e-07,4.1296674524460286e-08
1956,2.607621301109475e-07,5.3198963234635244e-08
1957,2.791871915874822e-07,4.2408181188946514e-08
