year,en_ADP an_NOUN,en_ADP champs_NOUN
1800,4.904896533375336e-07,3.3328143445032765e-07
1801,5.643402785082685e-07,5.619591096905907e-07
1802,6.064546766992862e-07,3.9162202369880106e-07
1803,5.265915992147541e-07,3.7446511669259053e-07
1804,3.6830580740776497e-07,2.5707248596518184e-07
1805,4.918178508894755e-07,1.194008660831969e-07
1806,4.3801370352980484e-07,3.0833859909762396e-07
1807,4.526658616832435e-07,1.679703558465917e-07
1808,5.483899125913183e-07,4.6001301257092564e-07
1809,5.421673359151669e-07,2.643065784013743e-07
1810,5.943921879136838e-07,1.661489932303084e-07
1811,5.515568854974617e-07,1.780024518893697e-07
1812,3.6807472891808857e-07,2.2404549326893175e-07
1813,4.658701489024253e-07,1.8404746526812232e-07
1814,5.286417530392384e-07,2.0768068509369186e-07
1815,5.529308373386499e-07,1.8071398244501324e-07
1816,5.400016984680178e-07,1.9236112791531923e-07
1817,5.433488123873786e-07,6.383181272440197e-08
1818,6.115563999653517e-07,9.656153565629211e-08
1819,4.896046665869846e-07,1.738976470599951e-07
1820,5.517913699293331e-07,1.1747816586193949e-07
1821,5.581602378068595e-07,1.4989461760706035e-07
1822,5.323601897089247e-07,1.3434325296657335e-07
1823,5.33665093671587e-07,1.0772129011016318e-07
1824,5.793725446068265e-07,2.9389682332237044e-07
1825,5.60906715518783e-07,1.629007015946371e-07
1826,4.6241916806799566e-07,1.4885493326843857e-07
1827,6.286180035952604e-07,1.576153749738296e-07
1828,5.851928263078676e-07,1.1006761724274838e-07
1829,5.735454887134672e-07,1.4745862841891721e-07
1830,3.7781346229337487e-07,2.160425083275186e-07
1831,3.80425425827724e-07,2.10481275964014e-07
1832,3.368962461225422e-07,1.5153565868786245e-07
1833,6.544750054127135e-07,1.7259606988062615e-07
1834,4.424567656702294e-07,1.9602515410888088e-07
1835,4.4092801942952065e-07,1.4823651639517266e-07
1836,3.8913142974550397e-07,6.660263127677979e-07
1837,4.167776712638016e-07,5.002723355573835e-07
1838,3.888291648657116e-07,1.691659403668666e-07
1839,4.1669192585302994e-07,1.2095252088784036e-07
1840,3.471480304884089e-07,1.369483072499733e-07
1841,3.7239181560622114e-07,2.0930987876255358e-07
1842,5.138531156134718e-07,1.576442336670425e-07
1843,3.378753090643727e-07,9.864541372639479e-08
1844,3.485236398370617e-07,1.663034083776438e-07
1845,3.5546052618018464e-07,1.060243306483244e-07
1846,3.2843752117983627e-07,1.5572972866806367e-07
1847,4.0395245015645287e-07,1.364485626709211e-07
1848,3.1456817606301257e-07,2.2687525813580578e-07
1849,4.725990050413742e-07,2.0697154923254857e-07
1850,3.91725066606341e-07,1.5818361021047167e-07
1851,4.456562066046388e-07,1.5672135589284153e-07
1852,3.359441413941511e-07,1.5039360334867524e-07
1853,5.482233342846143e-07,1.5288146171243966e-07
1854,3.3044426805961535e-07,1.8288739056515624e-07
1855,4.1022623520348134e-07,1.9158042974254386e-07
1856,3.748285001270446e-07,1.3771322926459106e-07
1857,3.656250328054611e-07,1.620661028711723e-07
1858,3.0976968945495287e-07,1.3604419280000002e-07
1859,3.5288760402707453e-07,3.101133498883968e-07
1860,3.748713676143822e-07,1.8995312700553768e-07
1861,3.2870266553075567e-07,1.792066210981602e-07
1862,3.6189069990699707e-07,1.7484607206519343e-07
1863,3.995696622460798e-07,1.5033808153930295e-07
1864,3.452204173637341e-07,1.4096499967308773e-07
1865,3.8266645119300335e-07,1.5250175300351998e-07
1866,3.824371657135117e-07,1.6786364653853525e-07
1867,3.663872796266787e-07,4.721785700212422e-07
1868,4.5249248004086695e-07,1.7289559517408293e-07
1869,3.8775141508740063e-07,1.6750470466231349e-07
1870,4.157185449216172e-07,1.4048419627599174e-07
1871,3.887350770170883e-07,1.380753076318797e-07
1872,5.049528292166983e-07,1.5844029188638586e-07
1873,5.453249966036466e-07,1.8915774724348466e-07
1874,4.451083851497728e-07,1.648992076219713e-07
1875,3.804815484897972e-07,1.24157139680392e-07
1876,4.885179869518197e-07,2.0072768536216756e-07
1877,3.525345166899285e-07,2.1152071028041064e-07
1878,5.398945350232331e-07,1.497694057661647e-07
1879,4.1909971393305767e-07,1.2585210140692027e-07
1880,4.3577175246056754e-07,1.5723723234550846e-07
1881,4.2741470163143447e-07,1.6385392598294857e-07
1882,4.199548004901743e-07,1.863507890220717e-07
1883,4.069654357952146e-07,1.4344898868756673e-07
1884,3.366865382048445e-07,1.6504242683623715e-07
1885,4.202554444443507e-07,1.682310863948544e-07
1886,4.491610913204269e-07,1.310053221459384e-07
1887,3.3166937818407405e-07,1.55388406142265e-07
1888,4.7237579248182726e-07,1.3885946881231348e-07
1889,3.2265454574798014e-07,1.810624468134847e-07
1890,3.454161583427151e-07,1.2060071397090866e-07
1891,3.5823116739663874e-07,1.6955425752307463e-07
1892,3.2658949455921515e-07,1.7301094601407385e-07
1893,2.7528121826492224e-07,1.5149704823969046e-07
1894,3.610781962315457e-07,1.77073256724114e-07
1895,2.8167116128408054e-07,1.721323699133137e-07
1896,2.954411550959435e-07,1.5921978668842485e-07
1897,3.018237670904256e-07,1.1129022547962109e-07
1898,2.8744442459593955e-07,1.3919553509822435e-07
1899,2.802482299557596e-07,1.2381775249536986e-07
