year,son_DET an_NOUN,son_DET champ_NOUN
1800,1.1947824818392405e-07,1.2765307868534137e-06
1801,1.5715804924099075e-07,1.4096601290702893e-06
1802,1.1860552717735118e-07,1.6582395403474948e-06
1803,1.4042442475492578e-07,1.40034356732599e-06
1804,9.887403673580764e-08,1.9824245001132113e-06
1805,1.7910129024301114e-07,1.5379968765216745e-06
1806,1.0950343032334331e-07,1.3313310951446056e-06
1807,2.021338083579849e-07,1.3323750422955527e-06
1808,1.4049658636494655e-07,1.6882250708505353e-06
1809,9.713831272684104e-08,1.5971345339593768e-06
1810,9.828532210320873e-08,1.8955026632738736e-06
1811,1.3036799018095735e-07,1.2384959333644474e-06
1812,1.0668832839400011e-07,8.908475681579375e-07
1813,8.914798788062228e-08,1.069775919404492e-06
1814,1.2272040805783035e-07,1.0950436557521925e-06
1815,1.7262230644909948e-07,9.575143735673919e-07
1816,1.3442102897442965e-07,1.1286731478321599e-06
1817,1.1053801518556838e-07,1.2128043458403681e-06
1818,1.7762553694566918e-07,1.1039009795155152e-06
1819,1.7079232339511918e-07,1.322864214614583e-06
1820,1.0798497562802822e-07,1.5153496564224156e-06
1821,1.400331290923873e-07,1.2031016005664696e-06
1822,1.1128433641260926e-07,1.159963787245033e-06
1823,1.462637607696493e-07,1.5604762101384395e-06
1824,1.3221146666353434e-07,1.1124289613917426e-06
1825,1.5673689013340208e-07,1.2433285512258863e-06
1826,1.1538459276927426e-07,1.2577801484781048e-06
1827,1.4747636600809244e-07,1.0194303730060028e-06
1828,1.2199160820403065e-07,1.0768281413220393e-06
1829,8.74463982336593e-08,1.1110835771432903e-06
1830,6.053364831615227e-08,1.1313529846290749e-06
1831,7.639690879912564e-08,1.247296495421324e-06
1832,7.71208219507713e-08,1.0810445216780096e-06
1833,1.1583628245492861e-07,1.2672489475562543e-06
1834,1.0641365477681575e-07,1.443118506472274e-06
1835,1.550433026409337e-07,1.3961460041400642e-06
1836,8.468145001883087e-08,1.0927939477767268e-06
1837,9.393152344827627e-08,1.2927761847691954e-06
1838,1.1677499323070606e-07,1.3558523734857886e-06
1839,1.1326189996996305e-07,1.140309551672658e-06
1840,9.427138925044432e-08,1.1682008587143855e-06
1841,6.741575964142044e-08,1.1049763841697313e-06
1842,7.714504635103481e-08,1.373852704489309e-06
1843,7.560846043697111e-08,1.1825636052620325e-06
1844,8.232841669508772e-08,1.2876164543484947e-06
1845,7.812318997268974e-08,1.2728500387026997e-06
1846,6.557041376531458e-08,1.3763933051080812e-06
1847,7.065122886729114e-08,1.3547778241473907e-06
1848,6.75798647598036e-08,1.5615775090793704e-06
1849,6.703532084983976e-08,1.5334329397376223e-06
1850,6.992665557703504e-08,1.3455790597305395e-06
1851,6.384944617465749e-08,1.4543484638807058e-06
1852,6.64075603395986e-08,1.3105728164930497e-06
1853,1.361600512339578e-07,1.297103615627293e-06
1854,8.78067258902604e-08,1.3539901360104523e-06
1855,8.384960636931282e-08,1.2274945078161181e-06
1856,6.885661679723043e-08,1.2533975670692143e-06
1857,6.882927949813933e-08,1.2901828245759361e-06
1858,7.780944633051234e-08,1.2312488699706137e-06
1859,7.027199155906771e-08,1.2735525736218278e-06
1860,6.316513795345813e-08,1.2582678667882874e-06
1861,5.4233584068086316e-08,1.375646572654432e-06
1862,4.9246050931595065e-08,1.272716776412608e-06
1863,6.842630428938179e-08,1.3720223748237004e-06
1864,6.376988459511068e-08,1.3679359014417969e-06
1865,5.64821325821363e-08,1.301913147955247e-06
1866,5.936047775545461e-08,1.4416811140449681e-06
1867,8.589476685472164e-08,1.417991557062237e-06
1868,1.0027944497004171e-07,1.3194403258864895e-06
1869,5.71371735480497e-08,1.3253871031793096e-06
1870,7.511604183108034e-08,1.3652769972338774e-06
1871,7.22240054429335e-08,1.4625361473008525e-06
1872,6.228759585891197e-08,1.372141303690455e-06
1873,5.028243821314504e-08,1.1433268678473496e-06
1874,6.03435516555173e-08,1.053921103277844e-06
1875,6.122034090783046e-08,1.0905230993785153e-06
1876,6.227395332736307e-08,1.2073892001751574e-06
1877,6.061119739442233e-08,1.198617340492092e-06
1878,6.52221585073498e-08,1.6516907521690882e-06
1879,5.254019630474005e-08,1.7594856736025122e-06
1880,6.096953786283166e-08,1.368926636047263e-06
1881,6.414706832380546e-08,1.2292531028634812e-06
1882,6.988154366283084e-08,1.438894287275616e-06
1883,6.192952090033899e-08,1.270819069532081e-06
1884,5.0172896060018957e-08,1.3691919313885137e-06
1885,6.832373844467554e-08,1.3651856853869049e-06
1886,4.0656823463436353e-08,1.683063366897386e-06
1887,5.8760320276185496e-08,1.6381072356352888e-06
1888,7.355113318396889e-08,1.5103344459532764e-06
1889,3.696430755928404e-08,1.7229126001439e-06
1890,4.653614438243636e-08,1.4098485330293897e-06
1891,4.398211705947119e-08,1.5310876158025621e-06
1892,5.955086601616699e-08,1.400385698957507e-06
1893,4.3108915770417866e-08,1.5057328290879468e-06
1894,5.6713853835432815e-08,1.434860536164706e-06
1895,4.333402414680165e-08,1.513681560538771e-06
1896,4.8945341502015793e-08,1.6039918477872561e-06
1897,3.7290966981018414e-08,1.6611959878787275e-06
1898,2.4330925163518202e-08,1.5979194216697579e-06
1899,4.2009595802028343e-08,1.5283753711514692e-06
1900,3.062721309898819e-08,1.5936533088733995e-06
1901,5.58873880507349e-08,1.5827308388338679e-06
1902,3.830021277906326e-08,1.5580330803288689e-06
1903,4.3201761279476614e-08,1.611425780367881e-06
1904,4.245953988402107e-08,1.580139809220782e-06
1905,3.767354206374307e-08,1.59931920507006e-06
1906,3.7552547016428406e-08,1.7248450454587783e-06
1907,5.2457003574257755e-08,1.7254240063380166e-06
1908,4.2729083382653243e-08,1.7779228222991605e-06
1909,4.950885273968808e-08,1.6827509234929039e-06
