year,ton_DET air_NOUN,ton_DET cher_ADJ
1800,6.288328791015374e-08,2.829747991484055e-08
1801,1.0477203105097033e-07,6.191074675143682e-08
1802,6.042168365638645e-08,4.4756802708434407e-08
1803,1.1702035429550506e-07,1.5602713787643552e-08
1804,2.447132398941676e-07,5.9324420931261557e-08
1805,2.1605870870189392e-07,3.1271653710973624e-08
1806,8.068673817973604e-08,2.5935022129885965e-08
1807,1.1103124819555887e-07,7.686778502602465e-08
1808,5.4385774994614167e-08,4.5321478125970316e-08
1809,6.325285362152044e-08,4.9698672066611493e-08
1810,1.8018976355449468e-07,9.828532654410083e-08
1811,1.328750656170996e-07,3.008491944456182e-08
1812,3.7340914360584065e-08,6.134579066952028e-08
1813,1.1215392459185125e-07,4.3136125782439194e-08
1814,8.496027881221835e-08,1.5733386149463513e-08
1815,1.0788894311275499e-07,5.394447111228828e-09
1816,2.0858434979231788e-08,1.622322720606917e-08
1817,1.3233423956648949e-07,3.5808088605371324e-08
1818,8.821671215741844e-08,2.6226590454925258e-08
1819,8.9019032145643e-08,4.34744116262209e-08
1820,1.5663755448258598e-07,5.3399165977907614e-08
1821,8.185035582641831e-08,1.124209649816521e-07
1822,9.524335098376469e-08,5.3135764233047666e-08
1823,9.981513482415494e-08,5.929612001409623e-08
1824,1.6168537086969081e-07,6.400045649002095e-08
1825,7.748789787598298e-08,5.723537976898285e-08
1826,9.776862741617265e-08,5.0205510859768765e-08
1827,5.0695001418965546e-08,3.779082058397165e-08
1828,6.87922590003609e-08,4.953042642696914e-08
1829,4.286588117796697e-08,3.3435386903590825e-08
1830,8.871310530622623e-08,4.0703658221730166e-08
1831,1.0446108422712541e-07,3.2741533706470705e-08
1832,1.1365173968602704e-07,8.794479811058409e-08
1833,1.0541102213323938e-07,7.18184978154568e-08
1834,4.947301412983052e-08,4.013848342587778e-08
1835,9.983276072489389e-08,4.0840674842002045e-08
1836,6.989580292326991e-08,3.5619974081413375e-08
1837,8.001574336446993e-08,5.357575894038291e-08
1838,7.19586488173718e-08,3.66105403770689e-08
1839,7.83045219776568e-08,4.334714465148437e-08
1840,6.624476167615967e-08,2.4204817261619382e-08
1841,7.38363050700741e-08,4.23756203460357e-08
1842,1.1806546673653884e-07,7.446174343783696e-08
1843,9.746403284438543e-08,2.7762481424886687e-08
1844,5.653218004830762e-08,2.5247381185700135e-08
1845,7.756516784418466e-08,2.9017185099178278e-08
1846,6.908311700470904e-08,4.5665111692017035e-08
1847,4.0449176452739266e-08,3.074137477909744e-08
1848,3.378993040925593e-08,2.172209878636977e-08
1849,5.865590324560799e-08,1.759677070722887e-08
1850,3.666057768469955e-08,3.733947906425783e-08
1851,4.385618201929731e-08,3.160224992804217e-08
1852,6.770967475588918e-08,6.575650601803318e-08
1853,4.598387448595531e-08,3.4637204215925976e-08
1854,6.286754050677246e-08,3.169355222709669e-08
1855,3.343370380548549e-08,8.172683507723377e-08
1856,6.678574049345798e-08,4.555926480520611e-08
1857,6.34596157844669e-08,4.295727995540233e-08
1858,6.068158131533608e-08,3.572383544536706e-08
1859,8.096555870196198e-08,5.448625550741326e-08
1860,8.238931359372259e-08,5.2637615599593346e-08
1861,6.177912603710922e-08,5.140400516356891e-08
1862,7.228778375889533e-08,4.6535259229374404e-08
1863,5.6938678327789205e-08,3.196557357698637e-08
1864,6.856460998960756e-08,7.096197685019234e-08
1865,7.76629320853317e-08,6.636650473623718e-08
1866,5.060237295850811e-08,6.17932816027178e-08
1867,5.095451882652924e-08,6.163070409570537e-08
1868,6.421836218351018e-08,8.051995081803653e-08
1869,6.983432232487985e-08,9.181015858672481e-08
1870,4.873941383820579e-08,2.981705371496446e-08
1871,9.134212586303647e-08,5.310588480078593e-08
1872,6.652073003543535e-08,3.326036479567307e-08
1873,5.327544005950813e-08,3.172582241361965e-08
1874,4.779687134970345e-08,3.286034977456609e-08
1875,8.925582317687031e-08,5.721527074342703e-08
1876,6.046014888738682e-08,7.255217493451482e-08
