year,en_ADP hommages_NOUN,en_ADP chômage_NOUN
1800,9.432493897065797e-09,3.458580977167003e-08
1801,1.4287095950749062e-08,7.143547975374531e-09
1802,8.951360541686881e-09,1.5664880947952042e-08
1803,9.751696339321825e-09,3.900678446910888e-09
1804,9.887403784603066e-09,4.943701892301533e-09
1805,3.4114531644036106e-08,1.1371510844071508e-08
1806,2.881669125542885e-09,2.5935023018064385e-08
1807,0.0,1.4234775136401367e-08
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,0.0,4.680253518074551e-09
1811,1.0028307073639553e-08,3.008491944456182e-08
1812,0.0,1.8670457180292033e-08
1813,1.1502966579257645e-08,8.627225156487839e-09
1814,6.293354282149721e-09,4.090680150170556e-08
1815,1.8880564667256294e-08,1.6183340889597275e-08
1816,0.0,4.6352077731626196e-09
1817,4.670620334934483e-09,1.401186100480345e-08
1818,0.0,1.7881765401739358e-08
1819,8.280840124719191e-09,1.6561680027393777e-08
1820,1.4239777357261119e-08,1.779972080839798e-08
1821,1.0847637454958203e-08,2.1695274909916407e-08
1822,8.02049271442229e-09,7.017931125119503e-09
1823,6.917880934764753e-09,6.917880934764753e-09
1824,2.2737005167527968e-08,1.7684335773537896e-08
1825,5.283265824829186e-09,1.8491430608946757e-08
1826,1.4092774947016551e-08,1.4092774947016551e-08
1827,1.8434546111834038e-09,1.3825909306319772e-08
1828,1.1923991571904935e-08,4.586150570418113e-09
1829,1.971830521085849e-08,7.715858174606183e-09
1830,3.1310507520032616e-09,1.2524203008013046e-08
1831,4.677361609140007e-09,3.585977381703742e-08
1832,2.0294953273491956e-08,6.629684889958298e-08
1833,1.2741991461950875e-08,4.170106393530659e-08
1834,4.760610750054184e-08,5.880754372356023e-08
1835,6.806779140333674e-09,1.2100940693926532e-07
1836,9.409050427677812e-09,3.8980349614803345e-08
1837,4.87052354003481e-09,4.5226290268374214e-08
1838,1.7674052665839213e-08,7.953323688525415e-08
1839,4.894032845648155e-09,6.292327725532232e-08
1840,1.46502836528839e-08,7.707323135264232e-08
1841,1.0272877659645019e-08,1.110754865862873e-07
1842,1.0062397137744483e-08,9.659901678560345e-08
1843,8.269675610961258e-09,8.210606239344997e-08
1844,2.3051957731556882e-08,7.903528143060612e-08
1845,2.7343116215661212e-08,7.644912614068744e-08
1846,2.0490753982471688e-08,1.3231172601990693e-07
1847,8.089835468183537e-09,1.1379701980729351e-07
