year,en_ADP eaux_NOUN,en_ADP chaud_NOUN
1800,2.358123420975744e-07,0.0
1801,2.524053570596152e-07,1.1905912700171939e-08
1802,2.5735161557349784e-07,1.3427040812530322e-08
1803,1.1331471370112922e-06,5.851017448321727e-09
1804,4.696516728852629e-07,1.2359254952798437e-08
1805,5.34461003454112e-07,1.1371510844071508e-08
1806,2.7087691023552907e-07,2.5935023018064385e-08
1807,3.074711401040986e-07,3.131650672116848e-08
1808,2.5153420679657756e-07,6.798221985349073e-09
1809,2.710836657371374e-07,6.7770917766551975e-09
1810,3.1825722945910684e-07,1.4040760554223652e-08
1811,3.4096243783920954e-07,0.0
1812,2.667208347517658e-07,0.0
1813,2.0992914051554123e-07,4.026038169513413e-08
1814,2.580275122454623e-07,9.440030979135372e-09
1815,2.5623624266835066e-07,1.0788894222457657e-08
1816,2.062667476820934e-07,4.6352077731626196e-09
1817,2.2107602470899934e-07,3.113746815941454e-09
1818,1.9908365556098317e-07,2.384235386898581e-08
1819,3.3226870055358404e-07,0.0
1820,2.1003671690777992e-07,0.0
1821,2.031466594942799e-07,2.9584463767662328e-09
1822,1.5439448475262907e-07,0.0
1823,1.2649839309375466e-07,7.906149512848515e-09
1824,1.9621192581809055e-07,6.736890156844311e-09
1825,1.787504968486786e-07,7.924898959288385e-09
1826,2.3164999207736514e-07,1.0569580766173203e-08
1827,2.0185828181196186e-07,5.530363722527909e-09
1828,1.751909479708047e-07,3.668920500743411e-09
1829,2.1518671777798204e-07,8.57317605795771e-10
1830,1.8890672803806297e-07,1.3567886369969528e-08
1831,2.7908258548592357e-07,1.5591206548037917e-08
1832,3.368962495642336e-07,6.764984572527055e-09
1833,2.536814502906992e-07,0.0
1834,1.7455573142477476e-07,0.0
1835,2.2008586597621616e-07,6.806779140333674e-09
1836,1.854926970912274e-07,4.704525213838906e-09
1837,1.8507989274496595e-07,4.87052354003481e-09
1838,2.057764847407384e-07,1.8936485712828244e-09
1839,2.551888466095775e-07,0.0
1840,1.0828470919932442e-07,3.821813088222825e-09
1841,1.8491180320268086e-07,1.2841097074556274e-09
1842,1.677066228111812e-07,0.0
1843,2.0615119794564762e-07,0.0
1844,1.9374621373913214e-07,0.0
1845,1.696389348992966e-07,5.580227946389016e-10
1846,2.1603110056389596e-07,5.854501328173001e-10
1847,1.526282265018608e-07,0.0
1848,3.07327463255902e-07,0.0
1849,2.1618890544417013e-07,8.379414939696517e-10
1850,1.5003680609027015e-07,0.0
1851,2.347595637886002e-07,3.2247193804124663e-09
1852,2.8841716326333255e-07,0.0
