year,aucun_DET an_NOUN,aucun_DET champ_NOUN
1800,3.144164484325529e-09,4.4018303668735825e-08
1801,1.4287095950749062e-08,1.904946067554647e-08
1802,0.0,2.0140561218795483e-08
1803,1.950339223455444e-09,2.3404071125554538e-08
1804,0.0,4.696516775481996e-08
1805,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,6.627838899930794e-08
1807,0.0,1.99286853685976e-08
1808,9.064295980465431e-09,6.798221985349073e-09
1809,0.0,2.0331274441787173e-08
1810,9.360507036149102e-09,3.510190182964834e-08
1811,0.0,4.7634459932055506e-08
1812,0.0,5.601137331723294e-08
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,2.5173417128598885e-08
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,0.0,1.8540831092650478e-08
1817,3.113746815941454e-09,2.0239354414641753e-08
1818,2.384235475716423e-09,9.536941902865692e-09
1819,2.070210003424222e-09,1.4491470468058765e-08
1820,0.0,3.678609061807947e-08
1821,1.97229765852569e-09,3.8459806006585495e-08
1822,3.0076847679083585e-09,4.511527151862538e-08
1823,8.894418535021487e-09,1.7788837070042973e-08
1824,0.0,4.8000342367515714e-08
1825,7.044354211060977e-09,1.1447076175841175e-08
1826,6.1655889282974385e-09,1.1450379200361738e-08
1827,0.0,2.2121454890111636e-08
1828,9.172301251858528e-10,1.559291185060374e-08
1829,1.714635211591542e-09,3.6864655328372464e-08
1830,1.0436835840010872e-09,1.3567886369969528e-08
1831,3.1182412207897414e-09,2.9623292263636358e-08
1832,5.411987746839486e-09,3.3824924194902906e-08
1833,1.1583628500844156e-09,4.749287763061716e-08
1834,0.0,1.213489042584115e-08
1835,9.832014313815307e-09,4.235329242874286e-08
1836,1.3441500135158435e-09,1.1425274948351216e-08
1837,0.0,2.7831564608504777e-08
1838,1.8936485712828244e-09,2.0830134062066463e-08
1839,6.9914751765765e-10,3.355908262392404e-08
1840,7.0066574764382494e-09,2.6115723805730795e-08
1841,0.0,3.274479709602929e-08
