year,en_ADP air_NOUN,en_ADP chairs_NOUN
1800,9.023752340908686e-07,0.0
1801,4.4528114284680953e-07,0.0
1802,2.506380951672327e-07,2.2378401354217203e-08
1803,4.5442902552039754e-07,7.801356893821776e-09
1804,3.8808059343864443e-07,7.4155526164076946e-09
1805,2.7575912708854844e-07,1.9900143755080535e-08
1806,3.7749865100522584e-07,3.458002950651462e-08
1807,2.0498076924724273e-07,8.540865792383556e-09
1808,2.062127402169267e-07,4.078933102391602e-08
1809,2.4397530085096264e-07,2.710836710662079e-08
1810,1.7550951270095538e-07,1.1700633351097167e-08
1811,2.0808736911348547e-07,0.0
1812,1.3869483117545656e-07,0.0
1813,2.0992913585260453e-07,0.0
1814,1.3530711839848664e-07,0.0
1815,2.8320846801044297e-07,0.0
1816,1.7150268938337376e-07,1.622322720606917e-08
1817,1.3077736582545185e-07,0.0
1818,2.2888661255215936e-07,1.1921177378582115e-09
1819,1.3870406800897683e-07,4.0369094733705424e-08
1820,1.8511710120350244e-07,1.542642635854463e-08
1821,8.776724769177235e-08,1.97229765852569e-09
1822,1.0426640528748976e-07,4.010246357211145e-09
1823,9.586206450862278e-08,9.882686891060644e-10
1824,1.4905369027928828e-07,0.0
1825,1.1270966804310945e-07,1.0566531649658373e-08
1826,9.776862741617265e-08,6.1655889282974385e-09
1827,1.6222400611720644e-07,1.013900075008678e-08
1828,1.4033620721054518e-07,6.420610709767516e-09
1829,1.3717081515096652e-07,3.429270423183084e-09
1830,1.8786305133744463e-07,2.2961039292113128e-08
1831,1.7306238930814288e-07,1.5591206103948707e-09
1832,1.1094574858816486e-07,1.3529969367098715e-09
1833,1.4247862734073635e-07,4.6334514003376626e-09
1834,1.474855890748472e-07,9.334531370086552e-09
1835,1.1722786297241328e-07,2.571449897459388e-08
1836,1.9624590608113834e-07,8.064899859050456e-09
1837,9.253994626146067e-08,6.262101948095733e-09
1838,1.7484688585867048e-07,3.787297142565649e-09
1839,1.3143973565110656e-07,2.7965900706306e-09
1840,1.1720227499623093e-07,7.64362617644565e-09
1841,1.4703056194775854e-07,2.5682194149112547e-09
1842,1.1739464067517247e-07,0.0
1843,1.9729083622355148e-07,1.8311423488626133e-08
1844,1.5203314940315238e-07,1.0977122322231025e-08
1845,1.9419193170167048e-07,5.580227946389016e-10
1846,1.0362467706137579e-07,5.269050973311096e-09
1847,9.977463566457345e-08,1.5640349459999925e-08
1848,7.562508130831702e-08,0.0
1849,4.776266493422554e-08,0.0
1850,1.0726613819400654e-07,2.5798184921654865e-08
1851,9.28719168236114e-08,1.9348316282474798e-09
1852,1.295598495154593e-07,7.812654523320361e-09
1853,1.8632426690423642e-07,4.777545470346922e-09
1854,1.5327209934579145e-07,5.195664343204953e-09
1855,1.645150575768639e-07,3.714855978387277e-09
1856,1.0457922500206607e-07,4.141751386299575e-09
1857,1.649950125415245e-07,2.9289055625270066e-09
1858,1.1793758891709416e-07,3.9149408159744326e-09
1859,9.522363986214089e-08,8.656694916453489e-09
1860,2.2016254042078742e-07,9.612086238064421e-09
1861,1.787350306092783e-07,2.8295783494058924e-09
1862,2.466820419877447e-07,9.939570055905733e-09
1863,1.4883970733681195e-07,2.4973103585068657e-09
1864,9.829192038068868e-08,1.4384183844029508e-09
1865,8.425251213362017e-08,7.0602665935837194e-09
1866,1.7954111974916032e-07,1.4596839292835284e-09
1867,1.465549051005155e-07,6.79393608038481e-09
1868,1.1262912769094413e-07,2.9639244392143382e-09
1869,1.3771524309813543e-07,4.883519144627257e-10
1870,1.2614906896857292e-07,9.17447806614291e-09
1871,1.115223595693493e-07,4.248470908407853e-09
1872,1.5420715726577328e-07,1.6327815544059376e-08
1873,7.302925214558442e-08,1.1972008939764578e-09
1874,1.69081439682639e-07,7.766991494406739e-09
1875,1.0241533254795598e-07,0.0
1876,1.6566080840441089e-07,4.232210137899983e-09
1877,1.0699732011509866e-07,1.2369631985365004e-09
1878,1.6547102504871347e-07,7.2469061862534545e-09
1879,6.659164597522249e-08,4.887460214320072e-09
1880,1.1167052460514526e-07,8.343199908722454e-09
1881,1.1713813058422673e-07,1.3945015142624584e-09
1882,1.0715170062347568e-07,1.3976308999019693e-08
1883,1.131161653233903e-07,6.951272890631799e-09
1884,1.7296446674919252e-07,5.941527270181268e-09
1885,1.4180398011376383e-07,4.511945039809007e-09
1886,1.0906354014350583e-07,3.872078213618124e-09
1887,8.161155939934162e-08,1.9586774424595887e-09
1888,1.0715638998348709e-07,9.510921827882157e-09
1889,8.645888804892365e-08,1.8795409673089125e-09
1890,1.7238036653655087e-07,5.898947996740844e-09
1891,2.42220368873447e-07,2.5496880162734215e-09
1892,1.1847488301519604e-07,6.268512375839919e-09
1893,1.422594238520425e-07,2.463366621796581e-09
1894,1.9282710761459043e-07,6.9316934414587195e-09
1895,1.0352017021375559e-07,3.611168697403855e-09
1896,7.194375445385148e-08,6.486732040400511e-09
1897,1.1070755412401212e-07,5.826713556089658e-10
1898,1.9181822974445595e-07,6.7900258748920805e-09
1899,1.0060192678906787e-07,7.185851913504848e-09
1900,1.3496738171525635e-07,1.0901211489056095e-08
1901,1.279821263411307e-07,5.588738916095792e-10
1902,2.533706344731712e-07,2.9461704187383475e-09
1903,1.3608554705335507e-07,4.860198465905796e-09
1904,1.4135264425618743e-07,4.299700151477737e-09
1905,1.475977098319703e-07,7.2250627702885595e-09
1906,2.052529679552606e-07,4.115347618238729e-09
1907,2.2062798410438234e-07,0.0
1908,2.3329098763902323e-07,6.384805573134145e-09
1909,3.15206349466024e-07,4.400786846048277e-09
1910,3.6340225884057276e-07,6.947395991829808e-09
1911,3.9902805815117404e-07,6.916486494645824e-09
1912,4.625965921434272e-07,3.646594803896619e-09
