year,un_DET ange_NOUN,un_DET change_NOUN
1800,3.6535190304221032e-06,1.5406406683737828e-07
1801,3.683689536515544e-06,3.095537479680388e-07
1802,3.477603684132191e-06,1.2308120744819462e-07
1803,3.3428813281943803e-06,1.6772916811014227e-07
1804,4.397422799229389e-06,9.887404028852131e-08
1805,6.314031566034828e-06,1.194008660831969e-07
1806,4.6221973448723475e-06,1.873084869430386e-07
1807,3.897481448689177e-06,1.0533733751927343e-07
1808,6.82768111914811e-06,2.0847880310981282e-07
1809,3.876496371901794e-06,1.287647413139581e-07
1810,4.8698038455086134e-06,9.594519667643908e-08
1811,4.582936242059077e-06,1.178326058948187e-07
1812,4.0354860288971395e-06,1.226915742336132e-07
1813,4.929021077515472e-06,1.552900528167811e-07
1814,3.675318936302574e-06,5.349351184236184e-08
1815,4.256218758769137e-06,1.564389611186101e-07
1816,4.9364963814468865e-06,1.5296185829072328e-07
1817,4.465112887430678e-06,1.6035796424063165e-07
1818,4.829269148132198e-06,7.033494853203592e-08
1819,4.4985664544583415e-06,9.005413714735511e-08
1820,4.255320092738657e-06,1.4595771347103437e-07
1821,4.974134512281125e-06,9.467028938558997e-08
1822,4.308007163444927e-06,8.922798144794797e-08
1823,4.549000834686012e-06,8.894418357385803e-08
1824,4.023607619529912e-06,1.1452713177817486e-07
1825,5.798384044908289e-06,8.012953500724507e-08
1826,3.591895925580957e-06,1.3740455073740776e-07
1827,3.084099660100037e-06,1.5577190859428214e-07
1828,4.194493428144597e-06,9.997808092521154e-08
1829,4.1142672451144335e-06,1.5260253860560624e-07
1830,4.342767507381495e-06,8.871310086533413e-08
1831,4.491826448571601e-06,7.483778574624012e-08
1832,5.3686917311779325e-06,1.3124069919712156e-07
1833,4.733070664286743e-06,1.2510318470049242e-07
1834,5.065849702390324e-06,1.5495321648018034e-07
1835,5.453742581096321e-06,7.714349692378164e-08
1836,6.0258246588063e-06,8.199315137957797e-08
1837,5.01942258068766e-06,9.810625867245903e-08
1838,5.476431653050895e-06,7.195864371034588e-08
1839,4.52698032660237e-06,1.6290136750640727e-07
1840,4.700193247941797e-06,2.178433491373255e-07
1841,5.4465515191282066e-06,9.95185014396327e-08
1842,5.437719625689397e-06,8.117000360741145e-08
1843,6.515913558047259e-06,1.2168237284448935e-07
1844,6.457292233363887e-06,9.330554395781121e-08
1845,6.744263384206306e-06,8.649353011591643e-08
1846,6.055310748820375e-06,1.3933712894598216e-07
1847,4.225590814144198e-06,1.9145944474274756e-07
1848,5.023436550288807e-06,1.6975417643783075e-07
1849,4.270149908336407e-06,1.8434713133785863e-07
1850,6.263527579264405e-06,1.4189002062181544e-07
1851,5.041526129900831e-06,1.631708057558967e-07
1852,6.24882166100349e-06,1.0547083562073567e-07
1853,6.0435949436055125e-06,9.017616964257513e-08
1854,6.483669814372206e-06,7.221973286064554e-08
1855,7.998615757287553e-06,9.499417785718833e-08
1856,6.774352069527367e-06,1.0716782017361481e-07
1857,6.753079720311916e-06,1.235021731549324e-07
1858,5.9477738698632265e-06,1.1695885671070272e-07
1859,6.408500205168366e-06,1.0133425076830349e-07
1860,7.2127262065180275e-06,7.8727562469183e-08
1861,6.148673453054698e-06,1.60342768396049e-07
1862,6.118708990143773e-06,1.6309930206404033e-07
1863,6.289226536893011e-06,1.0638542224938874e-07
1864,6.828651592627466e-06,1.5007497866648123e-07
1865,6.16173001333209e-06,2.094545745734422e-07
1866,6.190519300730557e-06,1.479146396476949e-07
1867,6.4149316720829574e-06,1.994505574032246e-07
1868,5.3306181175827305e-06,2.0698072411562407e-07
1869,6.6157034339653364e-06,1.870387810187779e-07
1870,5.620514404114374e-06,2.4197684478366455e-07
1871,3.9563885732007975e-06,1.3595106751473907e-07
1872,4.753813540148144e-06,1.5723082025242974e-07
1873,4.727746333088589e-06,1.2750188904675497e-07
1874,4.997760534308782e-06,1.3323378134089126e-07
1875,5.178554133067337e-06,1.4361033606746787e-07
1876,5.27272949568669e-06,1.614285891626821e-07
1877,4.954037670756861e-06,1.3606594639892222e-07
1878,4.8524078977152385e-06,1.600358530140511e-07
1879,4.875241691237875e-06,1.3073956650622165e-07
1880,4.616998470652334e-06,1.238644395940014e-07
1881,4.268569069765249e-06,1.4293640027140952e-07
1882,4.849779108084817e-06,1.1646923780972429e-07
1883,4.0178357725295655e-06,1.2069937693759414e-07
1884,4.029675903183261e-06,1.3071360083216632e-07
1885,3.57088217040058e-06,1.1731057036890036e-07
1886,4.409651904069278e-06,1.0325542376676822e-07
1887,4.128892019394925e-06,1.038099044503582e-07
1888,4.7041018689242264e-06,1.11594815166427e-07
1889,3.929493834320397e-06,7.706117965966541e-08
1890,4.020460631082301e-06,1.2977685620585433e-07
1891,3.881262500726734e-06,1.2365986168383358e-07
1892,3.830060997245255e-06,1.31011913317991e-07
1893,3.15803599626463e-06,1.459544736182039e-07
1894,3.204332625017514e-06,1.9093664338498684e-07
1895,3.321071442741186e-06,2.1667012317649892e-07
1896,3.291131905669431e-06,1.6157859050736079e-07
1897,3.1464253869017966e-06,1.631479833452687e-07
1898,3.1511378164594817e-06,2.0143743695300032e-07
1899,3.5951368886344426e-06,1.779880207664064e-07
1900,3.3243504233837484e-06,1.7909133109839104e-07
1901,3.914911530955578e-06,1.1401027688595633e-07
1902,3.060088806350336e-06,1.4338029147298315e-07
1903,3.0095428336096575e-06,1.4634597356177892e-07
1904,2.866287642788734e-06,1.435024898910342e-07
1905,3.4592568383118305e-06,2.2913769592847189e-07
1906,2.9800260605838957e-06,1.733590222485759e-07
1907,3.228162658075462e-06,1.90799490595861e-07
1908,3.2336585356063097e-06,1.6502267863316433e-07
1909,3.3456982713175876e-06,1.2872302157518334e-07
1910,3.47476678541625e-06,1.7154723130907712e-07
1911,3.260857351250479e-06,1.4471418152695037e-07
1912,3.51844302315385e-06,1.8441351379294701e-07
1913,3.1213398301588313e-06,1.2462025988924097e-07
1914,2.9639786873758567e-06,1.3862259007346722e-07
1915,1.811881160662665e-06,2.438617838773638e-07
1916,2.270009686888841e-06,3.746724663855616e-07
1917,2.3117222358592926e-06,2.9170687909640947e-07
1918,2.1123445996806822e-06,2.8141622543387257e-07
1919,2.5993755894404558e-06,3.139876314506296e-07
1920,2.8903207649477736e-06,5.694318065962989e-07
1921,2.7860136917468026e-06,6.073343676860077e-07
1922,3.022002289299053e-06,5.356381294063794e-07
1923,3.0117445106725427e-06,3.1423206614533683e-07
1924,3.444642127092834e-06,3.622546598247567e-07
1925,4.100120694516818e-06,3.596404258843222e-07
1926,3.3393831486705494e-06,3.2546725048376857e-07
1927,3.943480816559486e-06,2.3413372884917294e-07
1928,3.2518513108925617e-06,1.713906189193537e-07
1929,3.51702622580774e-06,1.6264993862868948e-07
1930,3.1668365352288674e-06,1.365468526026703e-07
1931,2.738426253756643e-06,1.893289232057782e-07
1932,2.9766101885542184e-06,1.6329709873197373e-07
1933,2.6336639979973597e-06,1.5829514010690104e-07
1934,2.6575144378426785e-06,1.341936908261232e-07
1935,3.1392809844987823e-06,1.7234329163784423e-07
1936,3.008141680638232e-06,1.1760973261942809e-07
1937,2.2739558485085354e-06,1.133200659975131e-07
1938,3.0118192304584568e-06,1.270590981317099e-07
1939,2.462342006737117e-06,1.4835229311671583e-07
1940,3.020117424590296e-06,9.128818390102822e-08
1941,2.7242368965119113e-06,1.4167212514237804e-07
1942,3.580369771327696e-06,7.282108072104165e-08
1943,3.414204515550523e-06,6.967764676346633e-08
1944,3.2163994134748464e-06,1.4138019288623127e-07
1945,3.169723310492145e-06,1.0021118557190789e-07
1946,3.505334163378393e-06,1.3642682006320683e-07
1947,3.827791619670506e-06,1.120561872181014e-07
1948,3.218078687083903e-06,1.5220643589941574e-07
1949,2.862639679079848e-06,1.0013348772375252e-07
1950,3.3416306735034595e-06,1.9143651286412933e-07
1951,2.923356456463466e-06,7.889437370067753e-08
1952,3.1623867506880288e-06,1.6344446751581643e-07
1953,2.820588036911431e-06,1.971610461559692e-07
1954,3.6031340471254225e-06,1.4365628131507435e-07
1955,3.123530341042624e-06,1.0981161135958928e-07
1956,3.604447719851578e-06,6.88970183126969e-08
1957,2.7927553958306817e-06,8.7466875742237e-08
1958,3.4255360574775295e-06,9.099467801476635e-08
1959,3.013490847081357e-06,9.533419653706687e-08
1960,3.1635129715823496e-06,7.197666773706146e-08
1961,3.22950450382109e-06,1.1672907307413993e-07
1962,2.8951031332269395e-06,8.688480557239586e-08
1963,3.2233275888415847e-06,7.241979371741536e-08
1964,3.578590106911861e-06,6.814044239966677e-08
1965,3.186917973962977e-06,6.840054078693925e-08
1966,3.233711854733201e-06,8.419393360270533e-08
1967,3.5424461124478057e-06,1.1043951841926969e-07
1968,3.0865009019720446e-06,7.904891918819601e-08
1969,2.6219567423879653e-06,1.112730665386863e-07
1970,2.687954888003219e-06,8.875539014852052e-08
1971,2.9093607274432998e-06,7.604828544671705e-08
1972,2.9057152968192668e-06,5.745764464215597e-08
1973,2.98925903408076e-06,9.427578806509018e-08
1974,2.1512186094696517e-06,1.0463563548945842e-07
1975,2.1240995415894304e-06,8.510105464765161e-08
1976,2.4013953030532775e-06,8.456019517932845e-08
1977,2.4465043377830398e-06,8.873940560150118e-08
1978,2.7861373252946464e-06,1.1108905972889715e-07
1979,2.708293334485745e-06,7.19792709880096e-08
1980,2.394585592924159e-06,8.925686589833504e-08
1981,2.602331170109551e-06,8.286469599383395e-08
1982,2.5897698474608433e-06,6.952402475945973e-08
1983,2.5337048752405167e-06,9.978199599913751e-08
1984,2.804980407944413e-06,1.020625486347626e-07
1985,2.534354663907834e-06,7.880380925584518e-08
1986,2.5800265568420855e-06,1.3967151302196612e-07
