year,en_ADP eaux_NOUN,en_ADP chaux_NOUN
1800,2.358123420975744e-07,1.028141809911176e-06
1801,2.524053570596152e-07,1.9382825939828763e-06
1802,2.5735161557349784e-07,6.243574262043694e-07
1803,1.1331471370112922e-06,5.63648029583419e-07
1804,4.696516728852629e-07,5.586383053923782e-07
1805,5.34461003454112e-07,3.155594185955124e-07
1806,2.7087691023552907e-07,2.4782355012575863e-07
1807,3.074711401040986e-07,5.608501396636711e-07
1808,2.5153420679657756e-07,9.562832019582856e-07
1809,2.710836657371374e-07,6.415646680579812e-07
1810,3.1825722945910684e-07,3.931413061764033e-07
1811,3.4096243783920954e-07,4.813587111129891e-07
1812,2.667208347517658e-07,6.534660315082874e-07
1813,2.0992914051554123e-07,1.9555042740648787e-07
1814,2.580275122454623e-07,1.9194730782601255e-07
1815,2.5623624266835066e-07,1.8880564311984926e-07
1816,2.062667476820934e-07,3.3605255111979204e-07
1817,2.2107602470899934e-07,5.978394028716139e-07
1818,1.9908365556098317e-07,6.091721616030554e-07
1819,3.3226870055358404e-07,2.0288058522055508e-07
1820,2.1003671690777992e-07,2.1003671690777992e-07
1821,2.031466594942799e-07,4.0432101400256215e-07
1822,1.5439448475262907e-07,3.32850447648525e-07
1823,1.2649839309375466e-07,3.3897615026035055e-07
1824,1.9621192581809055e-07,4.00002846845382e-07
1825,1.787504968486786e-07,3.812756972365605e-07
1826,2.3164999207736514e-07,2.3429238638073002e-07
1827,2.0185828181196186e-07,5.7607957160144e-07
1828,1.751909479708047e-07,5.640965241582307e-07
1829,2.1518671777798204e-07,5.709734978154302e-07
1830,1.8890672803806297e-07,5.541959922084061e-07
1831,2.7908258548592357e-07,2.011265536339124e-07
1832,3.368962495642336e-07,3.6395618963069865e-07
1833,2.536814502906992e-07,5.641227289743256e-07
1834,1.7455573142477476e-07,3.7524813478739816e-07
1835,2.2008586597621616e-07,5.052143023931421e-07
1836,1.854926970912274e-07,4.1870274003485974e-07
1837,1.8507989274496595e-07,2.699661649785412e-07
1838,2.057764847407384e-07,4.879300945503928e-07
1839,2.551888466095775e-07,5.040853352511476e-07
1840,1.0828470919932442e-07,2.828141703048459e-07
1841,1.8491180320268086e-07,3.7881235925851797e-07
1842,1.677066228111812e-07,2.119811739476063e-07
1843,2.0615119794564762e-07,2.398205936060549e-07
1844,1.9374621373913214e-07,3.4468163789824757e-07
1845,1.696389348992966e-07,2.5222630029020365e-07
1846,2.1603110056389596e-07,3.2375393743677705e-07
1847,1.526282265018608e-07,2.831442316164612e-07
1848,3.07327463255902e-07,3.966294173096685e-07
1849,2.1618890544417013e-07,3.5528719877220283e-07
1850,1.5003680609027015e-07,4.6979852186268545e-07
1851,2.347595637886002e-07,2.9344946028686536e-07
1852,2.8841716326333255e-07,3.16412496204066e-07
1853,2.3589130093704114e-07,3.863839879159059e-07
1854,2.202961661978975e-07,5.460643137666921e-07
1855,1.9529528572093113e-07,3.8846781080792425e-07
1856,1.7602443536102186e-07,3.44283080266905e-07
1857,1.7768692828212806e-07,2.9435500437102746e-07
1858,1.1842696068242731e-07,5.309638595463184e-07
1859,2.1896344959415615e-07,5.306044386088615e-07
1860,2.2657060874675672e-07,4.549720813429303e-07
1861,2.0090005414807877e-07,6.234504326130264e-07
1862,2.177669320979625e-07,3.212288106624328e-07
1863,2.062778469147375e-07,2.8719068723148666e-07
1864,2.1624223289773425e-07,4.0419556057713635e-07
1865,1.8968582082834473e-07,3.44070315350109e-07
1866,1.965707678852624e-07,3.5762255379268026e-07
1867,2.406994568104892e-07,3.4115265634682146e-07
1868,2.7317504580626206e-07,3.324535384763294e-07
1869,1.982708842662717e-07,3.242656703150715e-07
