year,ancien_ADJ chantier_NOUN
1916,0.0
1917,1.0966424435210342e-09
1918,1.2635013924011673e-08
1919,9.207848705727883e-09
1920,7.572231730534895e-10
1921,6.815472630705699e-09
1922,1.8444839433584548e-08
1923,1.1677542932631013e-08
1924,5.156649773851996e-09
1925,6.598906754362588e-09
1926,6.687683185013782e-09
1927,3.3447675740205796e-09
1928,2.6279894704828166e-08
1929,2.2280812750352652e-09
1930,9.453243521306831e-09
1931,3.4216069977333063e-09
1932,8.767629289252454e-09
1933,1.0323596200123575e-08
1934,4.7926320689839486e-09
1935,3.590485242455088e-09
1936,3.6374143697059935e-09
1937,2.5182236296217297e-09
1938,6.482607339819424e-09
1939,1.5294050470515685e-08
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,2.730790527039062e-08
1943,2.0322646676618206e-08
1944,5.1410978585408884e-08
1945,1.742803235060819e-08
1946,6.960552134671616e-09
1947,2.3841741914054637e-09
1948,1.4133454628861841e-08
1949,1.0798709482173763e-08
1950,5.317680518146517e-09
1951,8.529121631184466e-09
1952,1.5817205323287453e-08
1953,1.723812381726475e-08
1954,8.795282502305213e-09
1955,1.0324168187025862e-08
1956,8.72114114258693e-09
1957,3.534015080575159e-09
1958,9.099467845885556e-09
1959,8.525822714489095e-09
1960,9.689166802218097e-09
1961,9.03260666262895e-09
1962,1.1415521528057582e-08
1963,1.1638896069143811e-08
1964,1.3993127434552832e-08
1965,1.4774517609339455e-08
1966,1.440159436150168e-08
1967,8.381570437698826e-09
1968,9.431973424511852e-09
1969,1.8167031379245913e-08
1970,1.6555409487750694e-08
1971,1.644287195290417e-08
1972,1.128632298730281e-08
1973,1.1577728109557484e-08
1974,2.475251581479654e-08
1975,1.1994107929069742e-08
1976,1.4855169483407593e-08
1977,1.2341241473201592e-08
1978,1.6039596317796168e-08
1979,9.948355028654987e-09
1980,1.3075846183596695e-08
1981,1.0753434587229549e-08
1982,9.932003663948308e-09
1983,8.209910973278056e-09
1984,7.538710988796993e-09
1985,6.617113967877231e-09
1986,8.392279760016663e-09
1987,1.099947066762752e-08
1988,1.2592763276586538e-08
1989,7.683371161526509e-09
1990,1.2531897297662908e-08
1991,8.7921980806982e-09
1992,3.250866953408149e-08
1993,9.416652624327781e-09
1994,1.160483886764041e-08
1995,9.21816667442954e-09
1996,7.473328622609188e-09
1997,1.054876808126437e-08
1998,1.0489884516573511e-08
1999,1.1425503126938352e-08
2000,7.952456693161025e-09
2001,8.324302136486494e-09
2002,1.0076809331405201e-08
2003,1.916784508892988e-08
2004,1.5857249208162116e-08
2005,1.170974872621855e-08
2006,1.0294725072412803e-08
2007,7.589511158423434e-09
2008,3.576249180126112e-08
2009,1.2874119770245329e-08
2010,1.1809483002611643e-08
2011,1.3383901958929911e-08
2012,1.2595734733000796e-08
2013,2.8170163091090217e-08
2014,1.4725026933892771e-08
2015,2.19440964982498e-08
2016,2.0920535193091894e-08
2017,2.1885819379008353e-08
2018,1.6779532929778185e-08
2019,2.423438433263314e-08
