year,un_DET are_NOUN,un_DET char_NOUN
1800,2.3266816917555388e-07,2.656818921309423e-06
1801,1.9287579511306774e-07,3.1764974863790485e-06
1802,2.215461734067503e-07,3.889366013254403e-06
1803,2.788984960755414e-07,3.231712025097977e-06
1804,1.7797326279378467e-07,3.6237335621081e-06
1805,7.675769686521505e-08,3.0248219928807885e-06
1806,1.2391176706927354e-07,3.7461698312313274e-06
1807,9.679647661187119e-08,2.4796979403163277e-06
1808,1.6768947030953996e-07,4.142383161820362e-06
1809,8.132509665692567e-08,3.1332753813728687e-06
1810,7.254393041833396e-08,3.898651264933051e-06
1811,1.2033968266322859e-07,4.026365367337803e-06
1812,9.601949502169305e-08,2.7578932133565104e-06
1813,1.6966876126289776e-07,3.097173745914006e-06
1814,7.237357690925705e-08,2.306514332417464e-06
1815,9.170560133497929e-08,2.0876511328538072e-06
1816,9.965696534663948e-08,1.6825803896836078e-06
1817,1.0275364747958093e-07,2.8335096118325964e-06
1818,7.867977047659735e-08,2.636964474334036e-06
1819,4.761483052284632e-08,2.98627793426931e-06
1820,5.814575754214957e-08,3.1707238434819374e-06
1821,5.522433432769702e-08,3.2039976254338853e-06
1822,4.210758675071702e-08,2.470311713409501e-06
1823,4.051901758561627e-08,2.2404050952218313e-06
1824,5.3895122142932905e-08,2.45138581789206e-06
1825,4.6668849673636714e-08,2.743776057911873e-06
1826,8.631824399696342e-08,2.5137986305878712e-06
1827,7.558163994669798e-08,1.9522184118159203e-06
1828,6.879225594724758e-08,2.1848421880577007e-06
1829,4.372319883927389e-08,2.3902015815480127e-06
1830,8.975679155476257e-08,2.331589133319767e-06
1831,4.2096254482260065e-08,1.919277483608539e-06
1832,1.3259370146290195e-07,2.473278463810402e-06
1833,8.571884757557768e-08,2.7209943951334026e-06
1834,7.747660801804557e-08,2.812494251713815e-06
1835,7.109302657681837e-08,2.5238023440010693e-06
1836,9.677879853065008e-08,2.31865872990511e-06
1837,7.86241648453867e-08,2.2995828530270046e-06
1838,6.690891618532646e-08,2.451643613454735e-06
1839,8.45968473051073e-08,2.007252625446654e-06
1840,7.771020305025189e-08,2.2325758948227303e-06
