year,mon_DET an_NOUN,mon_DET chant_NOUN
1800,1.8864986461863964e-08,8.803660600520402e-08
1801,1.6668278313147766e-08,5.2386015525485163e-08
1802,1.3427040812530322e-08,6.042168365638645e-08
1803,4.290746247193056e-08,4.4857802805609026e-08
1804,7.4155528384522995e-09,7.909923094295834e-08
1805,1.1371510844071508e-08,3.1271654599152043e-08
1806,1.152667650217154e-08,3.1698360380971735e-08
1807,2.562259604488304e-08,3.98573707371952e-08
1808,1.5862517521725295e-08,8.83768831450027e-08
1809,1.129515236897305e-08,4.0662548883574345e-08
1810,2.3401267590372754e-09,1.1934646382272263e-07
1811,1.7549537378869218e-08,5.515568801683912e-08
1812,1.0668832928217853e-08,6.934741314523762e-08
1813,1.4378708224072057e-08,6.614205716459765e-08
1814,2.5173417128598885e-08,4.090680105761635e-08
1815,3.236668266737297e-08,4.5852800667489646e-08
1816,1.1588019432906549e-08,3.499581975319188e-07
1817,4.670620334934483e-09,1.7592669188104537e-07
1818,1.4305412632253933e-08,7.271917934481564e-08
1819,6.210630232317271e-09,9.522965704888975e-08
1820,2.254631414899677e-08,6.051905376835975e-08
1821,2.7612166775270452e-08,7.691961001476955e-08
1822,7.017931125119503e-09,5.6143449000956025e-08
1823,5.929612023614084e-09,5.5343045701761184e-08
1824,1.1789557774477544e-08,4.968456313036995e-08
1825,1.8491430164857547e-08,1.276789214355034e-07
1826,1.0569581432307018e-08,2.9947146984454776e-08
1827,3.6869092223668076e-09,3.963427408493203e-08
1828,1.0089531266022078e-08,5.319934714975716e-08
1829,1.5431717126368483e-08,5.3153690893203986e-08
1830,1.8786305178153384e-08,1.0854309251406846e-07
1831,7.795602829929749e-09,4.0537136092311243e-08
1832,1.894195755802741e-08,3.6530917402188834e-08
1833,1.3900354645102198e-08,6.950176878461889e-08
1834,1.0267984462686286e-08,5.974099881456141e-08
1835,1.5126175867408165e-08,7.411826175030001e-08
1836,1.6129799718100912e-08,8.87138975613766e-08
1837,3.478945576063097e-09,9.53231023004264e-08
1838,3.1560809521380406e-09,9.973215497893761e-08
1839,2.9364194964465185e-08,7.830452553037048e-08
1840,9.554533331179726e-09,8.08950490482907e-08
1841,2.0545755763379248e-08,1.3483152194737613e-07
1842,1.0062398025922903e-08,1.1806546673653884e-07
1843,2.953455535692484e-09,1.0868716199263773e-07
1844,4.939705144924034e-09,6.037417366044906e-08
1845,8.370341586516616e-09,7.477505126196604e-08
1846,1.0538102390711401e-08,1.2587177544709505e-07
1847,4.853901280910122e-09,5.662884827728476e-08
1848,1.3676876908785829e-08,3.7812542208470745e-08
1849,1.6758829879393033e-09,5.5304140156309245e-08
1850,8.146795238417326e-09,8.011015406594879e-08
1851,7.094382858952031e-09,9.351686003356008e-08
1852,1.2370036328590572e-08,5.6641744183849596e-08
1853,1.4332636411040767e-08,1.1346670447665019e-07
1854,1.1950028522278444e-08,7.014147129780213e-08
1855,1.3798036491152743e-08,1.209981661531856e-07
1856,1.7602442614617075e-08,9.940203415936821e-08
1857,9.763018116171196e-09,1.2106142222023664e-07
1858,1.2723557929472662e-08,9.689478819296937e-08
1859,6.110607797538137e-09,1.1762920237856633e-07
1860,5.950339110327718e-09,1.3685779753913607e-07
1861,1.3676294874365169e-08,1.263878246504646e-07
1862,1.084316739174973e-08,1.0210649126207727e-07
1863,9.989241878116673e-09,1.3385583663705347e-07
1864,7.192092033037056e-09,8.39077376468822e-08
1865,9.884373208812747e-09,1.1720042181195822e-07
1866,9.244664256335966e-09,9.34197661450753e-08
1867,6.308654931785895e-09,9.511510690174418e-08
1868,4.445886658821507e-09,1.0176140463613592e-07
1869,1.2697149998075474e-08,1.0108884396231588e-07
1870,1.0321287824410774e-08,8.142349550155359e-08
1871,7.434823867669138e-09,1.0090118429673112e-07
1872,5.442605366390296e-09,9.191955552267927e-08
1873,8.380406202324053e-09,8.619846436630496e-08
1874,9.559374403167453e-09,7.050038597355979e-08
1875,1.544812294751452e-08,9.383304505616863e-08
1876,9.67362345782874e-09,1.227341019927053e-07
1877,1.6080521580974505e-08,9.710161030795916e-08
1878,1.0870359612447089e-08,6.763779314411522e-08
1879,1.2829583284634793e-08,9.347267670989368e-08
1880,2.0537108014195837e-08,8.086486147362848e-08
1881,2.2312023950643578e-08,1.0040410813871858e-07
1882,1.1979693681496428e-08,7.919908640019457e-08
1883,6.951273001654101e-09,6.129758745032632e-08
1884,5.281357573494461e-09,1.2279156180738937e-07
1885,1.2246707870033902e-08,6.896830051505987e-08
1886,1.0325542199041138e-08,7.55055289403117e-08
1887,6.528924623161458e-09,7.051238615218836e-08
1888,1.7753720937818684e-08,8.433017839593049e-08
1889,8.14467776555361e-09,6.453090967140085e-08
1890,7.865263995654459e-09,4.7191583973926754e-08
1891,3.187110020341777e-09,7.904033050287751e-08
1892,5.641661360300532e-09,8.274436491539916e-08
1893,4.926733243593162e-09,8.560199038498695e-08
1894,5.671385583383426e-09,7.246770117319556e-08
1895,3.611168697403855e-09,9.750155083310119e-08
1896,4.717623069971921e-09,8.196870560084335e-08
1897,4.661370844871726e-09,7.749528951883633e-08
1898,7.355861253444118e-09,9.279701895792414e-08
1899,2.7637891975018647e-09,8.236091986191241e-08
1900,9.34389587925466e-09,6.33308486763795e-08
1901,7.2653604799022276e-09,4.80631539012677e-08
1902,3.4371988033576883e-09,6.776191607826831e-08
1903,1.2420506623200822e-08,7.290297610040852e-08
1904,5.912087708281888e-09,7.739460272659926e-08
1905,4.1286072338664326e-09,5.005936287716395e-08
1906,1.0288368823552219e-08,6.533114377260674e-08
1907,1.2342824040612044e-08,7.199980878169754e-08
1908,6.875944924544797e-09,1.350631984031736e-07
1909,1.320236009405562e-08,1.6502950650476578e-07
1910,8.016226016316352e-09,2.5277832449432935e-07
1911,6.916486605668126e-09,1.0853563026103075e-07
1912,1.2502610557962868e-08,1.0210465606341756e-07
1913,5.3029897140177695e-09,1.3257474229533273e-07
1914,8.036092347118995e-09,1.2322008358101044e-07
1915,1.1780761921542648e-08,7.068457286152352e-08
1916,1.2086208034389756e-08,6.262853435856641e-08
1917,3.289927441585405e-09,8.553811348122053e-08
1918,6.89182577673364e-09,2.0216022278418677e-07
1919,5.524709134618888e-09,1.4180086616022436e-07
1920,1.2872793941909322e-08,1.0601124511566695e-07
1921,6.8154727417280014e-09,1.605422426109726e-07
1922,8.115728866719962e-09,1.5641223516382752e-07
1923,1.0615948120573648e-08,1.9427185415921144e-07
1924,9.024137215263295e-09,1.5212116621921012e-07
1925,1.3197813508725176e-08,9.45843321442652e-08
1926,4.458455493683289e-09,1.159198426137209e-07
1927,1.0034302500017134e-08,1.817323678210414e-07
1928,4.570416489713125e-09,1.6910541056347483e-07
1929,8.912325322185666e-09,2.0164135250411164e-07
1930,1.0503603875555712e-08,1.712087422944819e-07
1931,7.983749661377715e-09,1.0492928037564297e-07
1932,8.767629289252454e-09,1.1726703974535013e-07
1933,2.2941324395731044e-09,1.1241249175952817e-07
1934,3.5944740517379614e-09,1.3299554346701825e-07
1935,4.787313656606784e-09,1.5558769206336365e-07
1936,9.699771652549316e-09,1.1639726338330547e-07
1937,6.295559185076627e-09,1.0072894318646775e-07
1938,2.5930428915188486e-09,1.8021648351407293e-07
1939,4.588215141154706e-09,1.2235240109959022e-07
1940,0.0,1.1157444901321867e-07
1941,5.9030051957620344e-09,1.6823564585877193e-07
1942,3.034211770724937e-09,2.3060009191055997e-07
1943,2.9032352077962287e-09,1.9741999501832197e-07
1944,3.2131861615880553e-09,2.956131268661011e-07
1945,1.3071024262956144e-08,2.6577750356082674e-07
1946,1.1136883415474585e-08,2.6728520641228215e-07
1947,3.5762612871081956e-09,1.3828210398969532e-07
1948,5.435943917220243e-09,2.0765306052439314e-07
1949,5.890204879399619e-09,1.1780410069661684e-07
1950,8.508289184305795e-09,1.6910224087673953e-07
1951,4.264560815592233e-09,1.6738400732130287e-07
1952,8.435843135146115e-09,1.7293478560276299e-07
1953,9.696444647211422e-09,1.454466733719073e-07
1954,9.772536113672459e-10,1.4756528887716058e-07
1955,2.815682353940474e-09,1.6143245495925385e-07
1956,1.8314396887930684e-08,2.2500544538672784e-07
1957,5.30102267637389e-09,2.2175944502933476e-07
1958,6.617794867658233e-09,1.8529824741264633e-07
1959,5.4255234749334136e-09,1.6044048400942756e-07
1960,5.536666791705613e-09,2.6852833800994347e-07
1961,6.253343398654465e-09,1.6189211393680125e-07
1962,1.9025869213429303e-09,1.7884317005112393e-07
1963,7.112658351182688e-09,2.1725938381678134e-07
1964,3.6503810529886493e-09,2.0320454630073925e-07
1965,6.566451882239477e-09,1.849550734789318e-07
1966,1.1078149508847446e-08,1.8777463173247355e-07
1967,7.395503431872896e-09,1.9326915623452123e-07
1968,1.0779397874305374e-08,2.1424054241769852e-07
1969,6.358460841182634e-09,1.4306536977315432e-07
1970,8.737577383843842e-09,1.8532861756348495e-07
1971,4.624557625731995e-09,1.8344078522858354e-07
1972,3.591102859523687e-09,1.4877425602577432e-07
1973,4.410563081425067e-09,1.598829064697327e-07
