year,un_DET air_NOUN,un_DET cher_ADJ
1800,3.1539114957013226e-05,7.860411299631664e-08
1801,2.9183774074681423e-05,3.095537337571841e-08
1802,2.820126178448845e-05,8.056224487518193e-08
1803,3.28456627585183e-05,6.241085515057421e-08
1804,3.575037993641672e-05,8.157108055684148e-08
1805,3.487073780661376e-05,3.4114532532214525e-08
1806,3.055722015687934e-05,3.458002950651462e-08
1807,2.429306718454427e-05,4.270432762965015e-08
1808,2.6828049868754533e-05,7.70465127253317e-08
1809,2.871905564916233e-05,4.51806094758922e-08
1810,4.341403035823532e-05,9.594519934097434e-08
1811,3.0200246897038596e-05,3.259199621297171e-08
1812,2.5333143298666982e-05,1.600324983641599e-08
1813,3.3326970822145086e-05,4.026038169513413e-08
1814,2.6513900877489505e-05,7.552024783308298e-08
1815,2.3487422566859095e-05,8.90083740046066e-08
1816,2.6483259148335492e-05,1.2978581409583967e-07
1817,2.63189456291002e-05,5.293369653713853e-08
1818,2.873718946716508e-05,7.867977291908801e-08
1819,2.4065156139840838e-05,3.829888639561574e-08
1820,2.803930794925691e-05,1.305312995469876e-07
1821,3.1554789529764093e-05,5.522433510485314e-08
1822,2.90572434380465e-05,5.012807946513931e-08
1823,2.759740365831931e-05,5.6331314723934156e-08
1824,2.4607332676396254e-05,3.621078281668133e-08
1825,2.7951998561093205e-05,5.723537910284904e-08
1826,2.211420704156808e-05,3.611273668990833e-08
1827,1.9799625064820248e-05,4.4242910390845935e-08
1828,2.5229331214404738e-05,5.228211580332598e-08
1829,2.8438082637194384e-05,2.8291480713704686e-08
1830,2.8202417325928764e-05,5.427154770032416e-08
1831,2.4743244182445778e-05,6.548306430431694e-08
1832,2.7678257595198374e-05,4.464889968858188e-08
1833,2.8152851399454448e-05,4.170106215894975e-08
1834,2.4972671269551938e-05,7.560969961240005e-08
1835,3.5641052249957283e-05,6.277362984974388e-08
1836,2.651873523973336e-05,9.005805379214138e-08
1837,2.4754087718292794e-05,6.679575370593938e-08
1838,2.219482431087272e-05,6.122797047147799e-08
1839,2.432054471057654e-05,7.271133928288265e-08
1840,2.5315690649563294e-05,6.114901002218787e-08
1841,2.1713653779897868e-05,6.484754022650918e-08
1842,2.5270704668400867e-05,5.836190464236779e-08
1843,2.5331198287403822e-05,8.505951687443059e-08
1844,2.3661187839252307e-05,5.269018932274605e-08
1845,2.451003473424862e-05,3.738752890614094e-08
1846,2.186480668342483e-05,8.840296872314468e-08
1847,1.578380854994066e-05,5.770749123001906e-08
1848,1.847504712770842e-05,8.286578484506535e-08
1849,1.6754639375449187e-05,4.860060554001677e-08
1850,1.928482288349187e-05,8.41835490206222e-08
1851,1.788106975197934e-05,8.642247850687568e-08
1852,1.9730208109081104e-05,9.179868731834517e-08
1853,2.2908330208792904e-05,8.121827255180847e-08
1854,2.0007464314630852e-05,1.3508727053634928e-07
1855,2.352989844212061e-05,1.0879220724291372e-07
1856,2.1180916718321896e-05,8.387046346314264e-08
1857,2.4517379443977916e-05,9.079606932971274e-08
1858,2.46998507122953e-05,6.753272951964817e-08
1859,2.4695004597674597e-05,1.0744486056424307e-07
1860,2.4408291039890173e-05,1.1580275199873924e-07
1861,2.2439498692961024e-05,1.136547243540953e-07
1862,2.0613763794585793e-05,9.668490721925771e-08
1863,2.1721606714208974e-05,1.3535422793697904e-07
1864,2.1351882665499033e-05,1.0548401396803797e-07
1865,2.2113225568887174e-05,6.401308333403577e-08
1866,2.1114326898441504e-05,1.0801660899062426e-07
1867,2.1764374352528648e-05,9.414453927547584e-08
1868,1.992794636862527e-05,9.435159209481014e-08
1869,2.50837080244537e-05,7.764795362241728e-08
1870,2.09889112881001e-05,9.919904142563496e-08
1871,2.01069500462836e-05,7.541036062264084e-08
1872,2.1711157586423724e-05,8.466275325247352e-08
1873,1.8843342772356664e-05,1.2391028697544826e-07
1874,2.2388652652693963e-05,9.678866996765123e-08
1875,2.1245746324893844e-05,9.497735253827244e-08
1876,2.011146435165756e-05,1.0701446440108953e-07
1877,2.215895831625403e-05,1.2864417298086295e-07
1878,1.896938061918263e-05,8.937851392332163e-08
1879,2.147794315021656e-05,1.0569132857796149e-07
1880,1.945505873379716e-05,5.390990742704105e-08
1881,2.04810446433612e-05,7.809208213416241e-08
1882,2.0781439602046703e-05,1.0116185289454904e-07
1883,1.929357392782549e-05,9.542201695467156e-08
1884,2.0509492458131717e-05,8.120087446883417e-08
1885,1.8393266913108164e-05,9.926278732308447e-08
1886,1.7636026484524336e-05,7.098809973182796e-08
1887,1.7835063403026652e-05,9.597519429194179e-08
1888,1.7643394585320493e-05,8.87686082418071e-08
1889,1.7111341108488887e-05,1.1841108482624207e-07
1890,1.6275197523896168e-05,9.045053384060253e-08
1891,1.6628427616183217e-05,1.0963658192419956e-07
1892,1.5423674184944502e-05,9.52813898891236e-08
1893,1.481714993190053e-05,9.360793051804706e-08
1894,1.569272407664357e-05,1.1216739759234429e-07
1895,1.5525617072853493e-05,7.944570845630494e-08
1896,1.4793286666758831e-05,1.1086414564154268e-07
1897,1.3938081778519518e-05,9.67234444759768e-08
1898,1.3961990276811775e-05,1.1825962076272845e-07
1899,1.5758573226776207e-05,1.1442087455293404e-07
1900,1.5428328921984757e-05,9.914911724973052e-08
1901,1.3971288638003898e-05,1.0115617526951226e-07
1902,1.1476806619725721e-05,9.525950744881939e-08
1903,1.3185177763830325e-05,8.802359263704318e-08
1904,1.2110643297091883e-05,8.545654317515528e-08
1905,1.2142749923782503e-05,8.773290582908544e-08
1906,1.3283313492706839e-05,9.825392655038456e-08
1907,1.2883337106472936e-05,1.1314255671246443e-07
1908,1.3774972487112791e-05,1.4095687195236906e-07
1909,1.504739084623452e-05,1.0121810056773484e-07
1910,1.671062418040492e-05,1.2612195232630796e-07
1911,1.3323812723342598e-05,9.842692505479533e-08
1912,1.3645037213905198e-05,9.48114697862934e-08
1913,1.4613448968248122e-05,1.1772636954177074e-07
1914,1.374104839158008e-05,1.2054138576189644e-07
1915,1.1356654525229715e-05,1.5550605370062698e-07
1916,1.1479700447125651e-05,1.6700941785074974e-07
1917,1.2827426701278455e-05,1.8752585195791482e-07
1918,1.3087577485748625e-05,1.8378201716018339e-07
1919,1.4362401714151929e-05,1.399592959860918e-07
1920,1.5164908489850859e-05,1.4993018915276934e-07
1921,1.5552909076177457e-05,1.5599859032322527e-07
1922,1.7338148865064795e-05,1.54198853130616e-07
1923,1.7457926446695637e-05,1.6030082239382182e-07
1924,1.6222821102473972e-05,1.5727781343954916e-07
1925,1.7909432244778145e-05,1.3967685674742825e-07
1926,1.7172856075831078e-05,1.2483674405316947e-07
1927,2.3597334376290746e-05,1.4048023833090895e-07
1928,1.667287932605177e-05,1.3482728999925087e-07
1929,1.805191473636114e-05,1.0917598136650497e-07
1930,1.5514872444555294e-05,1.1028783897248928e-07
1931,1.3473148243292599e-05,9.580499593653258e-08
1932,1.473728892165127e-05,1.0301964492587246e-07
1933,1.3357585928019944e-05,1.1585368975275401e-07
1934,1.349245724213688e-05,1.1741948213739306e-07
1935,1.4838278360684853e-05,1.136987028971248e-07
1936,1.2701850693019878e-05,1.0912242887073376e-07
1937,1.310609464155732e-05,8.310137811218254e-08
1938,1.3181733834244369e-05,9.594259020584417e-08
1939,1.3350176260473745e-05,9.788192478765723e-08
1940,1.0624929984714981e-05,1.0143131645712344e-07
1941,1.530058963794545e-05,8.854508104505499e-08
1942,1.3041042009831472e-05,1.0316320264713852e-07
1943,1.6551344515391975e-05,1.3645205987344866e-07
1944,1.5567886464395997e-05,1.4780655810398002e-07
1945,1.981567294251363e-05,9.803268596897396e-08
1946,1.7207877675673444e-05,1.0719250198576447e-07
1947,1.791945305740228e-05,9.536696921053078e-08
1948,1.6742707515504662e-05,9.784699339654424e-08
1949,1.641305571808971e-05,8.835307818699789e-08
1950,1.552550067174252e-05,1.0529007732351658e-07
1951,1.6365251013894522e-05,8.31589359595597e-08
