year,en_ADP aises_NOUN,en_ADP chaises_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,2.1430643926123594e-08
1802,0.0,2.6854081625060644e-08
1803,1.950339223455444e-09,4.8758479920252285e-08
1804,0.0,4.943701981119375e-08
1805,0.0,5.970043304159844e-08
1806,0.0,8.645007376628655e-09
1807,0.0,2.2775640928784924e-08
1808,0.0,4.5321478125970316e-08
1809,0.0,0.0
1810,0.0,1.1700633351097167e-08
1811,0.0,2.0056614147279106e-08
1812,0.0,2.6672082320544632e-09
1813,0.0,2.0130190847567064e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,5.0987285504788815e-08
1817,0.0,2.80237220096069e-08
1818,2.384235475716423e-09,6.795070817133819e-08
1819,0.0,5.175525075173937e-08
1820,1.1866481131050932e-09,1.0679833017945839e-08
1821,0.0,9.861488514673056e-09
1822,0.0,1.1028177482330648e-08
1823,0.0,1.9765373782121287e-09
1824,0.0,1.0105335235266466e-08
1825,8.805443041381977e-10,5.195211372210906e-08
1826,8.807984341885344e-10,2.7304752237000685e-08
1827,1.8434546333878643e-08,3.2260455640198415e-08
1828,0.0,3.210305266065916e-08
1829,0.0,3.772197487705853e-08
1830,0.0,3.757260813586072e-08
1831,0.0,0.0
1832,0.0,1.0823975493678972e-08
1833,0.0,2.548398292390175e-08
1834,0.0,3.453776287187793e-08
1835,0.0,4.159698363537245e-08
1836,0.0,2.083432448785061e-08
1837,8.349468672008697e-09,2.5048407792382932e-08
1838,0.0,1.3255539776935166e-08
1839,0.0,4.264799713382672e-08
1840,0.0,2.993753511759678e-08
1841,3.2102742686390684e-09,5.393260948949319e-08
1842,0.0,4.427455024824667e-08
1843,0.0,3.2488010504039266e-08
1844,0.0,5.3239045172404076e-08
1845,0.0,2.399498022498392e-08
1846,8.196302303531411e-09,1.9905304071698993e-08
1847,0.0,1.5640349459999925e-08
1848,0.0,2.011305433313737e-08
1849,0.0,2.513824526317876e-08
1850,0.0,4.2091777174846357e-08
1851,0.0,7.029888138276874e-08
1852,6.510545436100301e-10,6.640756566866912e-08
1853,1.1943863675867306e-09,2.149895550473957e-08
1854,5.195664454227256e-10,2.909572138776184e-08
1855,5.306937111981824e-10,3.449509122788186e-08
1856,5.177189232874468e-10,5.5913645269356493e-08
1857,9.763018171682347e-10,6.83411300883563e-08
1858,0.0,2.2510910469009104e-08
