year,en_ADP ange_NOUN,en_ADP change_NOUN
1800,1.0690159513160324e-07,1.2891074163690064e-07
1801,5.4767200552419126e-08,1.7144515140898875e-07
1802,9.398928568771225e-08,2.4840025503181096e-07
1803,4.4857802805609026e-08,1.5407680109547073e-07
1804,1.038177401824214e-07,1.9527623029702568e-07
1805,1.1940086075412637e-07,2.0184432081293835e-07
1806,3.7461698632057505e-08,2.362968700708734e-07
1807,9.394952016350544e-08,2.562259737715067e-07
1808,1.5635909988986896e-07,1.2010191596800723e-07
1809,6.777091510201672e-08,2.417162687784469e-07
1810,1.0296557562128328e-07,1.5210824244604737e-07
1811,1.0028307073639553e-07,1.1532553401139012e-07
1812,3.200649878465356e-08,1.4136203674297576e-07
1813,5.463909147351842e-08,1.4953856464217097e-07
1814,5.664018765116907e-08,1.32160433263806e-07
1815,4.045835311217161e-08,1.2407228666688752e-07
1816,8.806895124280345e-08,1.321034233114915e-07
1817,1.120948880384276e-07,1.9616605584360514e-07
1818,8.225612102563673e-08,1.931230664276029e-07
1819,1.3663386333462313e-07,1.6458169449506954e-07
1820,1.0086509050211134e-07,1.3290458866777044e-07
1821,1.1636555941052507e-07,1.6961759286004963e-07
1822,9.023054303725075e-08,1.9148926355683216e-07
1823,1.591112610555001e-07,1.5614645576533803e-07
1824,6.905312588401102e-08,1.7768548055130395e-07
1825,1.294400187035194e-07,1.3824545130880495e-07
1826,1.0217261525724552e-07,1.8232528020689642e-07
1827,9.217272722850112e-08,1.1798109217364683e-07
1828,1.1190207693800858e-07,1.467568182533796e-07
1829,7.544394797776022e-08,1.2516836989107105e-07
1830,9.080047114196077e-08,1.1897992635567789e-07
1831,7.327866846651432e-08,1.2472965238430334e-07
1832,9.470978845627087e-08,1.2988770947686135e-07
1833,6.486831960472728e-08,1.0888610546544442e-07
1834,1.3348378669064687e-07,1.2508272106970253e-07
1835,1.3916081798015512e-07,9.983276072489389e-08
1836,1.5390518193214575e-07,1.0417162599196672e-07
1837,1.196757262178494e-07,9.880205453782764e-08
1838,1.300305321194628e-07,1.312929640562288e-07
1839,1.0627042446031965e-07,1.2095252088784036e-07
1840,1.5287253152251878e-07,1.248458971758737e-07
1841,1.5088289684328515e-07,1.2584274600158096e-07
1842,1.2276125049837106e-07,1.0263645178198999e-07
1843,1.8429562875788008e-07,9.451057536580265e-08
1844,1.6136370550867696e-07,8.946354768113451e-08
1845,1.9865611289304752e-07,1.1383664855202369e-07
1846,1.4694798977643586e-07,9.133022160767723e-08
1847,1.0516786286274282e-07,9.492073616002017e-08
1848,1.1906928421012708e-07,1.6009991554710723e-07
1849,1.0222886559496658e-07,9.133562173246901e-08
1850,1.1880743233660951e-07,1.357799135348614e-07
1851,8.835731013512316e-08,1.1802472954514087e-07
1852,1.5755520621496544e-07,1.0677294426386652e-07
1853,1.773663806936554e-07,1.2839653606988577e-07
1854,3.184942349854225e-07,1.0027632751929971e-07
1855,1.9954083185780291e-07,1.0773082692594471e-07
1856,2.0501669850681026e-07,1.0354378554566779e-07
1857,1.7231727733602042e-07,8.98197650145427e-08
1858,1.6736372110415232e-07,6.019221521214035e-08
1859,1.5378363826812347e-07,9.878816342734353e-08
1860,1.2678799476972813e-07,8.330474896012241e-08
1861,1.197854819778854e-07,9.950683477200073e-08
1862,1.4096117739725855e-07,9.758850438856825e-08
1863,2.1476869527248255e-07,7.791608425122831e-08
1864,1.706923171695962e-07,1.3281396316067173e-07
1865,1.5909133921354623e-07,1.1296426771778556e-07
1866,1.62511470058746e-07,8.320198396916112e-08
1867,1.3442288526732682e-07,6.26012663929032e-08
1868,1.1954495438004642e-07,8.101393755843844e-08
1869,1.3576182755770105e-07,7.276443625414686e-08
1870,1.5653953511218788e-07,9.23181886491875e-08
1871,1.1152236290001838e-07,7.116188527334089e-08
1872,1.2155151729587033e-07,9.252429156170194e-08
1873,9.338166773176226e-08,8.500126147392706e-08
1874,8.364452863673932e-08,1.523525270386017e-07
1875,8.925582317687031e-08,1.3102296730904683e-07
1876,6.348315273463356e-08,8.524881045524069e-08
1877,8.844287080478352e-08,9.83385752828525e-08
1878,8.817069740985062e-08,7.307297250624956e-08
1879,9.102894837909048e-08,1.1607718319872617e-07
