year,en_ADP aire_NOUN,en_ADP chairs_NOUN
1800,4.7162466820793725e-08,0.0
1801,1.619204113012529e-07,0.0
1802,3.3567602031325805e-08,2.2378401354217203e-08
1803,2.9255089017965474e-08,7.801356893821776e-09
1804,1.730295728918918e-08,7.4155526164076946e-09
1805,3.695740935505398e-08,1.9900143755080535e-08
1806,4.8988376022407465e-08,3.458002950651462e-08
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,4.5321479014148736e-08,4.078933102391602e-08
1809,7.00299480627109e-08,2.710836710662079e-08
1810,5.3822916346035754e-08,1.1700633351097167e-08
1811,5.0141535368197765e-09,0.0
1812,3.200649700829672e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,4.090680150170556e-08,0.0
1815,8.091670444798638e-09,0.0
1816,7.184571870766376e-08,1.622322720606917e-08
1817,1.2454987263765815e-08,0.0
1818,7.152706427149269e-09,1.1921177378582115e-09
1819,2.484252026313527e-08,4.0369094733705424e-08
1820,1.7799721696576398e-08,1.542642635854463e-08
1821,3.7473656067099625e-08,1.97229765852569e-09
1822,3.0076847679083585e-08,4.010246357211145e-09
1823,3.2612866407433216e-08,9.882686891060644e-10
1824,1.431589158329416e-08,0.0
1825,1.3208164117983756e-08,1.0566531649658373e-08
1826,2.466235649034587e-08,6.1655889282974385e-09
1827,2.027800155568471e-08,1.013900075008678e-08
1828,2.384798225563145e-08,6.420610709767516e-09
1829,4.800978425922864e-08,3.429270423183084e-09
1830,1.6698937788106605e-08,2.2961039292113128e-08
1831,1.4032085493553836e-08,1.5591206103948707e-09
1832,9.470978445946798e-09,1.3529969367098715e-09
1833,1.2741991461950875e-08,4.6334514003376626e-09
1834,2.1469421573883096e-08,9.334531370086552e-09
1835,2.571449897459388e-08,2.571449897459388e-08
1836,2.9571301130015826e-08,8.064899859050456e-09
1837,1.8786305289175687e-08,6.262101948095733e-09
1838,3.8504186727905676e-08,3.787297142565649e-09
1839,2.6567605448946097e-08,2.7965900706306e-09
1840,5.860113566624747e-08,7.64362617644565e-09
1841,4.173356549230789e-08,2.5682194149112547e-09
1842,3.287049921141261e-08,0.0
1843,3.0125246297529884e-08,1.8311423488626133e-08
1844,5.488561261035585e-08,1.0977122322231025e-08
1845,2.7343117381395388e-08,5.580227946389016e-10
1846,1.3465352832753297e-08,5.269050973311096e-09
1847,2.480882788091776e-08,1.5640349459999925e-08
1848,2.0113054055581614e-08,0.0
1849,2.3462362719328667e-08,0.0
1850,2.1724787302446202e-08,2.5798184921654865e-08
1851,2.1283148576856092e-08,1.9348316282474798e-09
1852,1.9531636752390114e-08,7.812654523320361e-09
1853,2.26933418723263e-08,4.777545470346922e-09
1854,2.1821789930598356e-08,5.195664343204953e-09
1855,1.1144567935161831e-08,3.714855978387277e-09
1856,2.0191037064520856e-08,4.141751386299575e-09
1857,1.2691923956253959e-08,2.9289055625270066e-09
1858,4.502181916166137e-08,3.9149408159744326e-09
1859,2.6479301196147276e-08,8.656694916453489e-09
