year,en_ADP appel_NOUN,en_ADP chapelle_NOUN
1800,1.3519907327008696e-07,7.860410988769218e-08
1801,4.0480102825313224e-08,1.4287095950749062e-08
1802,2.1259481286506343e-07,1.1189200677108602e-08
1803,1.4237475687295387e-07,1.3652374120098898e-08
1804,1.9033252907085796e-07,2.22466585153569e-08
1805,1.9615856849952706e-07,6.538618513296512e-08
1806,4.178420258682536e-07,1.152667650217154e-08
1807,1.5601314160562652e-06,4.555128185756985e-08
1808,5.937114053722325e-07,9.064295980465431e-09
1809,8.064739225321915e-07,2.0331274885876383e-08
1810,5.68650804666504e-07,4.212228077449254e-08
1811,7.195310249841214e-07,5.0141535368197765e-09
1812,1.264256662913965e-06,3.9207959900977585e-07
1813,7.649472770765442e-07,1.2854565554221153e-06
1814,8.401628051046828e-07,6.230420654951274e-07
1815,5.799030473596645e-07,1.6722785622924619e-07
1816,4.4266235121881436e-07,1.4137383175238938e-07
1817,4.7017576498831204e-07,1.0898113667057174e-07
1818,4.029357869583805e-07,1.0013788909191135e-07
1819,7.401000973183969e-07,1.0972112929330535e-07
1820,3.7616745984792033e-07,1.7087732828713342e-07
1821,4.1812709228317146e-07,1.341162353396541e-07
1822,7.950313545279641e-07,7.318699601910339e-08
1823,7.372484169820837e-07,2.1544257189365368e-07
1824,8.909537427825853e-07,9.515857612996115e-08
1825,8.752610423101714e-07,1.1094858454185896e-07
1826,1.0472693041663206e-06,1.5678212150760373e-07
1827,1.3300524610571074e-06,1.0231173064312316e-07
1828,1.812446780213861e-06,1.1098484736793424e-07
1829,1.9563988509219143e-06,7.544394586833647e-08
1830,1.4141912239029608e-06,1.1584887582571923e-07
1831,2.0097064492574646e-06,1.2472964328047453e-07
1832,1.932079682243071e-06,1.3394669906574563e-07
1833,2.029451787066705e-06,1.5869571479143474e-07
1834,1.6624799776820964e-06,9.70791234067292e-08
1835,1.331103504753628e-06,1.64875316954749e-07
1836,1.1626897205019304e-06,1.7070705382593587e-07
1837,1.9878695241004607e-06,2.2682725109302027e-07
1838,1.7838169417139227e-06,2.2345053851680063e-07
1839,1.9674012268211527e-06,1.4542268633732647e-07
1840,1.7319183505115632e-06,1.6752280485032855e-07
1841,2.2234359446926533e-06,2.831461927144119e-07
1842,2.5994526908768023e-06,2.2137274724443046e-07
1843,1.3568174948574985e-06,1.8724908557032904e-07
1844,2.0197906471786098e-06,2.2887300521468035e-07
1845,2.201400006729415e-06,2.3660166448280506e-07
1846,2.35936405168502e-06,4.80069104469294e-07
1847,2.2894234410486547e-06,2.809869510400631e-07
1848,2.6187196207061447e-06,2.735375517204375e-07
1849,6.110269419989933e-06,5.186857632288877e-07
1850,2.604937699324239e-06,2.966791328162799e-07
1851,2.9415891127371196e-06,2.4314385416168705e-07
1852,3.177146195909586e-06,2.6172392297851843e-07
1853,1.9384890546092493e-06,2.878471245804093e-07
1854,2.8347545786289174e-06,1.6262429591851202e-07
1855,1.9078439059683205e-06,1.937032010346229e-07
1856,2.1361083302195993e-06,2.309026351232646e-07
1857,2.504214231535684e-06,2.660422311340227e-07
1858,2.178175183331632e-06,2.686628235437638e-07
1859,1.954376092072607e-06,2.0266850131456238e-07
1860,1.6683835042385908e-06,2.219934183977923e-07
1861,1.6647352438781127e-06,2.2353668294172735e-07
1862,1.6752692584276474e-06,4.3282307893299787e-07
1863,1.7431227252728831e-06,2.3774394775077923e-07
1864,1.6944568272947436e-06,2.133653935754154e-07
1865,2.123257411668078e-06,2.221630603926883e-07
1866,1.9671673499033204e-06,2.476597107392564e-07
