year,en_ADP airs_NOUN,en_ADP chair_NOUN
1800,0.0,6.917161954334006e-07
1801,2.3811825844433088e-09,4.381375902084983e-07
1802,0.0,1.7455153056289419e-07
1803,7.801356671777171e-09,7.801356787240366e-07
1804,2.4718509905596875e-08,3.435872883983393e-07
1805,3.1271653710973624e-08,5.742613211623393e-07
1806,4.3225035994964855e-08,3.4003696214313095e-07
1807,1.4234775136401367e-08,2.3629726797480544e-07
1808,2.2660739951163578e-09,2.4020383193601447e-07
1809,2.259030518203531e-09,3.140052342587296e-07
1810,9.360507036149102e-09,4.5398459747048037e-07
1811,1.2535384286138651e-08,2.582289084784861e-07
1812,2.9339290108509886e-08,2.1604387256957125e-07
1813,4.3136125782439194e-08,1.6679301495514665e-07
1814,0.0,1.2901375612273114e-07
1815,3.506390555685357e-08,2.0498899289123074e-07
1816,1.228330006597389e-07,5.51589721453638e-07
1817,6.227493631882908e-09,4.3748141820287856e-07
1818,5.960588467246453e-09,4.077042774497386e-07
1819,0.0,2.774081337975076e-07
1820,2.0173018810965004e-08,2.3020973571874492e-07
1821,1.676452932031225e-08,4.5560076955553086e-07
1822,1.0025615893027862e-09,2.917454366979655e-07
1823,1.2847492847356534e-08,1.927123918221696e-07
1824,1.7684335773537896e-08,2.896862838497327e-07
1825,4.4027217427355936e-09,4.2706398062364315e-07
1826,7.0463874735082754e-09,2.536699525990116e-07
1827,5.530363722527909e-09,2.359621902314757e-07
1828,1.0089530988466322e-08,2.7058288765147154e-07
1829,1.7146351893870815e-08,2.63196511696151e-07
1830,1.982998831806526e-08,3.4024085948658467e-07
1831,0.0,5.831111025145219e-07
1832,2.976593194148336e-08,4.370180022306158e-07
1833,2.085053074640797e-08,4.6913694973227393e-07
1834,1.8669061851994684e-09,3.6591362118088e-07
1835,6.050470346963266e-09,5.294161837809952e-07
1836,1.1425274948351216e-08,6.176369424792938e-07
1837,2.5048407792382932e-08,3.924250506770477e-07
1838,2.1461350030449466e-08,4.1407781736779725e-07
1839,5.2436064379435265e-08,4.341706016930402e-07
1840,7.0066574764382494e-09,5.019314812670927e-07
1841,1.733548060656176e-08,6.067418212296616e-07
1842,6.708265054555795e-09,5.272696057545545e-07
1843,1.3585895075607368e-08,5.298498990669032e-07
1844,1.0977122322231025e-08,5.603820909527713e-07
1845,5.580227835366713e-09,4.94408197937446e-07
1846,9.952652035849496e-09,4.238658846134058e-07
1847,9.168480197274675e-09,4.3469381694194453e-07
1848,2.735375304041554e-08,4.038701320041582e-07
1849,6.703531951757213e-09,4.591919378071907e-07
1850,2.0366988096043315e-09,6.089729254199483e-07
1851,3.8696632564949596e-09,6.778359988857119e-07
1852,5.859490670445666e-09,5.839959271725093e-07
1853,1.1943863675867306e-09,4.4968646761844866e-07
