year,rien_PRON eu_VERB
1800,5.282196298139752e-07
1801,6.667311254204833e-07
1802,4.050490645113314e-07
1803,5.012371957491268e-07
1804,7.118930511751387e-07
1805,5.970043162051297e-07
1806,6.166771981952479e-07
1807,4.185023954050848e-07
1808,4.826737836083339e-07
1809,5.218360570324876e-07
1810,8.471258752251742e-07
1811,4.83865790101845e-07
1812,6.507988246085006e-07
1813,5.5501811857539e-07
1814,5.726952281293052e-07
1815,6.9048923023729e-07
1816,8.111613851724542e-07
1817,9.450221796214464e-07
1818,7.808371265127789e-07
1819,6.158874725770147e-07
1820,6.823226499363955e-07
1821,7.060825737426057e-07
1822,8.140800105138624e-07
1823,7.827088097656087e-07
1824,7.663212500119698e-07
1825,6.61288765968493e-07
1826,7.019963277343777e-07
1827,5.7607957160144e-07
1828,7.741422223261907e-07
1829,7.733004849796998e-07
1830,7.023990633570065e-07
1831,6.64185392906802e-07
1832,6.480855176960176e-07
1833,7.10076449195185e-07
1834,6.347481189550308e-07
1835,6.39080951714277e-07
1836,7.661654990442912e-07
1837,6.749154408680624e-07
1838,7.145367248995171e-07
1839,7.536810358033108e-07
1840,7.299663025150949e-07
1841,6.099521101532446e-07
1842,5.977063892714796e-07
1843,6.137280479379115e-07
1844,6.668602168247162e-07
1845,6.249855459827813e-07
1846,7.886013122515578e-07
1847,5.312325015438546e-07
1848,7.667096042496269e-07
1849,7.298470450223249e-07
1850,7.508629664698674e-07
1851,6.05602281211759e-07
1852,7.044409926493245e-07
1853,6.60495686588547e-07
1854,7.43499583677476e-07
1855,7.371335755124164e-07
1856,8.909942721402331e-07
1857,7.722547366029175e-07
1858,6.342203846543271e-07
1859,7.847039000807854e-07
1860,7.154138188525394e-07
1861,7.21070875897567e-07
1862,9.04049045402644e-07
1863,8.385968612856232e-07
1864,7.930480023787823e-07
1865,8.477026653963549e-07
1866,7.648743576282868e-07
1867,7.706264568696497e-07
1868,7.558007268926303e-07
1869,7.916184472378518e-07
1870,6.617092367378063e-07
1871,8.018988637559232e-07
1872,8.061103358159016e-07
1873,8.027232070162427e-07
1874,7.468261173926294e-07
1875,7.066086027407437e-07
