year,en_ADP chantier_NOUN
1800,9.746909768182377e-08
1801,7.619784270218588e-08
1802,7.161088433349505e-08
1803,3.705644502360883e-08
1804,7.168367943677367e-08
1805,4.8328921309348516e-08
1806,4.3225035994964855e-08
1807,1.708173016368164e-07
1808,2.2660739062985158e-08
1809,3.162642769893864e-08
1810,9.360507036149102e-09
1811,8.524060746140094e-08
1812,4.000812481308458e-08
1813,5.176335093892703e-08
1814,8.810695817373926e-08
1815,5.664169577812572e-08
1816,3.0128852301913867e-08
1817,2.1796227045456362e-08
1818,5.0068944545955674e-08
1819,3.2088255608186955e-08
1820,3.797273961936298e-08
1821,5.325203744632745e-08
1822,8.020492714422289e-08
1823,7.412015179397713e-08
1824,5.052667617633233e-08
1825,1.8139212443202268e-07
1826,3.699353356978463e-08
1827,6.359918103271411e-08
1828,6.512333783348367e-08
1829,9.087566610332942e-08
1830,7.931995327226105e-08
1831,1.8397622625343502e-07
1832,6.494385473843067e-08
1833,7.761030929032131e-08
1834,5.0406466556296436e-08
1835,1.2705987728622858e-07
1836,1.0148332307835517e-07
1837,8.766942727334026e-08
1838,1.0351945434194931e-07
1839,9.29866175169991e-08
1840,1.3312649116414832e-07
1841,1.2006425720301195e-07
1842,5.1653639587811995e-08
1843,6.73387887673016e-08
1844,7.354672248993666e-08
1845,1.2946128435942228e-07
1846,4.279640393178852e-07
1847,3.0417780294555996e-07
1848,5.712107409294731e-08
1849,1.667503539692916e-07
1850,4.0055077477063605e-08
1851,1.8380900712600123e-07
1852,1.2565352847104805e-07
1853,1.003284566536422e-07
1854,5.5593609715742787e-08
1855,1.0295457997244739e-07
1856,6.109083017236117e-08
1857,7.273448687783457e-08
1858,1.1402265442939097e-07
1859,1.9401180395561823e-07
1860,8.650877703075821e-08
1861,1.730758754092676e-07
1862,3.203252276762214e-07
1863,3.0666970474158006e-07
1864,1.639796920471781e-07
1865,1.736825510079143e-07
1866,1.6835021199312905e-07
1867,2.0430336178378639e-07
1868,2.3760794931604323e-07
1869,2.617566394746973e-07
1870,2.104395946389559e-07
1871,1.2532989046576404e-07
1872,2.0137639467066037e-07
1873,5.249726200418081e-07
1874,4.080658015936933e-07
1875,3.1525615895589e-07
1876,4.4377748054102995e-07
1877,3.030559696526325e-07
1878,2.928958053871611e-07
1879,2.627009791922319e-07
1880,2.169231976267838e-07
1881,2.551937825501227e-07
1882,2.728707784172002e-07
1883,2.7994670404041244e-07
1884,3.274441837675113e-07
1885,3.648229665031977e-07
1886,3.89789221344472e-07
1887,3.2057019438980205e-07
1888,4.552561279069778e-07
1889,4.31667928069146e-07
1890,3.703228230733657e-07
1891,3.748041308426764e-07
1892,4.5760140210404643e-07
1893,3.6026736438543594e-07
1894,4.757662281917874e-07
1895,4.2250673004673445e-07
1896,5.708324124498176e-07
1897,6.158836072245322e-07
1898,6.773050813535519e-07
1899,8.319005360135634e-07
1900,1.226126755682344e-06
1901,8.802263664620114e-07
1902,9.255884947378945e-07
1903,6.707073794132157e-07
1904,5.18113893122063e-07
1905,6.729629831170314e-07
1906,1.0190630064244033e-06
1907,1.047597152137314e-06
1908,1.043670181388734e-06
1909,9.714736961541348e-07
1910,1.2841993566325982e-06
1911,1.1683541742968373e-06
1912,1.25755423141527e-06
1913,9.619623142498313e-07
1914,1.0145566875507939e-06
1915,9.66022525972221e-07
1916,8.174671961569402e-07
1917,1.1514745210661204e-06
1918,8.143840659613488e-07
1919,7.596474915771978e-07
1920,8.518760523656965e-07
1921,1.129096631302673e-06
1922,9.982346682591015e-07
1923,7.39931579119002e-07
1924,7.696299917370197e-07
1925,9.54641791395261e-07
1926,9.117541139858076e-07
1927,9.666377991379704e-07
