year,en_ADP as_NOUN,en_ADP chasses_NOUN
1800,3.4585810571030606e-07,6.288328968651058e-09
1801,4.2861285987072506e-07,2.3811825844433088e-09
1802,3.3343818017783633e-07,8.951360541686881e-09
1803,3.003522337508002e-07,2.3404069793286908e-08
1804,2.4718509372689823e-07,4.943701892301533e-09
1805,2.7860201168294907e-07,2.842877711017877e-09
1806,2.651135728726217e-07,2.881669125542885e-09
1807,2.5622595423158145e-07,8.540865792383556e-09
1808,2.8099317894714204e-07,1.1330369531492579e-08
1809,2.1460790433636134e-07,2.259030518203531e-09
1810,2.808152181899004e-07,2.3401267590372754e-09
1811,2.557218179433107e-07,2.5070767684098882e-09
1812,1.9737341272474396e-07,2.6672082320544632e-09
1813,2.50189524653166e-07,0.0
1814,4.0277466961669006e-07,1.2586708564299443e-08
1815,2.022917642285904e-07,2.1577788444915313e-08
1816,2.757948678322464e-07,0.0
1817,3.720927379546879e-07,0.0
1818,1.4305412698867315e-07,1.7881765401739358e-08
1819,2.918996142575736e-07,6.210630232317271e-09
1820,4.378731439658168e-07,2.966620371580575e-08
1821,4.339054879842763e-07,2.1695274909916407e-08
1822,3.8297854132451903e-07,4.6117833107928163e-08
1823,3.281052071146817e-07,4.941343334508019e-09
1824,3.680026168240147e-07,7.57900142644985e-09
1825,2.8969908849596493e-07,5.0191026446100295e-08
1826,2.8449789102324985e-07,3.7874332003973166e-08
1827,2.6084881338261923e-07,2.3043183361437514e-08
1828,2.2563861046265288e-07,2.7516904310687096e-09
1829,2.777708928980438e-07,3.0863434308248117e-08
1830,3.214545323260154e-07,2.817945699007396e-08
1831,2.2451337056139664e-07,5.145098036507534e-08
1832,3.2877825006938366e-07,1.3529969367098715e-09
1833,2.9422415903646026e-07,8.108540061613212e-09
1834,3.407103701391634e-07,7.467624962842478e-09
1835,4.3790279136146637e-07,7.563087933704082e-09
1836,3.3536543780909867e-07,4.368487349637462e-08
1837,3.7920506068545023e-07,1.9482093938094636e-08
1838,2.7521026901844436e-07,2.9667161838276e-08
1839,2.5868458308764275e-07,1.3283802724473048e-08
1840,3.4014138294846674e-07,1.97460351958334e-08
1841,3.820226459616549e-07,7.704658244733764e-09
1842,4.3268309024568907e-07,2.3478927246856074e-08
1843,3.3964738710423603e-07,8.269675388916653e-09
1844,2.6729294777538826e-07,7.1351298203126134e-09
1845,4.0456653921383534e-07,2.3994979558850105e-08
1846,2.915541785775133e-07,1.4636253098387897e-08
1847,3.537954720300718e-07,5.9325460100012606e-09
1848,2.5181543988894717e-07,2.735375304041554e-08
1849,2.2875802829780412e-07,2.3462362719328667e-08
1850,2.8038552457587684e-07,1.2220192857625989e-08
1851,2.2637530627811486e-07,1.483370937194195e-08
1852,2.793023943237216e-07,1.3021090650155998e-08
1853,2.6037622324892595e-07,1.0152283902442605e-08
1854,2.9407460516717165e-07,2.0263090760863633e-08
1855,3.3539842902996497e-07,1.8043586180738203e-08
1856,2.8422767495150936e-07,2.4332790005132665e-08
1857,3.1192843735761144e-07,2.9777204813008495e-08
1858,3.8366420923585665e-07,2.104280660830682e-08
1859,3.7071023051282737e-07,3.309912632865064e-08
1860,3.9272237825627165e-07,6.408057418028079e-09
1861,3.485097264110948e-07,1.0375119874339589e-08
1862,2.9186190375618537e-07,1.400575744270327e-08
1863,3.3064388560433144e-07,1.148762801550518e-08
1864,3.2700043783862043e-07,2.5412058235474433e-08
1865,3.1959472512888e-07,1.788600800800566e-08
1866,4.5785417668309236e-07,1.0217787504984699e-08
1867,3.9550414143718626e-07,2.426405742994575e-09
1868,2.711990786385954e-07,1.679557115608077e-08
1869,4.0728548655888375e-07,1.3673853160867111e-08
1870,4.512696407665828e-07,1.0894693147633916e-08
1871,3.8236238508737586e-07,1.6993883633631413e-08
1872,3.368367974543318e-07,4.23313739617015e-09
1873,3.5137846432498065e-07,8.979006871356887e-09
1874,3.5130700881680355e-07,1.4936523129449597e-08
1875,4.7317029022719836e-07,6.865832347102696e-09
1876,3.301123994159383e-07,1.7533442253636622e-08
1877,3.698519965844582e-07,2.040989244278535e-08
1878,3.448319532139976e-07,1.8117265465633636e-09
1879,3.335691514116945e-07,1.4662380642960215e-08
1880,3.3244444619384694e-07,1.1552122813895949e-08
1881,3.4653363067960186e-07,1.743126887276958e-08
1882,3.374280168610966e-07,1.6638463051776853e-08
1883,3.7536872571353186e-07,3.6020232130340446e-08
1884,3.096195948515401e-07,9.242375753615306e-09
1885,4.447488609615746e-07,5.156508553483263e-09
1886,3.2331852700684394e-07,2.3232470169887165e-08
1887,3.042478760040268e-07,2.0892558794116667e-08
1888,2.5869708109027556e-07,1.0779045211961602e-08
